sample=189 explainer=permutation target=0 sample_size=128
detokenized_full_text: loved today ' s show ! ! ! it was a variety and not solely cooking ( which would have been great too ) . very stimulating and captivating , always keeping the viewer <unk> around the corner to see what was coming up next . she is as down to earth and as <unk> as you get , like one of us which made the show all the more enjoyable . special guests , who are friends as well made for a nice surprise too . loved the ' first ' theme and that the audience was invited to play along too . i must admit i was shocked to see her come in under her time limits on a few things , but she did it
idx	token_id	token_str	shap_value
0	597	loved	-3.018855020403862
1	298	today	-0.3529033660888672
2	4	'	0.07624232769012451
3	152	s	-1.0051444172859192
4	253	show	-0.8681676387786865
5	574	!	0.01707148551940918
6	574	!	0.00885021686553955
7	574	!	0.0016042590141296387
8	47	it	-0.051070988178253174
9	88	was	0.9552891850471497
10	9	a	0.4788576364517212
11	3842	variety	0.09159529209136963
12	33	and	-0.39921998977661133
13	17	not	0.1982189416885376
14	3008	solely	-0.16328155994415283
15	23764	cooking	-0.28146278858184814
16	236	(	-0.3047795295715332
17	209	which	0.3169647455215454
18	138	would	0.28106093406677246
19	19	have	0.603169173002243
20	248	been	0.1320551633834839
21	165	great	-0.5100902915000916
22	175	too	1.0436836183071136
23	254	)	0.36036932468414307
24	18	.	0.03958320617675781
25	67	very	-0.1738244891166687
26	9360	stimulating	-0.06922459602355957
27	33	and	-0.4496920108795166
28	4804	captivating	-1.6876332759857178
29	14	,	-0.046730995178222656
30	1606	always	-0.33343958854675293
31	188	keeping	-0.01871943473815918
32	31	the	0.11066746711730957
33	1956	viewer	-0.5723409950733185
34	1	<unk>	-0.5817208886146545
35	1521	around	0.14263951778411865
36	31	the	0.06369054317474365
37	5678	corner	0.047005534172058105
38	7	to	0.13384032249450684
39	321	see	-0.6072848439216614
40	39	what	0.20258760452270508
41	88	was	0.08945104107260704
42	3722	coming	0.20229315757751465
43	195	up	0.46232807636260986
44	3486	next	0.17816579341888428
45	18	.	0.18754255771636963
46	450	she	0.15249589085578918
47	41	is	-0.12917831540107727
48	145	as	-0.1853187084197998
49	422	down	2.0302599668502808
50	7	to	0.23592936992645264
51	1229	earth	-0.44604820013046265
52	33	and	-0.3523789644241333
53	145	as	-0.30584216117858887
54	1	<unk>	-0.459908127784729
55	145	as	-0.3309181444346905
56	310	you	-0.1316220760345459
57	114	get	0.8346521854400635
58	14	,	-0.07035517692565918
59	103	like	-2.4912123680114746
60	233	one	0.07948195934295654
61	11	of	-0.06339859962463379
62	611	us	-0.244759202003479
63	209	which	4.31193333864212
64	100	made	0.22665369510650635
65	31	the	0.09333682060241699
66	253	show	-0.0798720121383667
67	544	all	0.1844462752342224
68	31	the	0.10117334127426147
69	102	more	-0.02420651912689209
70	45	enjoyable	-0.5502204895019531
71	18	.	0.03843227028846741
72	1365	special	1.1923813223838806
73	13967	guests	-0.1262664794921875
74	14	,	-0.142311692237854
75	347	who	0.0385359525680542
76	226	are	-0.08595383167266846
77	838	friends	-0.22180819511413574
78	145	as	-0.13678193092346191
79	141	well	-1.9138888716697693
80	100	made	0.2417891025543213
81	222	for	-3.0909109711647034
82	9	a	0.14952141046524048
83	2026	nice	0.7150671482086182
84	1898	surprise	-0.4634566307067871
85	175	too	2.669110581278801
86	18	.	-0.004970550537109375
87	597	loved	-0.7123651802539825
88	31	the	0.21275556087493896
89	4	'	0.2319469302892685
90	73	first	-0.35207366943359375
91	4	'	0.1927400827407837
92	1954	theme	0.3365490436553955
93	33	and	-0.3709183931350708
94	42	that	-0.08161497116088867
95	31	the	0.1411687135696411
96	732	audience	1.1416552066802979
97	88	was	0.15994912385940552
98	20111	invited	-0.4941452741622925
99	7	to	0.19214969873428345
100	1061	play	-0.9947119951248169
101	53	along	-0.293029248714447
102	175	too	0.41645848751068115
103	18	.	0.09042489528656006
104	2	i	0.20493710041046143
105	2615	must	0.663062572479248
106	998	admit	-0.16742777824401855
107	2	i	0.2160332202911377
108	88	was	0.09466707706451416
109	3795	shocked	-1.0656529366970062
110	7	to	-0.7348040342330933
111	321	see	-0.5708169937133789
112	708	her	1.1044166088104248
113	1302	come	0.18619811534881592
114	82	in	-0.07634767889976501
115	1236	under	-0.12252748012542725
116	708	her	-0.027447104454040527
117	552	time	-0.41987836360931396
118	7623	limits	0.4456350803375244
119	135	on	-0.10373139381408691
120	9	a	0.06864464282989502
121	497	few	0.09388434886932373
122	174	things	0.13677513599395752
123	14	,	-0.06591987609863281
124	57	but	1.145606279373169
125	450	she	0.11931979656219482
126	154	did	0.030323952436447144
127	47	it	-0.012596368789672852
