sample=31 explainer=permutation target=0 sample_size=128
detokenized_full_text: i think it is a brilliant show with cool talking heads and very cool action . 2 guys who pretend to be masters in women <unk> demonstrate their skills at different night clubs and 4 experts ( pickup artists themselves ) comment on them , choosing the winner . their jokes are amusing , and some <unk> are really fun to watch . more so , this show really teaches men how to get in touch with women , lots of expert ' s comments are useful while you may see how it works in the field . actually i think this is one of the best tv shows and i totally recommend this to all men , who like women . <unk> pardon for my broken <unk>
idx	token_id	token_str	shap_value
0	2	i	0.044612884521484375
1	1092	think	-0.13070178031921387
2	47	it	0.09178292751312256
3	41	is	-0.037304043769836426
4	9	a	0.11984694004058838
5	2385	brilliant	0.08631253242492676
6	253	show	-0.11897099018096924
7	126	with	0.055184006690979004
8	3828	cool	-0.011867642402648926
9	1750	talking	-0.001528024673461914
10	6995	heads	-0.10098838806152344
11	33	and	-0.16259026527404785
12	67	very	-0.0431675910949707
13	3828	cool	0.05585944652557373
14	137	action	0.011326909065246582
15	18	.	0.18852996826171875
16	2267	2	0.1628127098083496
17	198	guys	0.11211907863616943
18	347	who	0.13037848472595215
19	5882	pretend	-0.10575616359710693
20	7	to	0.9541605710983276
21	8	be	0.22000455856323242
22	3553	masters	0.2389143705368042
23	82	in	0.0078002214431762695
24	1234	women	0.5288555026054382
25	1	<unk>	-0.13099181652069092
26	9525	demonstrate	-0.09655427932739258
27	837	their	-0.06822669506072998
28	2343	skills	0.25514328479766846
29	90	at	-0.5009399056434631
30	586	different	-0.27126383781433105
31	449	night	0.15543091297149658
32	8349	clubs	0.6942152976989746
33	33	and	-0.09556090831756592
34	2341	4	0.1588965654373169
35	16017	experts	6.401538848876953e-05
36	236	(	-0.13212788105010986
37	18763	pickup	0.27172112464904785
38	7304	artists	0.2578094005584717
39	633	themselves	0.022509455680847168
40	254	)	0.12030351161956787
41	1168	comment	-0.058173298835754395
42	135	on	0.005298137664794922
43	230	them	-0.18013739585876465
44	14	,	-0.06955611705780029
45	1279	choosing	0.01189577579498291
46	31	the	-0.013885974884033203
47	5073	winner	-0.25445497035980225
48	18	.	0.014277338981628418
49	837	their	-0.053481221199035645
50	329	jokes	0.4206736087799072
51	226	are	0.0033216476440429688
52	3305	amusing	0.14810383319854736
53	14	,	-0.08018481731414795
54	33	and	-0.09296715259552002
55	120	some	0.03114902973175049
56	1	<unk>	-0.14030325412750244
57	226	are	-0.00958096981048584
58	124	really	0.12376761436462402
59	2638	fun	-0.08050167560577393
60	7	to	0.03344583511352539
61	540	watch	-0.04812490940093994
62	18	.	0.12165379524230957
63	102	more	0.02136361598968506
64	26	so	0.05084991455078125
65	14	,	-0.12161588668823242
66	70	this	0.024345040321350098
67	253	show	-0.10504436492919922
68	124	really	2.596716523170471
69	5417	teaches	0.11636841297149658
70	833	men	0.0346219539642334
71	91	how	-0.06737327575683594
72	7	to	2.733233392238617
73	114	get	0.2841510772705078
74	82	in	0.07527375221252441
75	4768	touch	-0.11102056503295898
76	126	with	0.07831728458404541
77	1234	women	0.12170279026031494
78	14	,	-0.07264864444732666
79	1506	lots	0.12749886512756348
80	11	of	-0.03421151638031006
81	8676	expert	-0.13230538368225098
82	4	'	2.7613887190818787
83	152	s	-1.5420322716236115
84	2108	comments	-0.12686622142791748
85	226	are	0.00439608097076416
86	14227	useful	0.10578763484954834
87	1353	while	0.16696429252624512
88	310	you	-0.016397953033447266
89	601	may	-0.05029904842376709
90	321	see	-2.9611352682113647
91	91	how	-0.0680767297744751
92	47	it	0.02227330207824707
93	1321	works	-0.1645655632019043
94	82	in	0.006722211837768555
95	31	the	-0.9795860052108765
96	4019	field	0.04955625534057617
97	18	.	0.020875215530395508
98	1887	actually	-0.2831498384475708
99	2	i	0.4384390115737915
100	1092	think	-0.1293501853942871
101	70	this	-0.01146841049194336
102	41	is	-0.03772282600402832
103	233	one	0.31149744987487793
104	11	of	-0.0693742036819458
105	31	the	-0.07945728302001953
106	235	best	-1.20602548122406
107	387	tv	0.019526124000549316
108	832	shows	-0.028776884078979492
109	33	and	-0.09216368198394775
110	2	i	0.12801694869995117
111	712	totally	-0.07098424434661865
112	1880	recommend	-0.2831956148147583
113	70	this	-0.01987457275390625
114	7	to	0.029407620429992676
115	544	all	0.16817212104797363
116	833	men	-0.3252291679382324
117	14	,	-0.09654664993286133
118	347	who	0.3518788814544678
119	103	like	-0.05352473258972168
120	1234	women	0.395591139793396
121	18	.	0.000797271728515625
122	1	<unk>	-4.978204131126404
123	24415	pardon	0.1822570562362671
124	222	for	-0.0035429000854492188
125	83	my	-3.5876936614513397
126	12052	broken	0.07798933982849121
127	1	<unk>	-0.13080346584320068
