sample=187 explainer=permutation target=0 sample_size=128
detokenized_full_text: i guess if they are not brother this film will became very common . how long were they can keep this ? if we were part , what should they do ? so natural feelings , so plain and barren words . but i almost cried last night blood relationship brotherhood love <unk> film . in another word , the elder brother is very cute . if they are not brothers , they won ' t have so many forbidden <unk> the <unk> hearts of their own at the very beginning . the elder brother is doubtful of whether he is coming out or not at the beginning . maybe the little brother being so long time with his brother and even can ' t got any praise
idx	token_id	token_str	shap_value
0	2	i	0.11664402484893799
1	2082	guess	-0.01934230327606201
2	637	if	-0.06738460063934326
3	622	they	1.2809728384017944
4	226	are	-0.3129737377166748
5	17	not	0.12375462055206299
6	1434	brother	0.8813773393630981
7	70	this	-0.5815898180007935
8	63	film	-0.6177749633789062
9	599	will	-0.36874330043792725
10	3587	became	1.3444214910268784
11	67	very	-0.30377089977264404
12	1044	common	2.515181541442871
13	18	.	0.18436110019683838
14	91	how	-0.2641730308532715
15	766	long	1.812424123287201
16	94	were	-0.14027905464172363
17	622	they	3.6115366220474243
18	40	can	-0.04238581657409668
19	1019	keep	-0.13678312301635742
20	70	this	-0.2593708038330078
21	199	?	0.5476571321487427
22	637	if	-0.0505903959274292
23	780	we	-0.4080303907394409
24	94	were	-0.10357522964477539
25	342	part	0.5443637371063232
26	14	,	-0.08143329620361328
27	39	what	0.18442213535308838
28	247	should	-0.09117996692657471
29	622	they	1.5993965864181519
30	76	do	0.2507913112640381
31	199	?	0.63788902759552
32	26	so	-0.2550009489059448
33	9072	natural	-0.28906071186065674
34	1010	feelings	-0.6435776948928833
35	14	,	-0.09964394569396973
36	26	so	-0.13589954376220703
37	1905	plain	1.2282134294509888
38	33	and	-0.4328826665878296
39	5041	barren	0.09251224994659424
40	1466	words	0.0682213306427002
41	18	.	0.11392498016357422
42	57	but	0.37117552757263184
43	2	i	0.07331788539886475
44	961	almost	-0.3673360347747803
45	8986	cried	-0.05274200439453125
46	767	last	0.07374942302703857
47	449	night	0.32137954235076904
48	159	blood	0.3610337972640991
49	1118	relationship	-0.01342928409576416
50	5543	brotherhood	-0.49580371379852295
51	820	love	-0.9399494528770447
52	1	<unk>	-3.129706621170044
53	63	film	-0.41523945331573486
54	18	.	0.11238503456115723
55	82	in	-0.11204349994659424
56	1134	another	0.03191184997558594
57	1426	word	-0.05406510829925537
58	14	,	-0.10743987560272217
59	31	the	0.11401653289794922
60	18608	elder	-0.4159224033355713
61	1434	brother	1.78145432472229
62	41	is	-0.14286291599273682
63	67	very	-0.19384002685546875
64	1838	cute	-3.4214090704917908
65	18	.	0.1798563003540039
66	637	if	0.0075920820236206055
67	622	they	0.629047155380249
68	226	are	-0.3316152095794678
69	17	not	0.12397611141204834
70	378	brothers	-0.7824088335037231
71	14	,	-0.07428133487701416
72	622	they	1.151060700416565
73	3	won	0.30024993419647217
74	4	'	0.19530236721038818
75	5	t	-0.5559818744659424
76	19	have	0.25574183464050293
77	26	so	-0.3175666928291321
78	1615	many	0.6488142013549805
79	3905	forbidden	-0.11464762687683105
80	1	<unk>	-1.7354310601949692
81	31	the	0.05243074893951416
82	1	<unk>	-0.4170403480529785
83	9013	hearts	-0.18742871284484863
84	11	of	-0.005601286888122559
85	837	their	-0.31260740756988525
86	981	own	-0.3943142890930176
87	90	at	-0.32529401779174805
88	31	the	-0.20108270645141602
89	67	very	-0.14837980270385742
90	1845	beginning	0.17395484447479248
91	18	.	0.09449708461761475
92	31	the	0.046973228454589844
93	18608	elder	-0.5030313730239868
94	1434	brother	0.5963109731674194
95	41	is	-0.14975500106811523
96	19774	doubtful	-0.6121999025344849
97	11	of	-0.49030232429504395
98	2434	whether	0.20847654342651367
99	370	he	-0.23651015758514404
100	41	is	-0.29994475841522217
101	3722	coming	0.13457834720611572
102	258	out	0.2243657112121582
103	131	or	0.19201385974884033
104	17	not	0.13181447982788086
105	90	at	-0.19496917724609375
106	31	the	0.07744300365447998
107	1845	beginning	0.20872116088867188
108	18	.	0.1150428056716919
109	1459	maybe	-0.1317812204360962
110	31	the	4.8160552978515625e-05
111	115	little	-0.4488260746002197
112	1434	brother	0.6447632908821106
113	943	being	-2.367508113384247
114	26	so	-0.3170318603515625
115	766	long	-0.21436309814453125
116	552	time	-0.35394060611724854
117	126	with	0.6686228513717651
118	23	his	0.1914691925048828
119	1434	brother	0.6739997863769531
120	33	and	-0.238916277885437
121	970	even	0.15368056297302246
122	40	can	-0.027992725372314453
123	4	'	0.27793169021606445
124	5	t	-1.269566535949707
125	623	got	4.331234693527222
126	179	any	0.23566043376922607
127	3444	praise	-0.09198200702667236
