sample=79 explainer=permutation target=0 sample_size=128
detokenized_full_text: this film is about a woman falling in love with a friend of her boyfriend . from then on , she has to divide her time for the two boyfriends jack during the day and joseph during the night . this film feels like as if it was made with minimum budget . the majority of the film is set in a flat with minimal furniture . there are only three main actors , all the other actors listed in the credits make only <unk> appearances . the wardrobe designer doesn ' t seem to have much to do , as the actors wear very down to earth clothes , and actually most of the time they are naked anyway . the film is very dialog heavy ,
idx	token_id	token_str	shap_value
0	70	this	-0.45561879873275757
1	63	film	-0.5696451961994171
2	41	is	-0.21926717460155487
3	80	about	0.11605547368526459
4	9	a	0.09483718872070312
5	413	woman	0.6816307902336121
6	1833	falling	-0.4408928453922272
7	82	in	-0.11693376302719116
8	820	love	-1.1522207856178284
9	126	with	0.256605863571167
10	9	a	0.19363123178482056
11	871	friend	-0.10550433397293091
12	11	of	0.004942357540130615
13	708	her	-0.2548487186431885
14	2427	boyfriend	0.3202987611293793
15	18	.	0.22874045372009277
16	376	from	-0.26922672986984253
17	356	then	0.7441258430480957
18	135	on	-0.24812382459640503
19	14	,	-0.20686638355255127
20	450	she	0.27441610395908356
21	416	has	-0.46164239943027496
22	7	to	0.033498942852020264
23	20288	divide	0.5411344170570374
24	708	her	-0.1392720341682434
25	552	time	-0.6452879309654236
26	222	for	-0.10726597905158997
27	31	the	0.14659184217453003
28	595	two	-0.6355183124542236
29	22313	boyfriends	-0.108681321144104
30	3879	jack	0.17845290899276733
31	1188	during	0.2922559380531311
32	31	the	0.04226958751678467
33	3138	day	-0.2306944727897644
34	33	and	-1.0758066028356552
35	2757	joseph	-1.4445448517799377
36	1188	during	0.27213382720947266
37	31	the	0.12259334325790405
38	449	night	0.9207081198692322
39	18	.	0.1856212615966797
40	70	this	-2.562934398651123
41	63	film	-0.45123544335365295
42	4137	feels	1.1787331104278564
43	103	like	-0.5094330012798309
44	145	as	-0.5547432899475098
45	637	if	-0.04872995615005493
46	47	it	-0.09954982995986938
47	88	was	0.08725380897521973
48	100	made	0.2090218923985958
49	126	with	0.12256079912185669
50	163	minimum	0.5255852937698364
51	105	budget	-0.5853288769721985
52	18	.	0.15070900321006775
53	31	the	0.02334451675415039
54	2319	majority	0.41779303550720215
55	11	of	-0.07724267244338989
56	31	the	0.170041024684906
57	63	film	-0.8200591206550598
58	41	is	-0.37537506222724915
59	538	set	0.02130889892578125
60	82	in	-0.08831244707107544
61	9	a	0.13267314434051514
62	125	flat	0.7314256429672241
63	126	with	0.2158866822719574
64	2122	minimal	-0.1134234070777893
65	4980	furniture	1.4078348875045776
66	18	.	0.11364332213997841
67	158	there	0.5826306939125061
68	226	are	-0.19121313095092773
69	20	only	0.7884257137775421
70	1430	three	0.654891312122345
71	1119	main	-0.10240471363067627
72	183	actors	1.8930449485778809
73	14	,	-0.5754142999649048
74	544	all	0.359850138425827
75	31	the	0.10537493228912354
76	476	other	-0.6872240900993347
77	183	actors	1.0296021699905396
78	3158	listed	-0.5687637329101562
79	82	in	-0.23865419626235962
80	31	the	0.051574110984802246
81	5286	credits	0.7155770659446716
82	935	make	1.3329983055591583
83	20	only	0.6868884563446045
84	1	<unk>	-0.7490904331207275
85	1570	appearances	-0.3693995028734207
86	18	.	0.7810767889022827
87	31	the	0.10769599676132202
88	19753	wardrobe	0.5503028035163879
89	11657	designer	-0.0694812536239624
90	442	doesn	1.3884673714637756
91	4	'	0.49053362011909485
92	5	t	-0.3830067366361618
93	1537	seem	-0.29859789088368416
94	7	to	0.17579740285873413
95	19	have	0.7733933329582214
96	228	much	-0.22906899079680443
97	7	to	0.23712438344955444
98	76	do	0.4739549160003662
99	14	,	-0.2061253786087036
100	145	as	-3.99732506275177
101	31	the	0.07561177015304565
102	183	actors	1.3017597533762455
103	3650	wear	-0.0388028621673584
104	67	very	-0.16374337673187256
105	422	down	0.928640604019165
106	7	to	1.9459636211395264
107	1229	earth	-0.19362682104110718
108	3652	clothes	0.5060896277427673
109	14	,	-0.23184221982955933
110	33	and	-0.6302663683891296
111	1887	actually	-0.5479293465614319
112	44	most	0.2640799283981323
113	11	of	-0.23835080862045288
114	31	the	0.27376502752304077
115	552	time	-0.41545963287353516
116	622	they	0.9633431099355221
117	226	are	-0.7112528681755066
118	8812	naked	-0.9517506957054138
119	1878	anyway	0.1445726752281189
120	18	.	0.15460824966430664
121	31	the	0.06992232799530029
122	63	film	-0.6958950161933899
123	41	is	-0.33634570240974426
124	67	very	-0.37200140953063965
125	465	dialog	0.7995989322662354
126	1638	heavy	-0.4909537434577942
127	14	,	-0.17436754703521729
