sample=238 explainer=permutation target=0 sample_size=128
detokenized_full_text: when i first saw the premiere episode of farscape , i had no idea what to expect . i was immensely impressed and satisfied with premiere . subsequent <unk> , however , have made numerous flaws apparent to me that i missed initially . premiere is not a great farscape episode , but it deserves credit for successfully and efficiently setting up the plot and giving the basic back stories to many of the regular characters . the episode begins with john <unk> ( ben <unk> ) , an astronaut and scientist , preparing to launch into space in the farscape module , a small space ship perfected by <unk> and his friend <unk> . <unk> has a revealing conversation with his father , jack <unk> , and
idx	token_id	token_str	shap_value
0	700	when	-0.02981775999069214
1	2	i	0.12202227115631104
2	73	first	-0.2945932298898697
3	554	saw	0.02511763572692871
4	31	the	0.04207688570022583
5	18850	premiere	-0.11905686184763908
6	2168	episode	-0.02625870704650879
7	11	of	-0.011435747146606445
8	28338	farscape	0.25457825884222984
9	14	,	-0.2416113018989563
10	2	i	0.11467230319976807
11	407	had	0.024633407592773438
12	127	no	0.030239462852478027
13	1116	idea	1.3230019807815552
14	39	what	0.2129281759262085
15	7	to	0.8811920285224915
16	731	expect	0.6409274935722351
17	18	.	0.04773712158203125
18	2	i	0.04818391799926758
19	88	was	0.17679297924041748
20	6811	immensely	-0.4443693310022354
21	316	impressed	-0.5093648731708527
22	33	and	-0.13075923919677734
23	4186	satisfied	-0.09790849685668945
24	126	with	0.21963749825954437
25	18850	premiere	-0.10223782062530518
26	18	.	0.4773140251636505
27	4198	subsequent	-0.6056885123252869
28	1	<unk>	-0.44759123027324677
29	14	,	-0.03657066822052002
30	156	however	-0.4597684144973755
31	14	,	-0.10139012336730957
32	19	have	0.41629648208618164
33	100	made	0.17497527599334717
34	3813	numerous	-0.39977526664733887
35	1908	flaws	0.28688740730285645
36	1673	apparent	-0.1250089406967163
37	7	to	0.018654823303222656
38	331	me	-1.0364329814910889
39	42	that	-0.41867750883102417
40	2	i	0.5431286916136742
41	2997	missed	0.11003732681274414
42	14792	initially	0.4393678307533264
43	18	.	0.0369107723236084
44	18850	premiere	-0.05216503143310547
45	41	is	-0.8196607194840908
46	17	not	0.31179511547088623
47	9	a	-0.45774757862091064
48	165	great	-1.8814129829406738
49	28338	farscape	0.08574259281158447
50	2168	episode	-0.08090794086456299
51	14	,	-0.05395817756652832
52	57	but	0.3093693256378174
53	47	it	0.030820131301879883
54	1883	deserves	-0.07782232761383057
55	6850	credit	-0.49447742104530334
56	222	for	-0.016956273466348648
57	3591	successfully	-0.49401378631591797
58	33	and	-0.24953210353851318
59	11368	efficiently	-0.006124138832092285
60	3042	setting	0.10885769128799438
61	195	up	2.483996272087097
62	31	the	2.11103218793869
63	1343	plot	8.120558023452759
64	33	and	-0.12492048740386963
65	679	giving	0.15054917335510254
66	31	the	0.17805123329162598
67	1931	basic	-0.7515308856964111
68	371	back	0.22816848754882812
69	2679	stories	0.4231148958206177
70	7	to	0.3234521746635437
71	1615	many	1.3968655467033386
72	11	of	0.062236785888671875
73	31	the	0.14219480752944946
74	7521	regular	-1.2132595479488373
75	93	characters	0.3963511884212494
76	18	.	0.09903708100318909
77	31	the	2.11103218793869
78	2168	episode	-0.15045827627182007
79	1749	begins	-0.8435388505458832
80	126	with	0.1166982650756836
81	889	john	-0.7618865966796875
82	1	<unk>	-1.7259840369224548
83	236	(	-0.5444169044494629
84	3694	ben	0.08437597751617432
85	1	<unk>	-0.6229419112205505
86	254	)	0.7453476190567017
87	14	,	-0.1647115796804428
88	268	an	0.4691678583621979
89	11195	astronaut	0.34373143315315247
90	33	and	-0.11779296398162842
91	5675	scientist	0.2720770388841629
92	14	,	-0.18581801652908325
93	7006	preparing	-1.730341985821724
94	7	to	0.018336236476898193
95	15002	launch	0.1893523931503296
96	368	into	-0.27343976497650146
97	1123	space	-1.374967072159052
98	82	in	-0.07433485984802246
99	31	the	0.07754266262054443
100	28338	farscape	0.07555514574050903
101	25328	module	-0.09099447727203369
102	14	,	-0.11288869380950928
103	9	a	0.2391500473022461
104	2601	small	0.14990735054016113
105	1123	space	-0.6245529651641846
106	1149	ship	0.29392752423882484
107	15055	perfected	0.4143144488334656
108	167	by	-0.6099896654486656
109	1	<unk>	-0.23846924304962158
110	33	and	-0.19050109386444092
111	23	his	0.39570343494415283
112	871	friend	-0.04159495234489441
113	1	<unk>	-2.23485791683197
114	18	.	0.036966562271118164
115	1	<unk>	-0.1957005262374878
116	416	has	-3.993578791618347
117	9	a	0.38072115182876587
118	4838	revealing	-0.10911747813224792
119	1559	conversation	1.0936095714569092
120	126	with	0.1531212329864502
121	23	his	0.6622412204742432
122	2307	father	-0.1343454122543335
123	14	,	-3.4117616415023804
124	3879	jack	-0.930100679397583
125	1	<unk>	-0.2856910228729248
126	14	,	-0.09143102169036865
127	33	and	-0.8947173357009888
