sample=165 explainer=permutation target=0 sample_size=128
detokenized_full_text: in japan and elsewhere in europe new technology is <unk> filmmakers to <unk> the closed shop of the hollywood mainstream and avoid ed wood like visible low budget production values to produce compelling films . what a shame that in the uk we can find examples such as ' avatar ' ( name of many a video game ) where brain dead attempts are made to imitate so many films - and <unk> games beloved of <unk> teens - that themselves are cheap <unk> of clichés abound like testosterone <unk> <unk> . check out a bit of the synopsis set in futuristic london , <unk> , it tells the story of a team of virtual reality virus <unk> faced against the ultimate internet virus . go back and
idx	token_id	token_str	shap_value
0	82	in	-0.07997918128967285
1	6223	japan	0.10437369346618652
2	33	and	-1.5648349523544312
3	9761	elsewhere	0.2596112936735153
4	82	in	-0.09045124053955078
5	7885	europe	-0.8203753232955933
6	615	new	-0.2775951027870178
7	5106	technology	0.4158298969268799
8	41	is	-0.4155457466840744
9	1	<unk>	-0.4745457172393799
10	1923	filmmakers	-0.6814526319503784
11	7	to	0.31513313949108124
12	1	<unk>	-0.4824483394622803
13	31	the	0.01755833625793457
14	2379	closed	-0.05539706349372864
15	4063	shop	0.044176697731018066
16	11	of	-0.10402965545654297
17	31	the	0.06530463695526123
18	1912	hollywood	-0.6828417032957077
19	4342	mainstream	0.8105792999267578
20	33	and	-0.26697027683258057
21	1424	avoid	0.12387767434120178
22	4064	ed	-0.09500432014465332
23	6106	wood	-0.14141130447387695
24	103	like	-0.6275577284395695
25	6389	visible	0.4485461711883545
26	973	low	0.5334739685058594
27	105	budget	-0.4527013301849365
28	692	production	-0.07090902328491211
29	3347	values	10.319266438484192
30	7	to	0.08829665184020996
31	1164	produce	-0.38427305221557617
32	4761	compelling	-0.13571524620056152
33	25	films	0.19012248516082764
34	18	.	0.0030546188354492188
35	39	what	1.7315976656973362
36	9	a	0.08289980888366699
37	764	shame	0.6576788425445557
38	42	that	-0.006579875946044922
39	82	in	0.01865750551223755
40	31	the	0.009903788566589355
41	325	uk	-0.006473183631896973
42	780	we	-0.12005312740802765
43	40	can	0.1377311646938324
44	257	find	-0.1979326531291008
45	7348	examples	-0.5916871279478073
46	559	such	0.7195987701416016
47	145	as	-0.3892862796783447
48	4	'	0.1343763768672943
49	17620	avatar	-0.9864981174468994
50	4	'	0.12226831912994385
51	236	(	-0.04236340522766113
52	2794	name	0.3831043839454651
53	11	of	-1.9809666275978088
54	1615	many	0.7625563144683838
55	9	a	0.05975651741027832
56	1619	video	0.5987154245376587
57	2629	game	-2.233321726322174
58	254	)	0.04624378681182861
59	509	where	-0.4162546396255493
60	3012	brain	0.05613517761230469
61	1002	dead	0.30935490131378174
62	2922	attempts	0.04332625865936279
63	226	are	-0.5764790773391724
64	100	made	0.39211004972457886
65	7	to	2.173979874700308
66	13029	imitate	-0.14231133460998535
67	26	so	-0.04094153642654419
68	1615	many	0.28190648555755615
69	25	films	0.5767871141433716
70	379	-	-0.02194228768348694
71	33	and	-0.5194029808044434
72	1	<unk>	-0.4244351387023926
73	2722	games	-0.755846381187439
74	3021	beloved	2.8199470043182373
75	11	of	-0.3268693685531616
76	1	<unk>	-1.0078333616256714
77	3082	teens	-1.0871814042329788
78	379	-	-0.045139193534851074
79	42	that	-0.006799638271331787
80	633	themselves	-0.14018481969833374
81	226	are	-0.10727202892303467
82	1726	cheap	0.338951051235199
83	1	<unk>	-0.4846101403236389
84	11	of	-0.048566579818725586
85	214	clichés	-0.07269752025604248
86	23856	abound	0.8868796825408936
87	103	like	-3.0472748279571533
88	18819	testosterone	-0.05096226930618286
89	1	<unk>	-0.6364129185676575
90	1	<unk>	-0.34754011034965515
91	18	.	0.2562118172645569
92	3368	check	-0.09047424793243408
93	258	out	-0.9581633806228638
94	9	a	0.07999551296234131
95	382	bit	-0.5787936449050903
96	11	of	-0.00370633602142334
97	31	the	-0.00047004222869873047
98	4736	synopsis	0.8797458112239838
99	538	set	-0.020409107208251953
100	82	in	-0.024878978729248047
101	7260	futuristic	-0.5747977495193481
102	5414	london	0.10673734545707703
103	14	,	-0.1464066505432129
104	1	<unk>	-1.5623149052262306
105	14	,	-0.11736106872558594
106	47	it	-0.0793755054473877
107	894	tells	-0.507137656211853
108	31	the	0.019682645797729492
109	202	story	-2.7863427698612213
110	11	of	-0.040766239166259766
111	9	a	0.0699535608291626
112	169	team	-0.12760167941451073
113	11	of	-0.05213284492492676
114	2217	virtual	-0.2807060033082962
115	625	reality	-0.2734358310699463
116	10712	virus	0.5041068196296692
117	1	<unk>	-0.37224751710891724
118	2762	faced	0.3855299949645996
119	740	against	0.024947285652160645
120	31	the	0.06273078918457031
121	2092	ultimate	-0.5352959632873535
122	2614	internet	0.029595017433166504
123	10712	virus	1.3986127972602844
124	18	.	0.068550705909729
125	796	go	0.11206632852554321
126	371	back	0.31139039993286133
127	33	and	-0.2841387391090393
