sample=19 explainer=permutation target=0 sample_size=128
detokenized_full_text: king of <unk> is comic genius . kevin james , whom plays <unk> <unk> doug <unk> is extremely funny , leah <unk> who plays doug ' s wife carrie is incredibly hot ( <unk> 19 on stuff magazine ' s hottest <unk> woman list ) , and very funny . the true magic of the show however is the scenes with jerry stiller , they are the funniest in the show . jerry , a comic genius , plays carrie ' s father , arthur spooner , whom lives in doug and carrie ' s always cold basement . i must admit that i never watched this show until this year , 2006 . whenever i had flipped by it previously it never seemed funny , but with
idx	token_id	token_str	shap_value
0	2312	king	0.05616557598114014
1	11	of	-0.07726395130157471
2	1	<unk>	-1.5452390909194946
3	41	is	-0.21834266185760498
4	3033	comic	-0.20440924167633057
5	4077	genius	-0.4511837065219879
6	18	.	0.0725870132446289
7	5239	kevin	0.10213041305541992
8	4058	james	-0.1574845314025879
9	14	,	-0.06220555305480957
10	978	whom	-0.2733142375946045
11	1454	plays	-0.23197031021118164
12	1	<unk>	-0.33230745792388916
13	1	<unk>	-1.320010483264923
14	5809	doug	1.1783673167228699
15	1	<unk>	-0.44117432832717896
16	41	is	-0.13815629482269287
17	2313	extremely	0.5926475524902344
18	343	funny	0.24592256546020508
19	14	,	-0.05675792694091797
20	27100	leah	0.5530578978359699
21	1	<unk>	-0.15065407752990723
22	347	who	0.10227115452289581
23	1454	plays	-0.1964505910873413
24	5809	doug	0.6501992344856262
25	4	'	0.1422024667263031
26	152	s	-0.17297589778900146
27	1362	wife	0.34005630016326904
28	7986	carrie	2.0670289397239685
29	41	is	-0.18520689010620117
30	3196	incredibly	1.7315735518932343
31	4695	hot	0.10434293746948242
32	236	(	-0.32176831364631653
33	1	<unk>	-0.4275047183036804
34	8369	19	-0.08919239044189453
35	135	on	0.0036591291427612305
36	514	stuff	-0.14934323728084564
37	3505	magazine	0.37320464849472046
38	4	'	0.031163573265075684
39	152	s	-0.5881405174732208
40	14663	hottest	-0.2680111527442932
41	1	<unk>	-0.44046247005462646
42	413	woman	0.997022420167923
43	3702	list	-0.21994954347610474
44	254	)	0.12449467182159424
45	14	,	-0.058643460273742676
46	33	and	-0.29708218574523926
47	67	very	-0.27252328395843506
48	343	funny	0.2864985466003418
49	18	.	0.04950296878814697
50	31	the	-0.04066324234008789
51	274	true	0.12138724327087402
52	2939	magic	-2.703806757926941
53	11	of	0.1868659257888794
54	31	the	-0.04144394397735596
55	253	show	-0.06610167026519775
56	156	however	0.7030099630355835
57	41	is	-2.897081971168518
58	31	the	-0.04210770130157471
59	121	scenes	1.8875728845596313
60	126	with	0.15423321723937988
61	6674	jerry	-0.38330644369125366
62	13338	stiller	0.18753337860107422
63	14	,	-0.10119175910949707
64	622	they	0.2743034362792969
65	226	are	-0.3593417890369892
66	31	the	0.009324431419372559
67	9176	funniest	-1.5278363823890686
68	82	in	-0.06749594211578369
69	31	the	-0.02448415756225586
70	253	show	-0.06449365615844727
71	18	.	0.1237572431564331
72	6674	jerry	-0.338553786277771
73	14	,	-0.14881694316864014
74	9	a	2.2226083278656006
75	3033	comic	-5.7288952469825745
76	4077	genius	-0.20866763591766357
77	14	,	-0.04550302028656006
78	1454	plays	-0.5269891023635864
79	7986	carrie	0.6018117666244507
80	4	'	0.09512323141098022
81	152	s	-0.10609257221221924
82	2307	father	-0.23523259162902832
83	14	,	-0.04575502872467041
84	5535	arthur	0.6854130029678345
85	28022	spooner	0.012719988822937012
86	14	,	-0.06437325477600098
87	978	whom	-0.043792724609375
88	3789	lives	0.1272594928741455
89	82	in	-0.14019879698753357
90	5809	doug	0.042611122131347656
91	33	and	-0.31703680753707886
92	7986	carrie	0.35206055641174316
93	4	'	0.03371083736419678
94	152	s	-0.12201797962188721
95	1606	always	-0.24901103973388672
96	2745	cold	0.5161393284797668
97	479	basement	0.20811986923217773
98	18	.	0.15251314640045166
99	2	i	0.08069384098052979
100	2615	must	0.7389205098152161
101	998	admit	0.02016282081604004
102	42	that	0.01173412799835205
103	2	i	0.8762075006961823
104	396	never	-0.10010051727294922
105	21	watched	0.20228850841522217
106	70	this	-0.09837818145751953
107	253	show	-0.07172596454620361
108	372	until	-0.2798270583152771
109	70	this	-0.03730368614196777
110	542	year	1.914089560508728
111	14	,	-0.06194162368774414
112	3507	2006	0.7707222998142242
113	18	.	0.053230106830596924
114	8375	whenever	-0.04109039902687073
115	2	i	0.0837019681930542
116	407	had	-0.039757370948791504
117	9880	flipped	0.06774389743804932
118	167	by	-0.40745097398757935
119	47	it	0.07399427890777588
120	11587	previously	-0.04948461055755615
121	47	it	0.012096405029296875
122	396	never	-0.15062671899795532
123	3311	seemed	0.004495769739151001
124	343	funny	0.41532158851623535
125	14	,	-0.05873143672943115
126	57	but	0.2298218011856079
127	126	with	0.0746309757232666
