sample=227 explainer=permutation target=0 sample_size=128
detokenized_full_text: i totally agree . this is pitch black underground and a well worn plot . the best scenes i thought were the divers exploring the caves , going through impossible subterranean <unk> , some of them were heart pounding . the scenery was great . had they <unk> with the <unk> alien <unk> cgi <unk> entirely the movie would have been much better . all they would have had to do is never show any monsters at all but have everyone wondering , and follow jack ' s descent into madness , and this might have been a top rate <unk> thriller , maybe award material . the acting isn ' t bad . but those rubber bats just <unk> it to standard fare . <pad> <pad> <pad>
idx	token_id	token_str	shap_value
0	2	i	0.10002899169921875
1	712	totally	-1.2484811544418335
2	2740	agree	-0.10834217071533203
3	18	.	0.627888560295105
4	70	this	-0.2794686555862427
5	41	is	-0.20981663465499878
6	12516	pitch	0.1669052243232727
7	496	black	-0.19668006896972656
8	7331	underground	0.27768146991729736
9	33	and	-0.43763208389282227
10	9	a	0.08793807029724121
11	141	well	-0.7647717297077179
12	12364	worn	-2.15449595451355
13	1343	plot	0.803920328617096
14	18	.	-1.326313555240631
15	31	the	0.046489179134368896
16	235	best	-0.9105434417724609
17	121	scenes	0.9059433937072754
18	2	i	0.06703817844390869
19	947	thought	-0.2247694730758667
20	94	were	-0.23405921459197998
21	31	the	0.06906473636627197
22	27823	divers	0.47350049018859863
23	5520	exploring	-0.2823270559310913
24	31	the	0.04755735397338867
25	13451	caves	-0.31249725818634033
26	14	,	-0.13235712051391602
27	421	going	0.22485226392745972
28	783	through	0.31496500968933105
29	2067	impossible	0.6048413515090942
30	12749	subterranean	0.028657197952270508
31	1	<unk>	-0.5332724452018738
32	14	,	-0.4940601587295532
33	120	some	-0.10001948475837708
34	11	of	-0.003948986530303955
35	230	them	-0.17671138048171997
36	94	were	-0.289029598236084
37	1039	heart	-0.3099935054779053
38	5072	pounding	-0.6629528999328613
39	18	.	-0.14532053470611572
40	31	the	0.34473299980163574
41	3909	scenery	0.1810668706893921
42	88	was	0.05032074451446533
43	165	great	-0.5179115533828735
44	18	.	-0.0002969503402709961
45	407	had	-0.0009227395057678223
46	622	they	0.8638319633901119
47	1	<unk>	-0.727098822593689
48	126	with	0.17930907011032104
49	31	the	0.14366328716278076
50	1	<unk>	-0.60542893409729
51	3102	alien	1.4646185040473938
52	1	<unk>	-0.5141451358795166
53	5923	cgi	0.19645732641220093
54	1	<unk>	-0.6499781906604767
55	2145	entirely	3.154221534729004
56	31	the	0.18335509300231934
57	71	movie	0.3443176746368408
58	138	would	0.4599560499191284
59	19	have	0.9715316891670227
60	248	been	0.2053655982017517
61	228	much	0.03328430652618408
62	529	better	0.43652307987213135
63	18	.	0.014880716800689697
64	544	all	0.11262422800064087
65	622	they	2.2222706079483032
66	138	would	0.44019901752471924
67	19	have	0.579375147819519
68	407	had	-0.13851964473724365
69	7	to	-0.059783935546875
70	76	do	0.46401602402329445
71	41	is	-0.24953293800354004
72	396	never	-0.291973352432251
73	253	show	-4.8228108286857605
74	179	any	1.7692055702209473
75	841	monsters	-0.1821730136871338
76	90	at	-0.5586645603179932
77	544	all	1.6094004474580288
78	57	but	0.37019455432891846
79	19	have	0.32615816593170166
80	677	everyone	-0.573650062084198
81	3443	wondering	-0.768693208694458
82	14	,	-0.8128214478492737
83	33	and	-0.4089896082878113
84	140	follow	-0.25727057456970215
85	3879	jack	0.1460632085800171
86	4	'	0.25009334087371826
87	152	s	-0.6833650469779968
88	14876	descent	0.7256813049316406
89	368	into	-0.3761712312698364
90	2257	madness	0.7916220426559448
91	14	,	-0.09900230169296265
92	33	and	-0.38538050651550293
93	70	this	-0.2647990584373474
94	2228	might	0.42970383167266846
95	19	have	0.46950507164001465
96	248	been	0.14219582080841064
97	9	a	0.06564241647720337
98	177	top	0.6128058433532715
99	1460	rate	0.2537669539451599
100	1	<unk>	-0.46963709592819214
101	4738	thriller	1.7323240041732788
102	14	,	-0.617372989654541
103	1459	maybe	0.10966938734054565
104	7471	award	-0.3752554655075073
105	4845	material	1.3860918283462524
106	18	.	0.03921222686767578
107	31	the	0.09666872024536133
108	579	acting	0.11347353458404541
109	463	isn	-0.1993778944015503
110	4	'	0.33132749795913696
111	5	t	-0.47517621517181396
112	197	bad	1.0750453472137451
113	18	.	-0.001778721809387207
114	57	but	0.2629966735839844
115	977	those	-2.019336637109518
116	2694	rubber	0.5994178652763367
117	6102	bats	3.306841254234314
118	122	just	0.33744627237319946
119	1	<unk>	-0.4969668388366699
120	47	it	-0.13840937614440918
121	7	to	-0.12946128845214844
122	203	standard	-0.2036951780319214
123	3314	fare	-1.2260850667953491
124	18	.	0.13383781909942627
125	0	<pad>	0.0
126	0	<pad>	0.0
127	0	<pad>	0.0
