sample=100 explainer=permutation target=0 sample_size=128
detokenized_full_text: movies like this make me wonder what modern horror would be like if someone had ( mercifully , for movie fans ) put an end to m . night shyamalan inside the <unk> . this garbage is a prime example of what kind of lame , random , uninspired , last minute , generic plot twists have become the norm since movies like the sixth sense and the others were released . this was an okay movie until the writers took a dump all over whatever of the mediocre script they had written , and decided , hey , here ' s an interesting idea lets throw in a wacky twist at the end and make the main character the murderer ! that ' ll throw the audience
idx	token_id	token_str	shap_value
0	149	movies	-0.9595355987548828
1	103	like	-0.32071930170059204
2	70	this	-0.32662273943424225
3	935	make	0.6052985787391663
4	331	me	-0.8260388970375061
5	1608	wonder	0.659480631351471
6	39	what	0.10170358419418335
7	482	modern	-0.25216031074523926
8	1888	horror	-0.025432586669921875
9	138	would	0.19154274463653564
10	8	be	0.31423933804035187
11	103	like	-0.1865473985671997
12	637	if	0.006671428680419922
13	1928	someone	0.9339408874511719
14	407	had	-0.0238492488861084
15	236	(	-0.2626212239265442
16	1114	mercifully	10.820871531963348
17	14	,	-4.253325313329697
18	222	for	-0.04902505874633789
19	71	movie	0.1283048391342163
20	301	fans	-0.09156370162963867
21	254	)	0.16277974843978882
22	358	put	0.15926575660705566
23	268	an	-0.8794467449188232
24	119	end	-0.2601550221443176
25	7	to	0.02976667881011963
26	742	m	0.24475359916687012
27	18	.	0.11252576112747192
28	449	night	3.622161954641342
29	9977	shyamalan	0.2661781311035156
30	1449	inside	-0.5097907781600952
31	31	the	-0.018129944801330566
32	1	<unk>	-0.7571706771850586
33	18	.	0.0848342776298523
34	70	this	-0.1665055751800537
35	6193	garbage	-0.03412395715713501
36	41	is	-0.2164490818977356
37	9	a	0.11465907096862793
38	6683	prime	0.1575183868408203
39	4397	example	-0.29188644886016846
40	11	of	-0.07721054553985596
41	39	what	0.07522213459014893
42	453	kind	-0.030157923698425293
43	11	of	-0.21211731433868408
44	2994	lame	1.5922810584306717
45	14	,	-0.20489978790283203
46	2594	random	-0.2177973985671997
47	14	,	-0.23057103157043457
48	3061	uninspired	-2.6262901425361633
49	14	,	-0.09405696392059326
50	767	last	0.12080323696136475
51	772	minute	0.09594714641571045
52	14	,	-0.12778368592262268
53	7280	generic	1.6610677242279053
54	1343	plot	1.0533090233802795
55	1336	twists	-1.0857195258140564
56	19	have	0.5611168146133423
57	1395	become	-0.45617902278900146
58	31	the	-0.6192084550857544
59	15562	norm	0.2556508481502533
60	503	since	-0.06233251094818115
61	149	movies	-0.4127260446548462
62	103	like	-1.8343979120254517
63	31	the	-0.020926088094711304
64	11455	sixth	-0.39006495475769043
65	1115	sense	0.4246811866760254
66	33	and	-0.882036566734314
67	31	the	-0.006316542625427246
68	3460	others	-0.727694571018219
69	94	were	-0.12336289882659912
70	408	released	0.09945166110992432
71	18	.	0.07511639595031738
72	70	this	-0.37930023670196533
73	88	was	-0.35961759090423584
74	268	an	0.48690271377563477
75	3317	okay	0.36718618869781494
76	71	movie	0.0919647216796875
77	372	until	-0.34435081481933594
78	31	the	-0.5364499092102051
79	2098	writers	0.1460942029953003
80	3019	took	-1.2795146107673645
81	9	a	0.137323260307312
82	2357	dump	-0.0870133638381958
83	544	all	3.6803956627845764
84	176	over	-0.05074024200439453
85	1009	whatever	0.10318601131439209
86	11	of	0.0221707820892334
87	31	the	-0.01147305965423584
88	6122	mediocre	0.14838764071464539
89	769	script	0.08871912956237793
90	622	they	0.5512510538101196
91	407	had	-0.1118130087852478
92	718	written	-0.8699422478675842
93	14	,	-0.1708662509918213
94	33	and	-0.5766342878341675
95	1159	decided	-0.20562073588371277
96	14	,	-0.1741327941417694
97	3238	hey	-0.18220055103302002
98	14	,	-0.1729428768157959
99	87	here	-0.390550434589386
100	4	'	0.21971654891967773
101	152	s	-0.28564882278442383
102	268	an	0.17919790744781494
103	1112	interesting	0.11045265197753906
104	1116	idea	0.7095159292221069
105	5613	lets	-0.05541723966598511
106	4317	throw	0.6230316162109375
107	82	in	-0.11810094118118286
108	9	a	0.060494065284729004
109	16881	wacky	0.20500421524047852
110	6167	twist	-1.908585786819458
111	90	at	-0.27889004349708557
112	31	the	-0.008841514587402344
113	119	end	-0.3710668087005615
114	33	and	-0.6621547341346741
115	935	make	0.569949209690094
116	31	the	-0.010639548301696777
117	1119	main	-0.11654126644134521
118	98	character	0.28209061920642853
119	31	the	-0.09313416481018066
120	1578	murderer	0.3168528974056244
121	574	!	-0.02508339285850525
122	42	that	-0.09066975116729736
123	4	'	0.11589890718460083
124	1230	ll	0.06427818536758423
125	4317	throw	0.29558122158050537
126	31	the	-0.21158218383789062
127	732	audience	0.2990242838859558
