sample=18 explainer=permutation target=0 sample_size=128
detokenized_full_text: it was on a day in <unk> when scottish inventor william k . l . <unk> surprised his boss , thomas <unk> edison with his remarkable work in the development of motion pictures . after many experiments , <unk> was now able to capture scenes of real life with his camera , and <unk> them through his invention , the <unk> , as if a <unk> of time were preserved in celluloid . soon , <unk> ' s <unk> would become an enormous success as a new way of entertainment , with many people eager to pay the <unk> that was charged to be able to watch people dancing , or <unk> performing stunts through the <unk> of the <unk> . however , the invention wasn ' t
idx	token_id	token_str	shap_value
0	47	it	-0.006258606910705566
1	88	was	0.27004992961883545
2	135	on	-0.2229064702987671
3	9	a	0.06650972366333008
4	3138	day	0.018036842346191406
5	82	in	0.023917198181152344
6	1	<unk>	-0.5865465514361858
7	700	when	-0.04977196455001831
8	6981	scottish	0.9226024746894836
9	5443	inventor	-0.1158517599105835
10	1918	william	-0.6444665640592575
11	3172	k	0.2623770236968994
12	18	.	0.11460578441619873
13	2131	l	-0.3875792473554611
14	18	.	0.10782063007354736
15	1	<unk>	-0.4903148412704468
16	256	surprised	-0.7185924649238586
17	23	his	0.36287713050842285
18	3863	boss	-0.12871980667114258
19	14	,	-0.05926704406738281
20	8900	thomas	0.8424863815307617
21	1	<unk>	-1.0947564840316772
22	23235	edison	-0.5702206492424011
23	126	with	0.24157238006591797
24	23	his	1.8684595227241516
25	4325	remarkable	0.07493889331817627
26	979	work	-0.08119738101959229
27	82	in	-0.06233122944831848
28	31	the	0.2800992727279663
29	229	development	0.8957006633281708
30	11	of	-0.35709038749337196
31	4889	motion	0.7545056343078613
32	6370	pictures	-3.2664986848831177
33	18	.	0.7039961814880371
34	487	after	0.022782444953918457
35	1615	many	0.34727942943573
36	3010	experiments	0.0972142219543457
37	14	,	-0.16743561625480652
38	1	<unk>	-0.5994874686002731
39	88	was	0.11481523513793945
40	373	now	-0.8897805958986282
41	561	able	-0.39872562885284424
42	7	to	0.1451878547668457
43	4800	capture	-0.45261287689208984
44	121	scenes	1.3212814331054688
45	11	of	-0.07757937908172607
46	474	real	-0.14691007137298584
47	749	life	-0.5685288906097412
48	126	with	0.16975879669189453
49	23	his	0.47238363325595856
50	1280	camera	0.8726327419281006
51	14	,	-0.22912395000457764
52	33	and	-0.10542237758636475
53	1	<unk>	-0.6223647147417068
54	230	them	-0.259475901722908
55	783	through	0.36474940180778503
56	23	his	0.3502788096666336
57	15847	invention	-0.25526154041290283
58	14	,	-0.09626400470733643
59	31	the	0.08892086148262024
60	1	<unk>	-0.6652743816375732
61	14	,	-0.14847111701965332
62	145	as	-1.1340738832950592
63	637	if	0.008494734764099121
64	9	a	0.05745506286621094
65	1	<unk>	-0.6182566434144974
66	11	of	-0.04456222057342529
67	552	time	-0.10477936267852783
68	94	were	-0.47049981355667114
69	13105	preserved	0.3344954252243042
70	82	in	-0.002326488494873047
71	6823	celluloid	-0.137090802192688
72	18	.	0.11914432048797607
73	1732	soon	-0.3146679401397705
74	14	,	-0.120136559009552
75	1	<unk>	-0.19910061359405518
76	4	'	0.20076608657836914
77	152	s	-0.1941828727722168
78	1	<unk>	-0.6046397686004639
79	138	would	0.23534232378005981
80	1395	become	-0.31430280208587646
81	268	an	0.36856842041015625
82	681	enormous	-0.5905296802520752
83	1470	success	-0.409494549036026
84	145	as	-0.09817671775817871
85	9	a	0.06679928302764893
86	615	new	-0.11557638645172119
87	1088	way	0.15133380889892578
88	11	of	0.008948087692260742
89	1313	entertainment	-1.9641087651252747
90	14	,	-0.05328333377838135
91	126	with	0.054715514183044434
92	1615	many	0.42375504970550537
93	78	people	0.20564091205596924
94	18093	eager	1.1464487314224243
95	7	to	0.03927803039550781
96	885	pay	0.9512139558792114
97	31	the	0.3069154731929302
98	1	<unk>	-0.2831462621688843
99	42	that	-0.04029130935668945
100	88	was	0.23644351959228516
101	1369	charged	0.341541051864624
102	7	to	0.13471806049346924
103	8	be	0.9471928663551807
104	561	able	-0.5384376049041748
105	7	to	0.07347941398620605
106	540	watch	-0.1963338851928711
107	78	people	6.834392189979553
108	4933	dancing	-0.1651012897491455
109	14	,	-0.057114362716674805
110	131	or	0.437944695353508
111	1	<unk>	-4.218064665794373
112	5984	performing	0.31530405208468437
113	11760	stunts	-0.48546111583709717
114	783	through	0.5700045824050903
115	31	the	0.11587870121002197
116	1	<unk>	-0.17093145847320557
117	11	of	-1.9792267680168152
118	31	the	0.9971025921404362
119	1	<unk>	-0.3234323263168335
120	18	.	0.13774800300598145
121	156	however	0.06592738628387451
122	14	,	-0.2026682198047638
123	31	the	-0.003041505813598633
124	15847	invention	-0.14064419269561768
125	510	wasn	-0.05618298053741455
126	4	'	0.08833420276641846
127	5	t	-0.8154869377613068
