sample=85 explainer=permutation target=0 sample_size=128
detokenized_full_text: i cannot believe the number of people referring to the lead characters as ' boy <unk> ' ! ! there is no such thing people ! ! ! ! there are <unk> and <unk> and all males in the <unk> species are <unk> and do not have <unk> ! ! ! ! there was even an actual bull but it was like it was another type of animal completely ! my god this is like drawing human ears on a cat , boobs on superman , or mickey mouse with blond shirley temple <unk> - even in animation it just doesn ' t work ! giving human qualities to the animals is nothing new & to be expected , but changing their actual bodies into basically a transsexual
idx	token_id	token_str	shap_value
0	2	i	0.03789973258972168
1	1199	cannot	0.800234854221344
2	443	believe	0.37299685180187225
3	31	the	-0.2055349349975586
4	1552	number	-0.34987348318099976
5	11	of	-0.21787095069885254
6	78	people	0.38426023721694946
7	12923	referring	-0.6720941662788391
8	7	to	0.03736110031604767
9	31	the	0.3771265745162964
10	1098	lead	0.03297758102416992
11	93	characters	1.8505376279354095
12	145	as	-0.37083595991134644
13	4	'	5.840315759181976
14	2483	boy	-0.1284477710723877
15	1	<unk>	-1.929649829864502
16	4	'	0.1726057231426239
17	574	!	-0.045044779777526855
18	574	!	0.005744218826293945
19	158	there	0.5519292950630188
20	41	is	-0.7520508766174316
21	127	no	0.14966660737991333
22	559	such	2.150804340839386
23	717	thing	0.830971360206604
24	78	people	0.32328903675079346
25	574	!	0.01806071400642395
26	574	!	0.06636248528957367
27	574	!	0.054416149854660034
28	574	!	0.031195461750030518
29	158	there	0.6348351836204529
30	226	are	-1.3795832395553589
31	1	<unk>	-0.4845055192708969
32	33	and	-0.26247894763946533
33	1	<unk>	-0.4707472026348114
34	33	and	-0.3263431787490845
35	544	all	0.05877375602722168
36	8471	males	-0.0607183575630188
37	82	in	-0.05982854962348938
38	31	the	0.03749772906303406
39	1	<unk>	-0.8496550023555756
40	14588	species	0.00272446870803833
41	226	are	-1.022448569536209
42	1	<unk>	-0.9483624249696732
43	33	and	-0.34379610419273376
44	76	do	0.4125150740146637
45	17	not	0.8649602234363556
46	19	have	0.40978043153882027
47	1	<unk>	-0.4594012647867203
48	574	!	0.028822600841522217
49	574	!	0.06634879112243652
50	574	!	0.04761120676994324
51	574	!	0.04032069444656372
52	158	there	0.38368380069732666
53	88	was	0.03123614192008972
54	970	even	0.24276883900165558
55	268	an	0.2633815407752991
56	5478	actual	0.5273452997207642
57	9307	bull	0.5837221145629883
58	57	but	0.44716544449329376
59	47	it	-0.9964975118637085
60	88	was	0.01697075366973877
61	103	like	-3.092128276824951
62	47	it	0.014950990676879883
63	88	was	0.020018815994262695
64	1134	another	0.137454092502594
65	1181	type	-1.4063639044761658
66	11	of	-0.06487679481506348
67	4696	animal	-0.009000539779663086
68	779	completely	0.07156732678413391
69	574	!	0.06354323029518127
70	83	my	-8.008176922798157
71	1876	god	-0.6449636816978455
72	70	this	-0.39369630813598633
73	41	is	-0.15940886735916138
74	103	like	-0.39162329211831093
75	5014	drawing	-0.4515509307384491
76	1217	human	0.13209405541419983
77	5770	ears	-0.004657149314880371
78	135	on	-0.23013383150100708
79	9	a	-0.005281329154968262
80	32	cat	-0.21247589588165283
81	14	,	-0.07873603701591492
82	9241	boobs	0.018383771181106567
83	135	on	-0.4393325224518776
84	8070	superman	-0.2028072476387024
85	14	,	-0.006734780967235565
86	131	or	0.41728344559669495
87	2854	mickey	0.43207067251205444
88	4338	mouse	0.22311349213123322
89	126	with	0.08444267511367798
90	4520	blond	-0.330747127532959
91	7031	shirley	4.193422973155975
92	2951	temple	-0.9535155892372131
93	1	<unk>	-1.2450853884220123
94	379	-	-0.22507375478744507
95	970	even	0.2768974304199219
96	82	in	-0.05649733543395996
97	61	animation	-0.18001174926757812
98	47	it	-0.05136513710021973
99	122	just	0.364194393157959
100	442	doesn	0.16622775793075562
101	4	'	3.6432100534439087
102	5	t	-0.3133244477212429
103	979	work	-0.32303687930107117
104	574	!	0.06346839666366577
105	679	giving	0.294330358505249
106	1217	human	0.19915860891342163
107	6022	qualities	0.34673380851745605
108	7	to	0.02915528416633606
109	31	the	0.12430816888809204
110	6083	animals	0.07469847798347473
111	41	is	-0.17569434642791748
112	207	nothing	2.204021841287613
113	615	new	-0.5316521637141705
114	851	&	-0.18360420316457748
115	7	to	0.734329104423523
116	8	be	0.25561678409576416
117	2422	expected	-0.3595220446586609
118	14	,	-0.04356694221496582
119	57	but	0.4189050644636154
120	8234	changing	0.5286338925361633
121	837	their	-0.4237610846757889
122	5478	actual	1.3584216237068176
123	1779	bodies	0.15168380737304688
124	368	into	-0.39594781398773193
125	4525	basically	0.20565497875213623
126	9	a	0.039757609367370605
127	10228	transsexual	-0.09826970100402832
