sample=132 explainer=permutation target=0 sample_size=128
detokenized_full_text: the two new <unk> <unk> movies has a kind of humor which is both intelligent and <unk> at the same time , which i find extremely amusing . it really reminds me of the classic pink panther movies with an almost as good leading man as peter sellers in jean <unk> . and unlike steve martin completely ruining <unk> , <unk> is quite brilliant . the comments regarding the movies ' being <unk> , are obviously a case of a complete lack of humor and <unk> understanding . whether you will enjoy or hate this movie really comes down to what kind of humor you have . i can ' t wait for the sequel ! <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
idx	token_id	token_str	shap_value
0	31	the	0.15831351280212402
1	595	two	-0.3907920066267252
2	615	new	-0.4725518226623535
3	1	<unk>	-0.5250568576157093
4	1	<unk>	-0.616594634950161
5	149	movies	-0.08062681555747986
6	416	has	-2.416212573647499
7	9	a	0.06057360768318176
8	453	kind	0.14760901033878326
9	11	of	-0.13173043727874756
10	1636	humor	-0.08008292317390442
11	209	which	0.5923161879181862
12	41	is	-0.17552977800369263
13	919	both	-0.672602703794837
14	467	intelligent	-0.224445179104805
15	33	and	-0.2758403867483139
16	1	<unk>	-0.4787459373474121
17	90	at	-0.31224125623703003
18	31	the	0.2353619933128357
19	686	same	0.8114221319556236
20	552	time	-0.848147489130497
21	14	,	-0.7086383402347565
22	209	which	0.4924875944852829
23	2	i	0.45497699826955795
24	257	find	0.06299161352217197
25	2313	extremely	1.243641696870327
26	3305	amusing	0.43287739157676697
27	18	.	0.6325046122074127
28	47	it	-0.6223780810832977
29	124	really	0.7867873460054398
30	3295	reminds	0.38465434312820435
31	331	me	-1.146712601184845
32	11	of	-0.06335599720478058
33	31	the	0.5827790945768356
34	68	classic	-0.5449368953704834
35	1689	pink	0.6295861303806305
36	22435	panther	-0.20870620012283325
37	149	movies	0.02152875065803528
38	126	with	0.3206615298986435
39	268	an	0.2799619436264038
40	961	almost	-0.7617927864193916
41	145	as	-0.7420474737882614
42	204	good	0.22674012184143066
43	3998	leading	2.4099583979696035
44	1022	man	-0.25043487548828125
45	145	as	-0.33005353808403015
46	1196	peter	0.3981054872274399
47	3332	sellers	0.4778417944908142
48	82	in	-0.01854034513235092
49	3770	jean	-0.771215632557869
50	1	<unk>	-0.5890137702226639
51	18	.	0.19110070168972015
52	33	and	-0.3849411904811859
53	2058	unlike	-0.10547097027301788
54	1685	steve	0.7989344615489244
55	2964	martin	0.059302184730768204
56	779	completely	0.16849062591791153
57	4743	ruining	-1.308903081342578
58	1	<unk>	-1.1397104933857918
59	14	,	-0.23398826271295547
60	1	<unk>	-0.6909466087818146
61	41	is	-0.14149508625268936
62	1101	quite	0.44432999193668365
63	2385	brilliant	0.2754339464008808
64	18	.	0.07932522892951965
65	31	the	1.1024372577667236
66	2108	comments	-1.360941857099533
67	1401	regarding	-0.01655295491218567
68	31	the	0.10740383900702
69	149	movies	-1.261349979788065
70	4	'	2.9892030134797096
71	943	being	-0.2927297353744507
72	1	<unk>	-0.4982324708253145
73	14	,	-0.8436567783355713
74	226	are	-2.2073720395565033
75	2498	obviously	0.43867410719394684
76	9	a	0.6993622779846191
77	196	case	1.1801754832267761
78	11	of	-0.05178669095039368
79	9	a	0.14609657227993011
80	2755	complete	1.1369177624583244
81	2904	lack	1.5556443687528372
82	11	of	-0.05549737811088562
83	1636	humor	-0.04488170146942139
84	33	and	-1.2308674901723862
85	1	<unk>	-0.4481353908777237
86	2509	understanding	0.19400694966316223
87	18	.	0.1469271183013916
88	2434	whether	0.4003041908144951
89	310	you	-0.22772252932190895
90	599	will	-0.2551190108060837
91	547	enjoy	-0.3133860006928444
92	131	or	0.20283379592001438
93	3688	hate	0.08108045160770416
94	70	this	-0.8864735756069422
95	71	movie	0.1694372445344925
96	124	really	0.6532007232308388
97	386	comes	-1.5473738070577383
98	422	down	0.7379419207572937
99	7	to	0.26449723541736603
100	39	what	0.20867596566677094
101	453	kind	0.32783880829811096
102	11	of	-0.29647862911224365
103	1636	humor	-0.28844429552555084
104	310	you	-0.15652578324079514
105	19	have	0.8635416328907013
106	18	.	0.21888267993927002
107	2	i	0.14984112977981567
108	40	can	0.0715193822979927
109	4	'	0.4853106141090393
110	5	t	-0.4808720350265503
111	384	wait	-0.20165131241083145
112	222	for	-0.35593946278095245
113	31	the	1.003826729953289
114	398	sequel	0.003254413604736328
115	574	!	0.19815653562545776
116	0	<pad>	0.0
117	0	<pad>	0.0
118	0	<pad>	0.0
119	0	<pad>	0.0
120	0	<pad>	0.0
121	0	<pad>	0.0
122	0	<pad>	0.0
123	0	<pad>	0.0
124	0	<pad>	0.0
125	0	<pad>	0.0
126	0	<pad>	0.0
127	0	<pad>	0.0
