sample=204 explainer=permutation target=0 sample_size=128
detokenized_full_text: i ' m rather surprised that anybody found this film touching or moving . the basic premise of the film sounded to me like an excellent , if provocative , idea for a movie about a rare sort of relationship , but one ( if i can judge by the real-life examples i ' ve known ) is extremely deep and loving . however , the film is cheaply <unk> <unk> although it has a number of very <unk> shots , i didn ' t find it to be anything special . probably the biggest problem is that it is far too short and <unk> to give its audience time enough to invest , emotionally , in the characters we don ' t really care about any of
idx	token_id	token_str	shap_value
0	2	i	0.17455071210861206
1	4	'	0.12374067306518555
2	742	m	0.33638618886470795
3	608	rather	0.551627516746521
4	256	surprised	-1.417287915945053
5	42	that	-0.6231321841478348
6	1831	anybody	-0.023981086909770966
7	43	found	-0.6675830483436584
8	70	this	-4.746317476034164
9	63	film	-0.9415138065814972
10	7362	touching	0.770074188709259
11	131	or	0.23293399810791016
12	136	moving	-1.6154591143131256
13	18	.	0.09482342004776001
14	31	the	2.127912402153015
15	1931	basic	-0.5344118401408195
16	344	premise	-0.05735299363732338
17	11	of	-0.022647440433502197
18	31	the	0.041004061698913574
19	63	film	-0.11119451001286507
20	6073	sounded	0.44009923189878464
21	7	to	0.046143174171447754
22	331	me	-0.43746399879455566
23	103	like	-0.18784797191619873
24	268	an	4.555659204721451
25	1296	excellent	-1.111704021692276
26	14	,	-0.683195948600769
27	637	if	0.03594837337732315
28	17519	provocative	-0.4299376904964447
29	14	,	-0.11153781414031982
30	1116	idea	0.5178133547306061
31	222	for	-0.37615323066711426
32	9	a	0.08670824766159058
33	71	movie	0.06351611018180847
34	80	about	0.16746807470917702
35	9	a	0.09059026837348938
36	6074	rare	-0.3495027422904968
37	1780	sort	0.5586113929748535
38	11	of	-0.030415773391723633
39	1118	relationship	0.12068283557891846
40	14	,	-0.1044381856918335
41	57	but	0.377991259098053
42	233	one	0.007927656173706055
43	236	(	-0.383903831243515
44	637	if	0.21915161609649658
45	2	i	0.6602371633052826
46	40	can	0.1921912133693695
47	7434	judge	0.373867392539978
48	167	by	-0.15340399742126465
49	31	the	0.3605653941631317
50	6128	real-life	-0.4325178265571594
51	7348	examples	-1.7773946076631546
52	2	i	0.10504882410168648
53	4	'	0.2205580323934555
54	575	ve	0.07262814044952393
55	3827	known	-1.0757550299167633
56	254	)	0.2467452734708786
57	41	is	-0.6247513294219971
58	2313	extremely	0.8645213842391968
59	2345	deep	1.6804956644773483
60	33	and	-0.3025309294462204
61	1841	loving	-0.5974547564983368
62	18	.	0.21359838545322418
63	156	however	0.0077858567237854
64	14	,	-0.10549366474151611
65	31	the	0.17786619067192078
66	63	film	-0.725713312625885
67	41	is	-0.06387760490179062
68	6322	cheaply	0.7140078470110893
69	1	<unk>	-0.3432323634624481
70	1	<unk>	-0.33827781677246094
71	393	although	0.08084473013877869
72	47	it	-0.0029573440551757812
73	416	has	-0.25368109345436096
74	9	a	0.06979107856750488
75	1552	number	-0.3220174014568329
76	11	of	-0.004985451698303223
77	67	very	-0.16355770826339722
78	1	<unk>	-0.6051802933216095
79	3058	shots	-0.6276353299617767
80	14	,	-0.04266861081123352
81	2	i	0.1020946204662323
82	770	didn	0.056580305099487305
83	4	'	0.8768742382526398
84	5	t	-0.21237534284591675
85	257	find	-0.06998845934867859
86	47	it	0.02939629554748535
87	7	to	0.15376752614974976
88	8	be	0.30426961556077003
89	1832	anything	0.5997572541236877
90	1365	special	0.834892988204956
91	18	.	0.0809018611907959
92	1047	probably	-0.37053658068180084
93	31	the	0.08426663279533386
94	4340	biggest	0.32873374223709106
95	330	problem	0.5293160378932953
96	41	is	-0.009453728795051575
97	42	that	-0.2869764268398285
98	47	it	-0.015045255422592163
99	41	is	-0.053531378507614136
100	27	far	0.8374783992767334
101	175	too	0.5368938744068146
102	507	short	-0.08485919237136841
103	33	and	-0.2518407106399536
104	1	<unk>	-0.34265241026878357
105	7	to	0.159868061542511
106	306	give	0.039095520973205566
107	282	its	-0.4941067546606064
108	732	audience	0.32359579205513
109	552	time	-0.28159692883491516
110	645	enough	0.262388676404953
111	7	to	0.12035955488681793
112	13328	invest	0.619564589112997
113	14	,	-0.248390793800354
114	5562	emotionally	1.9843307733535767
115	14	,	-0.1385154128074646
116	82	in	-0.07763361930847168
117	31	the	0.09898090362548828
118	93	characters	1.0104746967554092
119	780	we	-0.02224862575531006
120	1165	don	0.11081379652023315
121	4	'	0.6606801152229309
122	5	t	-0.253323495388031
123	124	really	1.6423050463199615
124	77	care	-4.767826288938522
125	80	about	0.11676588654518127
126	179	any	1.9577194154262543
127	11	of	-1.97148859500885
