sample=118 explainer=permutation target=0 sample_size=128
detokenized_full_text: if you like madonna or not , this movie is hilarious ! ! i am a madonna fan and did see this in the theater at the time of its release . however , over time it has not lost its silliness and pure fun . sure there are some bad lines & cheesy acting but the whole film is just a screwball comedy with madonna actually carrying the whole film with great bombast . she is cute , funny , and is the only comedic role of her movie career . madonna usually just plays ' herself ' in roles but watching her as <unk> <unk> in this film , she really seems like somebody else for once . of course the film is directed by james
idx	token_id	token_str	shap_value
0	637	if	0.06118815392255783
1	310	you	-0.11909651756286621
2	103	like	-0.25026050209999084
3	17184	madonna	0.5601021945476532
4	131	or	0.20185208320617676
5	17	not	0.22289220243692398
6	14	,	-0.1923908293247223
7	70	this	-0.06541216373443604
8	71	movie	0.22751647233963013
9	41	is	-0.25196021795272827
10	3815	hilarious	-1.305951327085495
11	574	!	0.031202375888824463
12	574	!	0.0759534239768982
13	2	i	0.19134916737675667
14	16	am	0.22313696146011353
15	9	a	0.09416872262954712
16	17184	madonna	2.2093284130096436
17	10	fan	0.03282487392425537
18	33	and	-0.5781950950622559
19	154	did	-0.6682183742523193
20	321	see	-1.799387089908123
21	70	this	-0.11981219053268433
22	82	in	-0.04991166293621063
23	31	the	0.06779026985168457
24	3186	theater	-0.26110774278640747
25	90	at	-1.8828315734863281
26	31	the	0.03389012813568115
27	552	time	-0.559571385383606
28	11	of	-0.045589953660964966
29	282	its	-0.3572952225804329
30	1228	release	0.09599107503890991
31	18	.	0.07028356194496155
32	156	however	-0.018263250589370728
33	14	,	-0.02529148757457733
34	176	over	-0.11869608238339424
35	552	time	-0.29214439541101456
36	47	it	-0.16815483570098877
37	416	has	-0.1239665076136589
38	17	not	0.3309771418571472
39	1052	lost	0.20793211460113525
40	282	its	-0.3688340485095978
41	15046	silliness	0.48959314823150635
42	33	and	-0.4055044651031494
43	1328	pure	-0.5776936188340187
44	2638	fun	-0.32902608811855316
45	18	.	0.09939685463905334
46	936	sure	0.15833348780870438
47	158	there	1.9211591482162476
48	226	are	-1.4860371947288513
49	120	some	-0.04529404640197754
50	197	bad	0.963462769985199
51	54	lines	0.5969921946525574
52	851	&	0.008313760161399841
53	3744	cheesy	3.4558843970298767
54	579	acting	-0.8229973316192627
55	57	but	0.3738839812576771
56	31	the	0.0013133883476257324
57	259	whole	0.2707013487815857
58	63	film	-0.10255444049835205
59	41	is	-0.12528398633003235
60	122	just	0.512455403804779
61	9	a	0.06960666179656982
62	14450	screwball	0.017961814999580383
63	1525	comedy	0.06848412752151489
64	126	with	0.14257672429084778
65	17184	madonna	0.7149062901735306
66	1887	actually	-0.38149434328079224
67	3802	carrying	-0.30232834815979004
68	31	the	0.35836392641067505
69	259	whole	0.35431164503097534
70	63	film	-0.1649431586265564
71	126	with	0.5581730604171753
72	165	great	-0.5430902242660522
73	12085	bombast	0.3822883069515228
74	18	.	0.07681682705879211
75	450	she	0.08054523915052414
76	41	is	-0.13723400235176086
77	1838	cute	-0.5259512066841125
78	14	,	-0.040668975561857224
79	343	funny	0.3382849097251892
80	14	,	-0.029707998037338257
81	33	and	-0.2811703607439995
82	41	is	-0.21116352081298828
83	31	the	1.0604889392852783
84	20	only	2.809938430786133
85	3948	comedic	-1.8100086450576782
86	1257	role	0.7928219139575958
87	11	of	-0.055071212351322174
88	708	her	-0.3837435618042946
89	71	movie	0.12337405234575272
90	3348	career	-0.4770488142967224
91	18	.	0.07287776097655296
92	17184	madonna	0.5268982164561749
93	1924	usually	0.1851089894771576
94	122	just	0.31435495242476463
95	1454	plays	-3.1604071259498596
96	4	'	0.1348426342010498
97	419	herself	0.3328421115875244
98	4	'	0.13614028692245483
99	82	in	-0.09366792440414429
100	1998	roles	0.6294537782669067
101	57	but	0.5205972790718079
102	333	watching	0.5860054343938828
103	708	her	-0.45479342341423035
104	145	as	-0.2524716258049011
105	1	<unk>	-0.357380673289299
106	1	<unk>	-0.543616771697998
107	82	in	-0.06729390472173691
108	70	this	-2.528211832046509
109	63	film	-0.1134328544139862
110	14	,	-0.012948304414749146
111	450	she	0.10040036588907242
112	124	really	0.2668788433074951
113	210	seems	-0.07726037502288818
114	103	like	-0.2965061664581299
115	2017	somebody	0.27391571179032326
116	1647	else	0.05491939187049866
117	222	for	0.056542396545410156
118	2891	once	-0.8433249592781067
119	18	.	0.2565540671348572
120	11	of	-0.05490666627883911
121	440	course	-0.1910669207572937
122	31	the	-0.029162943363189697
123	63	film	-0.10854992642998695
124	41	is	-0.22649288177490234
125	1842	directed	0.14930221438407898
126	167	by	-0.09446864947676659
127	4058	james	-0.07253443449735641
