sample=53 explainer=permutation target=0 sample_size=128
detokenized_full_text: jean-pierre melville is a director i ' ve only recently gotten acquainted with ( i need to see bob le <unk> and le <unk> again to fully grasp them ) , but in watching le <unk> rouge ( the red circle , supposedly based on a saying in <unk> ) i realized i was watching as skillful and absorbing a crime film as i had seen in a quite some time . though his film has dialog , it is mainly to keep the film ' s scenes rolling along , <unk> to the plot . what kept me on the alert , even in seemingly mundane <unk> , was the emphasis on the characters ' movements , or behavior patterns . melville has his story laid out
idx	token_id	token_str	shap_value
0	3758	jean-pierre	-0.25773000717163086
1	20545	melville	0.9491854310035706
2	41	is	-0.6305195093154907
3	9	a	0.08672964572906494
4	404	director	0.1296919584274292
5	2	i	0.11395549774169922
6	4	'	-0.43590784072875977
7	575	ve	0.07781708240509033
8	20	only	0.414791464805603
9	2525	recently	-2.0293951630592346
10	7952	gotten	-0.4715648889541626
11	22064	acquainted	-0.44787466526031494
12	126	with	0.08794355392456055
13	236	(	-0.19901077449321747
14	2	i	0.4266393184661865
15	1298	need	-1.4605002403259277
16	7	to	-0.14001691341400146
17	321	see	-0.5671102404594421
18	4802	bob	1.2991619110107422
19	13608	le	-1.0726442337036133
20	1	<unk>	-0.3429645895957947
21	33	and	-0.29865801334381104
22	13608	le	-4.956084072589874
23	1	<unk>	-0.9068040102720261
24	164	again	-0.18713057041168213
25	7	to	0.08772116899490356
26	3780	fully	-0.5132307410240173
27	9972	grasp	0.2414720058441162
28	230	them	-0.22637061774730682
29	254	)	0.7326654195785522
30	14	,	-0.151483416557312
31	57	but	0.5055388361215591
32	82	in	-0.06239354610443115
33	333	watching	0.4678261876106262
34	13608	le	-1.173839345574379
35	1	<unk>	-0.35626041889190674
36	12027	rouge	-0.011690020561218262
37	236	(	-0.09880846738815308
38	31	the	0.025796830654144287
39	2119	red	-0.2702631950378418
40	5648	circle	-1.0792981386184692
41	14	,	-0.0226685032248497
42	4560	supposedly	-0.4145532250404358
43	1557	based	0.9174094200134277
44	135	on	-0.20972837880253792
45	9	a	2.105965554714203
46	3217	saying	0.8167737722396851
47	82	in	-0.14305996894836426
48	1	<unk>	-0.7251102924346924
49	254	)	1.6663662791252136
50	2	i	0.23925459384918213
51	2129	realized	1.5764846801757812
52	2	i	0.1463066041469574
53	88	was	0.15749335289001465
54	333	watching	1.1822747886180878
55	145	as	-0.23040622472763062
56	13783	skillful	-3.765488088130951
57	33	and	-0.5123729109764099
58	13291	absorbing	-0.026354193687438965
59	9	a	0.19998323917388916
60	999	crime	1.5860368311405182
61	63	film	-0.21588200330734253
62	145	as	-0.2471906542778015
63	2	i	0.1684635691344738
64	407	had	0.033483266830444336
65	1065	seen	0.19171082973480225
66	82	in	-0.0932692289352417
67	9	a	0.17153283953666687
68	1101	quite	0.4997890293598175
69	120	some	-0.041288018226623535
70	552	time	-0.3535134643316269
71	18	.	0.08455129712820053
72	157	though	-0.2639530897140503
73	23	his	0.26140591502189636
74	63	film	-0.4432772397994995
75	416	has	-0.17549550533294678
76	465	dialog	2.1086344718933105
77	14	,	-0.23349370062351227
78	47	it	0.060222744941711426
79	41	is	-0.24057307839393616
80	6874	mainly	-0.5648485124111176
81	7	to	0.07154357433319092
82	1019	keep	0.03585463762283325
83	31	the	0.02693885564804077
84	63	film	-0.2150280475616455
85	4	'	0.13881832361221313
86	152	s	-0.48729872703552246
87	121	scenes	5.8144155740737915
88	1799	rolling	-0.2515355348587036
89	53	along	-0.268047571182251
90	14	,	-0.1259656548500061
91	1	<unk>	-0.29587605223059654
92	7	to	-0.08743166923522949
93	31	the	0.05798596143722534
94	1343	plot	0.8163739442825317
95	18	.	0.11510312557220459
96	39	what	0.07976174354553223
97	162	kept	0.10494983196258545
98	331	me	-0.7645130008459091
99	135	on	-0.43113577365875244
100	31	the	0.1030701994895935
101	16502	alert	-0.06497251987457275
102	14	,	-0.10865473747253418
103	970	even	0.7952438592910767
104	82	in	-0.049234285950660706
105	4815	seemingly	-0.11464303731918335
106	9962	mundane	-0.2349073886871338
107	1	<unk>	-0.30154722929000854
108	14	,	-0.36015284061431885
109	88	was	0.10942637920379639
110	31	the	0.377708375453949
111	12711	emphasis	0.7824558019638062
112	135	on	-2.0905643701553345
113	31	the	0.003139868378639221
114	93	characters	0.28876787424087524
115	4	'	0.12280178442597389
116	92	movements	0.20741981267929077
117	14	,	-0.0876103937625885
118	131	or	0.5189047455787659
119	8836	behavior	-0.5726501792669296
120	21445	patterns	0.10839706659317017
121	18	.	0.020365238189697266
122	20545	melville	0.9272228330373764
123	416	has	-0.49125319719314575
124	23	his	0.3324728161096573
125	202	story	-0.6213211268186569
126	5615	laid	0.15660351514816284
127	258	out	0.6824347376823425
