sample=250 explainer=permutation target=0 sample_size=128
detokenized_full_text: while traveling with a team of misses for the <unk> of the miss galaxy , the airplane <unk> by <unk> powers ( eric roberts ) and mike saunders ( charlie <unk> ) crashes in an isolated , where <unk> noah ' s ark <unk> by the jurassic pork . while the group fight to survive , alien apes plot to use the ark to destroy the human race and dominate planet earth . i like parodies , but miss <unk> is an offense to human brains . the awful story and the special effects are very , but really very bad . there are spoofs with lost , <unk> , jurassic park , sixth sense , titanic , planet of the apes , raiders of the lost ark
idx	token_id	token_str	shap_value
0	1353	while	0.5281869918107986
1	7647	traveling	0.3523827791213989
2	126	with	0.11328279972076416
3	9	a	0.07122495770454407
4	169	team	-0.26110970973968506
5	11	of	0.10766300559043884
6	2868	misses	0.7863412499427795
7	222	for	-0.018836021423339844
8	31	the	0.022582411766052246
9	1	<unk>	-4.502658933401108
10	11	of	0.03526580333709717
11	31	the	0.1743740662932396
12	1104	miss	2.0073044896125793
13	14264	galaxy	-4.534678876399994
14	14	,	-0.18977701663970947
15	31	the	0.02696835994720459
16	1698	airplane	8.560273885726929
17	1	<unk>	-0.27256107330322266
18	167	by	-0.10825455188751221
19	1	<unk>	-0.40843844413757324
20	1325	powers	-1.3506169319152832
21	236	(	-0.2012714147567749
22	2252	eric	-6.361463785171509
23	14856	roberts	2.210912261158228
24	254	)	0.09794950485229492
25	33	and	-0.34887391328811646
26	3875	mike	-0.0762103796005249
27	10958	saunders	-0.11899983882904053
28	236	(	-0.15149474143981934
29	1514	charlie	0.05278325080871582
30	1	<unk>	-0.341164231300354
31	254	)	0.6750475764274597
32	5457	crashes	0.13327264785766602
33	82	in	-0.07154154777526855
34	268	an	0.1946122646331787
35	7352	isolated	-0.8151239529252052
36	14	,	-0.8101203441619873
37	509	where	-0.8951492309570312
38	1	<unk>	-0.5239348411560059
39	19194	noah	-0.07663261890411377
40	4	'	0.15139174461364746
41	152	s	-0.6756470799446106
42	8807	ark	-2.003361612558365
43	1	<unk>	-0.34188735485076904
44	167	by	-0.1187981367111206
45	31	the	0.013060212135314941
46	11436	jurassic	-0.7023712992668152
47	19110	pork	0.6893903017044067
48	18	.	0.13720545172691345
49	1353	while	0.42547082901000977
50	31	the	0.012838363647460938
51	1157	group	1.2273229360580444
52	2760	fight	-0.044045090675354004
53	7	to	0.10292410850524902
54	3198	survive	0.014630317687988281
55	14	,	-0.1638021469116211
56	3102	alien	0.3835008144378662
57	10083	apes	0.5065588727593422
58	1343	plot	1.5689380466938019
59	7	to	0.2919774651527405
60	2113	use	0.11176788806915283
61	31	the	0.052193522453308105
62	8807	ark	-0.866248607635498
63	7	to	0.19523799419403076
64	5921	destroy	0.8002391457557678
65	31	the	0.18638698756694794
66	1217	human	0.77742600440979
67	3867	race	-0.556365717202425
68	33	and	-0.1782017946243286
69	9633	dominate	-0.2591782808303833
70	2184	planet	-0.006497621536254883
71	1229	earth	-0.8270859122276306
72	18	.	0.11215627193450928
73	2	i	0.13322314620018005
74	103	like	-0.15515315532684326
75	9025	parodies	0.30848467350006104
76	14	,	-0.15915191173553467
77	57	but	0.6786483526229858
78	1104	miss	0.8995361328125
79	1	<unk>	-1.3419833481311798
80	41	is	-0.16376042366027832
81	268	an	0.6866270899772644
82	19751	offense	0.049848079681396484
83	7	to	0.9069543480873108
84	1217	human	0.18783104419708252
85	2012	brains	-0.40712010860443115
86	18	.	0.07536259293556213
87	31	the	0.02608954906463623
88	1465	awful	1.0660560131072998
89	202	story	-2.681725323200226
90	33	and	-0.3015141487121582
91	31	the	0.06369435787200928
92	1365	special	1.0710543990135193
93	1803	effects	0.5524949431419373
94	226	are	-0.2117321491241455
95	67	very	-0.31819164752960205
96	14	,	-0.08935046195983887
97	57	but	0.5315274000167847
98	124	really	1.7761361300945282
99	67	very	-0.48263850808143616
100	197	bad	0.7582964301109314
101	18	.	0.20843219757080078
102	158	there	0.786937452852726
103	226	are	-0.3262842893600464
104	8370	spoofs	-0.38812798261642456
105	126	with	3.887402594089508
106	1052	lost	0.22125943005084991
107	14	,	-0.13393238186836243
108	1	<unk>	-0.5202218294143677
109	14	,	-0.10050976276397705
110	11436	jurassic	-0.41795384883880615
111	3904	park	-0.4458942413330078
112	14	,	-0.30707329511642456
113	11455	sixth	-0.2121884822845459
114	1115	sense	0.1550893783569336
115	14	,	-0.07396924495697021
116	2678	titanic	0.33197012543678284
117	14	,	-0.34717345237731934
118	2184	planet	0.002040684223175049
119	11	of	0.031119346618652344
120	31	the	-0.13721299171447754
121	10083	apes	0.3430520296096802
122	14	,	-0.07051408290863037
123	8806	raiders	0.5860540866851807
124	11	of	0.035879552364349365
125	31	the	0.018196702003479004
126	1052	lost	0.6152220070362091
127	8807	ark	-0.6615878343582153
