sample=193 explainer=permutation target=0 sample_size=128
detokenized_full_text: i must say that this has to be the best documentary i have ever seen in my life . i first say the movie at my friends house , and didn ' t get a chance to finish watching it . from that point on , i spent my free time trying to find the movie . i never found it , but on my birthday , my friend who knew i had the hardest time finding the movie , got it for me as present . sean penn does a great job of <unk> the documentary . i loved how it told the story of each of the <unk> and the history of <unk> . i have been to venice and the surrounding area many times ,
idx	token_id	token_str	shap_value
0	2	i	0.028896450996398926
1	2615	must	0.18353068828582764
2	79	say	-0.12064707279205322
3	42	that	0.0038307905197143555
4	70	this	0.23998844623565674
5	416	has	-0.026126861572265625
6	7	to	0.04429447650909424
7	8	be	0.1770167350769043
8	31	the	-0.04599618911743164
9	235	best	-0.6937251091003418
10	3788	documentary	-0.250948429107666
11	2	i	0.03157627582550049
12	19	have	0.12389647960662842
13	1394	ever	0.015369653701782227
14	1065	seen	0.1469435691833496
15	82	in	-0.011528611183166504
16	83	my	-0.19691884517669678
17	749	life	0.08876502513885498
18	18	.	-0.006165266036987305
19	2	i	0.01449441909790039
20	73	first	-0.009724140167236328
21	79	say	-0.11380112171173096
22	31	the	-0.02109527587890625
23	71	movie	0.023365020751953125
24	90	at	-0.0793691873550415
25	83	my	-0.04423201084136963
26	838	friends	-0.012439131736755371
27	369	house	0.5810487270355225
28	14	,	-0.05531179904937744
29	33	and	-0.14114177227020264
30	770	didn	0.005191802978515625
31	4	'	0.02822744846343994
32	5	t	-0.00945591926574707
33	114	get	0.012252211570739746
34	9	a	0.12904417514801025
35	308	chance	0.06112635135650635
36	7	to	0.48080670833587646
37	2258	finish	0.09994876384735107
38	333	watching	0.27037525177001953
39	47	it	-0.013277411460876465
40	18	.	0.0051413774490356445
41	376	from	0.04957127571105957
42	42	that	0.005900144577026367
43	1992	point	0.06576120853424072
44	135	on	-0.007909059524536133
45	14	,	-0.05661964416503906
46	2	i	0.34577476978302
47	2567	spent	0.6971873044967651
48	83	my	-0.059032440185546875
49	768	free	0.03130364418029785
50	552	time	-0.08833980560302734
51	638	trying	0.4141852855682373
52	7	to	0.040060997009277344
53	257	find	-0.02062523365020752
54	31	the	0.021467208862304688
55	71	movie	0.0279386043548584
56	18	.	-0.0072956085205078125
57	2	i	0.06121373176574707
58	396	never	-0.009186983108520508
59	43	found	-0.08193027973175049
60	47	it	-0.03858065605163574
61	14	,	-0.06973707675933838
62	57	but	0.16596758365631104
63	135	on	-1.0252670049667358
64	83	my	-0.1296985149383545
65	7183	birthday	-0.31794941425323486
66	14	,	-0.045876502990722656
67	83	my	-0.05222129821777344
68	871	friend	-0.0040705204010009766
69	347	who	0.2839686870574951
70	5888	knew	0.27237653732299805
71	2	i	0.04062187671661377
72	407	had	-2.270965039730072
73	31	the	-0.03751254081726074
74	8538	hardest	0.2253023386001587
75	552	time	-0.4016995429992676
76	6849	finding	0.05501115322113037
77	31	the	0.024576187133789062
78	71	movie	0.07339167594909668
79	14	,	-0.07495772838592529
80	623	got	0.18034565448760986
81	47	it	-0.028168320655822754
82	222	for	0.07709991931915283
83	331	me	-0.7169785499572754
84	145	as	-0.08936536312103271
85	2300	present	-0.033592820167541504
86	18	.	-0.0032019615173339844
87	6217	sean	0.09548819065093994
88	6218	penn	0.021204710006713867
89	1073	does	-0.08094000816345215
90	9	a	0.09350192546844482
91	165	great	-0.13981974124908447
92	875	job	-0.24074673652648926
93	11	of	-0.028716564178466797
94	1	<unk>	-0.14512145519256592
95	31	the	-0.006589412689208984
96	3788	documentary	-0.15504586696624756
97	18	.	0.01558232307434082
98	2	i	0.03714120388031006
99	597	loved	-0.18111050128936768
100	91	how	-0.07508242130279541
101	47	it	-0.2897205352783203
102	1334	told	0.36589884757995605
103	31	the	0.03468680381774902
104	202	story	-0.14336097240447998
105	11	of	-0.04702043533325195
106	774	each	-0.15007758140563965
107	11	of	-0.04145169258117676
108	31	the	0.011922240257263184
109	1	<unk>	-0.11435747146606445
110	33	and	-0.21997570991516113
111	31	the	0.031876206398010254
112	3809	history	-0.2403254508972168
113	11	of	-0.04040729999542236
114	1	<unk>	-0.13963019847869873
115	18	.	-1.355632722377777
116	2	i	0.00831615924835205
117	19	have	0.1868140697479248
118	248	been	0.213165283203125
119	7	to	0.04275059700012207
120	13240	venice	-0.14624595642089844
121	33	and	-0.11730790138244629
122	31	the	0.026853561401367188
123	2432	surrounding	0.4497572183609009
124	658	area	0.4838886260986328
125	1615	many	0.12986791133880615
126	335	times	-0.03267550468444824
127	14	,	-0.06446492671966553
