sample=99 explainer=permutation target=0 sample_size=128
detokenized_full_text: the creative team behind evan almighty really should have been able to make a better film . starring one of america ' s favourite <unk> and <unk> by ace ventura pet detective director tom shadyac one expects a higher laugh count than the picture provides . hell even steve oedekerk who wrote and directed last years atrocious barnyard , and <unk> a writing credit here has done better work . the fact of the matter is that evan almighty isn ' t the worst picture of the summer season but it might well be the most disappointing . the title and creative team behind the picture suggest this is a sequel of sorts to 2003 ' s bruce almighty . that picture had jim carrey in the lead
idx	token_id	token_str	shap_value
0	31	the	0.11819246411323547
1	168	creative	1.2482246570289135
2	169	team	-0.16581833362579346
3	2005	behind	0.9735638797283173
4	18836	evan	-0.07113444805145264
5	18837	almighty	3.9602774381637573
6	124	really	0.23900097608566284
7	247	should	0.09343931078910828
8	19	have	0.43195152282714844
9	248	been	0.4343293011188507
10	561	able	-0.2328941822052002
11	7	to	-0.11612619459629059
12	935	make	0.6059301346540451
13	9	a	0.1953442096710205
14	529	better	0.5973292589187622
15	63	film	-0.3308113217353821
16	18	.	0.16063541173934937
17	4450	starring	0.2682933211326599
18	233	one	-0.045040011405944824
19	11	of	0.07850697636604309
20	908	america	-0.12301814556121826
21	4	'	0.3688146658241749
22	152	s	-0.6882469952106476
23	6096	favourite	-0.23143571615219116
24	1	<unk>	-0.7360666394233704
25	33	and	-0.09682181477546692
26	1	<unk>	-0.34352797269821167
27	167	by	-0.2749047875404358
28	18309	ace	-0.08648908138275146
29	18310	ventura	-0.6434734687209129
30	9145	pet	-0.2693990468978882
31	1536	detective	-0.22142136096954346
32	404	director	0.04104208946228027
33	2478	tom	-0.33580148220062256
34	22906	shadyac	-2.242170989513397
35	233	one	-0.08961576223373413
36	2491	expects	0.11180078983306885
37	9	a	0.12895572185516357
38	7045	higher	-0.3632248640060425
39	2597	laugh	-1.0070433542132378
40	4335	count	1.011588603258133
41	107	than	0.03285382688045502
42	31	the	0.16944706439971924
43	495	picture	-0.291490375995636
44	6054	provides	0.6743013709783554
45	18	.	0.09228658676147461
46	5126	hell	0.26263755559921265
47	970	even	0.34612661600112915
48	1685	steve	1.0296465456485748
49	27124	oedekerk	0.09765547513961792
50	347	who	1.2772517800331116
51	1140	wrote	0.5068779587745667
52	33	and	-0.4815799407660961
53	1842	directed	0.25265973806381226
54	767	last	0.19786468148231506
55	553	years	-0.49839890003204346
56	4786	atrocious	0.975614320486784
57	23823	barnyard	-0.03720615804195404
58	14	,	-0.47579434514045715
59	33	and	-0.4322861135005951
60	1	<unk>	-0.20855164527893066
61	9	a	0.1579604148864746
62	581	writing	-0.3031316101551056
63	6850	credit	-0.3286339044570923
64	87	here	-0.34220173954963684
65	416	has	-0.16324001550674438
66	744	done	0.5845035314559937
67	529	better	0.5843504965305328
68	979	work	-0.3901703953742981
69	18	.	0.9227174520492554
70	31	the	0.15066775679588318
71	255	fact	-0.25011879205703735
72	11	of	-0.08143734931945801
73	31	the	0.09002304077148438
74	1202	matter	0.42027634382247925
75	41	is	-0.20061349868774414
76	42	that	-0.19899988174438477
77	18836	evan	-0.1295834481716156
78	18837	almighty	0.5371988713741302
79	463	isn	-0.22957009077072144
80	4	'	0.5051959306001663
81	5	t	-0.053414881229400635
82	31	the	0.042154669761657715
83	982	worst	3.2433035001158714
84	495	picture	-0.5862931907176971
85	11	of	-0.03832828998565674
86	31	the	0.03000819683074951
87	412	summer	-0.3096979260444641
88	2230	season	-0.1144661009311676
89	57	but	0.358542263507843
90	47	it	-0.03269505500793457
91	2228	might	0.523210346698761
92	141	well	-0.7933388948440552
93	8	be	0.415005087852478
94	31	the	0.10643073916435242
95	44	most	0.008311152458190918
96	4142	disappointing	0.3916022777557373
97	18	.	0.17898878455162048
98	31	the	0.2455231063067913
99	1844	title	0.2461136132478714
100	33	and	-0.29406970739364624
101	168	creative	0.38597506284713745
102	169	team	-0.34959565475583076
103	2005	behind	0.26720547676086426
104	31	the	0.18632864952087402
105	495	picture	-0.7665246427059174
106	8795	suggest	-0.3932179659605026
107	70	this	-0.4325588047504425
108	41	is	-0.3077137768268585
109	9	a	0.23413687944412231
110	398	sequel	-1.116780936717987
111	11	of	-0.0018954277038574219
112	262	sorts	-1.0217609144747257
113	7	to	0.6122977137565613
114	9253	2003	-0.1992068588733673
115	4	'	0.23599064350128174
116	152	s	-0.5738621056079865
117	3954	bruce	-4.798537880182266
118	18837	almighty	0.3849424719810486
119	18	.	0.07264268398284912
120	42	that	-0.12693750858306885
121	495	picture	-2.426043748855591
122	407	had	0.1569167971611023
123	7185	jim	0.2884712219238281
124	6632	carrey	-0.904732670634985
125	82	in	0.012195944786071777
126	31	the	0.05136018991470337
127	1098	lead	0.09947085380554199
