sample=38 explainer=permutation target=0 sample_size=128
detokenized_full_text: let me first just say that in the past , i have been a huge carlin fan . i think george is one of the <unk> people and best comedians on the planet . what made george so great in the past was his ability to look at things in his own twisted way , and give us his unique perspective on those things . it wasn ' t always meant to be funny , but you always respected his opinions , because they were presented in such a clever way . but you are all diseased is just a long rant . he doesn ' t give us any unique perspective on anything , he just gives us a long list of stuff that he ' s
idx	token_id	token_str	shap_value
0	726	let	0.07338738441467285
1	331	me	-0.5638073720037937
2	73	first	-0.11868631839752197
3	122	just	0.20148062705993652
4	79	say	-0.24266564846038818
5	42	that	-6.7048115730285645
6	82	in	-0.0598260760307312
7	31	the	0.08708956837654114
8	2236	past	0.2528092861175537
9	14	,	-0.1759839951992035
10	2	i	0.03181421756744385
11	19	have	0.16581213474273682
12	248	been	0.2278006225824356
13	9	a	0.18587160110473633
14	1337	huge	0.2058006003499031
15	11691	carlin	-0.09930335357785225
16	10	fan	-0.04904365539550781
17	18	.	0.021464362740516663
18	2	i	0.1252169907093048
19	1092	think	-0.38680312409996986
20	1489	george	0.014245390892028809
21	41	is	-0.12333545088768005
22	233	one	0.1741989105939865
23	11	of	0.013611674308776855
24	31	the	0.1698155403137207
25	1	<unk>	-1.2658893167972565
26	78	people	0.18715262413024902
27	33	and	-0.25868886709213257
28	235	best	-0.6008872985839844
29	3972	comedians	-0.0001780986785888672
30	135	on	-0.14319193363189697
31	31	the	0.08495517447590828
32	2184	planet	0.049337804317474365
33	18	.	0.05977422371506691
34	39	what	0.3409760147333145
35	100	made	0.13719791173934937
36	1489	george	0.0395759642124176
37	26	so	0.012546002864837646
38	165	great	-0.3819047212600708
39	82	in	-2.384185791015625e-07
40	31	the	0.1058514155447483
41	2236	past	0.2047136425971985
42	88	was	0.25525708496570587
43	23	his	0.3597738742828369
44	4522	ability	-0.3312300443649292
45	7	to	0.05686318874359131
46	123	look	0.06189149618148804
47	90	at	-0.22139087319374084
48	174	things	0.49450671672821045
49	82	in	0.8895138800144196
50	23	his	0.28943371400237083
51	981	own	-0.24935036897659302
52	6770	twisted	0.09728733450174332
53	1088	way	0.1912156343460083
54	14	,	-0.4066615104675293
55	33	and	-4.204729855060577
56	306	give	-0.19559532403945923
57	611	us	0.015040040016174316
58	23	his	0.32135243341326714
59	287	unique	-0.0958089828491211
60	2335	perspective	-2.8275395333766937
61	135	on	-0.1960201859474182
62	977	those	-0.2505260445177555
63	174	things	0.2594596743583679
64	18	.	0.052241694182157516
65	47	it	-0.07890104129910469
66	510	wasn	-0.15375518798828125
67	4	'	0.225538969039917
68	5	t	-0.09571072459220886
69	1606	always	-0.3409629464149475
70	397	meant	-0.16133111715316772
71	7	to	0.042078897356987
72	8	be	0.45435506105422974
73	343	funny	0.16271734237670898
74	14	,	-0.183113694190979
75	57	but	3.2122194170951843
76	310	you	-0.19535797834396362
77	1606	always	-0.210064597427845
78	3617	respected	-0.28002916276454926
79	23	his	0.13098347187042236
80	7085	opinions	0.3887430727481842
81	14	,	-0.2066371887922287
82	15	because	0.7928372323513031
83	622	they	0.7119970619678497
84	94	were	-0.1703517735004425
85	5688	presented	0.030041564255952835
86	82	in	-0.05277419090270996
87	559	such	0.5385726690292358
88	9	a	0.08045172691345215
89	3915	clever	-0.13998949527740479
90	1088	way	0.19110983610153198
91	18	.	0.07708168029785156
92	57	but	0.5045520067214966
93	310	you	-0.2876907289028168
94	226	are	-0.07179538905620575
95	544	all	0.1014270931482315
96	14752	diseased	-0.2613354027271271
97	41	is	-0.06667506694793701
98	122	just	0.39217880368232727
99	9	a	0.1286393702030182
100	766	long	0.0884852409362793
101	6552	rant	-0.5121615529060364
102	18	.	0.01932370662689209
103	370	he	-0.12674087285995483
104	442	doesn	0.08174419403076172
105	4	'	0.23664939403533936
106	5	t	-1.0758838057518005
107	306	give	0.015490390360355377
108	611	us	0.15732651948928833
109	179	any	0.5539025068283081
110	287	unique	-0.02190268039703369
111	2335	perspective	-0.40707290172576904
112	135	on	-0.17505669593811035
113	1832	anything	0.8117473125457764
114	14	,	-0.12723350524902344
115	370	he	-0.15238255262374878
116	122	just	5.5444459319114685
117	1955	gives	-0.32137250900268555
118	611	us	3.139275372028351
119	9	a	0.1353975087404251
120	766	long	0.0008745193481445312
121	3702	list	-0.6939080357551575
122	11	of	-0.3011555075645447
123	514	stuff	-0.1761709451675415
124	42	that	-0.23863506317138672
125	370	he	-0.1375962346792221
126	4	'	0.10684645175933838
127	152	s	-0.32273054122924805
