sample=248 explainer=permutation target=0 sample_size=128
detokenized_full_text: infamous horror films seldom measure up the hype that surrounds them and i have yet to come across a worse offender than wes craven ' s the hills have eyes . having held back from watching this for years , i was really pleased when i got it for christmas and waited for an evening when my girlfriend was out to settle down and watch it - knowing her extreme dislike for anything genuinely horrifying . i needn ' t have bothered . after a promising - if familiar - start , that firmly sets the film in the ' <unk> usa ' world of survival horror , things rapidly go to pieces when the protagonists and antagonists meet in the deserted wasteland . looking like it was
idx	token_id	token_str	shap_value
0	11520	infamous	-0.07786870002746582
1	1888	horror	-0.05817687511444092
2	25	films	0.36713944375514984
3	14955	seldom	0.14297449588775635
4	294	measure	-0.7149225473403931
5	195	up	0.523919939994812
6	31	the	0.455427885055542
7	4174	hype	0.3148219585418701
8	42	that	-0.11903369426727295
9	3858	surrounds	-0.0326809287071228
10	230	them	-3.983314484357834
11	33	and	-0.2982761859893799
12	2	i	0.046540260314941406
13	19	have	0.21936047077178955
14	1163	yet	-0.04380369186401367
15	7	to	0.17741766571998596
16	1302	come	0.1490098237991333
17	4732	across	-0.37449777126312256
18	9	a	0.03833723068237305
19	1180	worse	1.0027516335248947
20	22482	offender	-0.1642591953277588
21	107	than	-0.011682748794555664
22	5388	wes	0.5671286582946777
23	5389	craven	0.4147597551345825
24	4	'	0.4976384676992893
25	152	s	-0.2689884901046753
26	31	the	0.315246045589447
27	5855	hills	-0.08209919929504395
28	19	have	0.20418477058410645
29	2380	eyes	0.035068392753601074
30	18	.	0.3111434578895569
31	874	having	0.2828996181488037
32	976	held	0.018044590950012207
33	371	back	0.1869065761566162
34	376	from	-0.20459270477294922
35	333	watching	0.5816612243652344
36	70	this	-0.0613025426864624
37	222	for	-0.2134798765182495
38	553	years	-0.6746888011693954
39	14	,	-0.30720487236976624
40	2	i	-0.0353998988866806
41	88	was	0.3231953978538513
42	124	really	1.755878984928131
43	5914	pleased	-0.34809231758117676
44	700	when	-0.07204824686050415
45	2	i	0.0990784764289856
46	623	got	0.21533000469207764
47	47	it	-0.12083375453948975
48	222	for	-0.10125458240509033
49	3578	christmas	1.0366740487515926
50	33	and	0.6731024384498596
51	9117	waited	-0.044985055923461914
52	222	for	-0.003950715065002441
53	268	an	0.33689820766448975
54	2076	evening	-0.3925509452819824
55	700	when	0.06243640184402466
56	83	my	-4.121138393878937
57	876	girlfriend	-0.6925672888755798
58	88	was	0.16857123374938965
59	258	out	0.8118655681610107
60	7	to	0.10158022120594978
61	15973	settle	0.302653968334198
62	422	down	0.9829850643873215
63	33	and	-0.22927093505859375
64	540	watch	-0.08754205703735352
65	47	it	-0.1880243420600891
66	379	-	0.5296645164489746
67	5341	knowing	0.5452535152435303
68	708	her	-0.03617185354232788
69	4880	extreme	1.3393901884555817
70	2048	dislike	-0.1884482055902481
71	222	for	-0.14576876163482666
72	1832	anything	0.9433298110961914
73	2677	genuinely	-0.17378586530685425
74	1894	horrifying	0.073516845703125
75	18	.	0.03701913356781006
76	2	i	-0.02634584903717041
77	12162	needn	-1.1771925687789917
78	4	'	0.16747009754180908
79	5	t	-0.1531691551208496
80	19	have	0.4227818548679352
81	794	bothered	0.7204620242118835
82	18	.	0.019208312034606934
83	487	after	-0.003046691417694092
84	9	a	0.07045149803161621
85	7789	promising	0.6632534861564636
86	379	-	-0.07795047760009766
87	637	if	-0.013411402702331543
88	4354	familiar	0.2390819787979126
89	379	-	-0.08479344844818115
90	2229	start	0.016826272010803223
91	14	,	-0.11346137523651123
92	42	that	-0.39999065920710564
93	4231	firmly	-3.4759603440761566
94	2123	sets	0.5102885961532593
95	31	the	1.0519353151321411
96	63	film	-0.465689767152071
97	82	in	-0.07637298107147217
98	31	the	0.23730897903442383
99	4	'	0.43075205758213997
100	1	<unk>	-0.19054841995239258
101	16840	usa	-1.4482670575380325
102	4	'	0.1324852705001831
103	289	world	-0.3249139189720154
104	11	of	-0.016034096479415894
105	8739	survival	-0.030826330184936523
106	1888	horror	0.15550696849822998
107	14	,	-0.19992631673812866
108	174	things	0.7223290055990219
109	6859	rapidly	-0.19846999645233154
110	796	go	0.9865830540657043
111	7	to	0.06062985211610794
112	959	pieces	0.9531637579202652
113	700	when	-0.09770792722702026
114	31	the	0.16560840606689453
115	10343	protagonists	0.05560028553009033
116	33	and	-0.2891780138015747
117	17660	antagonists	-0.09725195169448853
118	2396	meet	-0.317935585975647
119	82	in	-0.12532001733779907
120	31	the	0.11384809017181396
121	11036	deserted	0.025853633880615234
122	9427	wasteland	-0.051303863525390625
123	18	.	0.009098052978515625
124	221	looking	0.1181175708770752
125	103	like	-0.4716392457485199
126	47	it	-0.11660516262054443
127	88	was	0.07532811164855957
