sample=27 explainer=permutation target=0 sample_size=128
detokenized_full_text: i remember seeing this movie back when it was released and i still remember the ' buzz ' i felt when i left the cinema . everything about this movie is magnificent ! the music is top notch and i still play the soundtrack after all these years . i have seen this movie so many times and yet i still get <unk> to watch it again and again . nicholas cage was great and whenever i see cameron dye in anything nowadays , i always associate him with this movie . it is too bad the rest of the cast didn ' t go on to greater things but maybe that is part of this film ' s charm . i won ' t do a film
idx	token_id	token_str	shap_value
0	2	i	0.05392938852310181
1	1985	remember	-0.0816485583782196
2	1607	seeing	0.7907726764678955
3	70	this	-0.07938320934772491
4	71	movie	-0.027697503566741943
5	371	back	0.27093303203582764
6	700	when	0.012057095766067505
7	47	it	-0.0242464542388916
8	88	was	3.780011296272278
9	408	released	0.47677773237228394
10	33	and	-0.2613316774368286
11	2	i	0.263236403465271
12	685	still	-0.20525377988815308
13	1985	remember	-0.07832872867584229
14	31	the	0.10697752237319946
15	4	'	0.6062204837799072
16	13439	buzz	1.7172641158103943
17	4	'	0.10310319066047668
18	2	i	0.14850616455078125
19	763	felt	-0.05320744216442108
20	700	when	-0.09483516216278076
21	2	i	0.21426242589950562
22	797	left	-0.002202749252319336
23	31	the	0.10137057676911354
24	318	cinema	-0.16414660215377808
25	18	.	0.03395076096057892
26	624	everything	-0.2735896706581116
27	80	about	0.13953615352511406
28	70	this	-0.06623944640159607
29	71	movie	-0.010385222733020782
30	41	is	-0.3360716700553894
31	9071	magnificent	-2.7856115102767944
32	574	!	0.3995368480682373
33	31	the	0.05431234836578369
34	1125	music	-0.36560310423374176
35	41	is	-0.07599185407161713
36	177	top	0.35241393744945526
37	12560	notch	-0.13619263470172882
38	33	and	-0.37183622643351555
39	2	i	0.03724825382232666
40	685	still	-1.396202489733696
41	1061	play	-0.8808118104934692
42	31	the	2.410824179649353
43	2401	soundtrack	-0.1711759865283966
44	487	after	-0.0013332515954971313
45	544	all	0.13858559727668762
46	821	these	0.18922576308250427
47	553	years	-0.3231036067008972
48	18	.	0.024555116891860962
49	2	i	0.16425228118896484
50	19	have	0.4976470470428467
51	1065	seen	0.2229493409395218
52	70	this	-0.24477370083332062
53	71	movie	0.1328352689743042
54	26	so	-0.04147791862487793
55	1615	many	0.30716365575790405
56	335	times	-1.1131523847579956
57	33	and	-0.3765230067074299
58	1163	yet	-0.026596054434776306
59	2	i	0.03302347660064697
60	685	still	-0.2642889469861984
61	114	get	0.032454073429107666
62	1	<unk>	-0.2500608265399933
63	7	to	0.05780678987503052
64	540	watch	-3.894815146923065
65	47	it	-0.18040788173675537
66	164	again	-0.023553967475891113
67	33	and	-4.913375020027161
68	164	again	-0.04858112335205078
69	18	.	0.02755284309387207
70	4805	nicholas	-0.3643917590379715
71	6241	cage	-1.4291342496871948
72	88	was	0.06830805540084839
73	165	great	-0.8545940518379211
74	33	and	-0.7967803478240967
75	8375	whenever	-0.04772317409515381
76	2	i	0.10907244682312012
77	321	see	-0.8057499378919601
78	3343	cameron	0.7843017540872097
79	1032	dye	4.611063778400421
80	82	in	-0.2920687198638916
81	1832	anything	1.1918173134326935
82	735	nowadays	-0.3749411106109619
83	14	,	-0.08723136782646179
84	2	i	1.0863263010978699
85	1606	always	-0.273174524307251
86	12213	associate	0.399850532412529
87	363	him	-0.4295150637626648
88	126	with	0.12419003248214722
89	70	this	-0.06817901134490967
90	71	movie	-0.10060137510299683
91	18	.	0.753196120262146
92	47	it	-0.048668861389160156
93	41	is	-0.9037595987319946
94	175	too	0.8026573732495308
95	197	bad	4.449573278427124
96	31	the	0.15923917293548584
97	361	rest	0.28844456374645233
98	11	of	-0.08524608612060547
99	31	the	0.09704655408859253
100	181	cast	-3.6352274417877197
101	770	didn	-0.17934560775756836
102	4	'	2.049624502658844
103	5	t	-0.47324031591415405
104	796	go	0.3195948600769043
105	135	on	-0.10008004307746887
106	7	to	0.0670594573020935
107	3806	greater	-2.1988991498947144
108	174	things	0.2247992604970932
109	57	but	0.42434895038604736
110	1459	maybe	0.35758403316140175
111	42	that	-0.12789124250411987
112	41	is	-0.03691396862268448
113	342	part	0.6650883108377457
114	11	of	-0.1826489046216011
115	70	this	-0.8242933750152588
116	63	film	-0.8642873018980026
117	4	'	0.1244472861289978
118	152	s	-0.2871803045272827
119	69	charm	-1.674027144908905
120	18	.	0.017819538712501526
121	2	i	0.038208771497011185
122	3	won	1.6419389247894287
123	4	'	0.11151871830224991
124	5	t	-0.15802109241485596
125	76	do	0.3145887851715088
126	9	a	-0.20335912704467773
127	63	film	-0.1971486322581768
