sample=225 explainer=permutation target=0 sample_size=128
detokenized_full_text: around 1980 , the name <unk> ho was attached to a series of <unk> action films starring an actor with the unlikely name elton chong . although no <unk> of the genre , they remain surprisingly entertaining films for those with a high tolerance for silliness . it is altogether unclear why ho ( or whomever ) would want to make a film that would attack jackie chan ' s drunken master , the film that <unk> the making of <unk> films in hong kong . but that ' s what this is , a savage attack on the chan film ( the imitation chan who stars in this movie learns to cause his opponents to laugh themselves to death - a pointless gimmick in any genre )
idx	token_id	token_str	shap_value
0	1521	around	0.15544724464416504
1	1585	1980	-0.3462029956281185
2	14	,	0.12828993797302246
3	31	the	0.05457407236099243
4	2794	name	0.22596096992492676
5	1	<unk>	-0.3857027590274811
6	18933	ho	0.17832636833190918
7	88	was	0.10105293989181519
8	459	attached	1.951161801815033
9	7	to	0.17850911617279053
10	9	a	0.6473323702812195
11	2197	series	-0.6045058965682983
12	11	of	-0.031340181827545166
13	1	<unk>	-0.3302507996559143
14	137	action	-0.151532843708992
15	25	films	0.2563236355781555
16	4450	starring	0.14392459392547607
17	268	an	0.22861427068710327
18	560	actor	0.9529030025005341
19	126	with	0.08091378211975098
20	31	the	0.04485645890235901
21	9393	unlikely	-0.4948456585407257
22	2794	name	0.31251299381256104
23	21967	elton	-0.6183472871780396
24	8612	chong	-10.184436202049255
25	18	.	0.1445346176624298
26	393	although	-0.019400477409362793
27	127	no	0.09042596817016602
28	1	<unk>	-0.2936140298843384
29	11	of	-0.0869288444519043
30	31	the	0.13071957230567932
31	3413	genre	-0.4000142812728882
32	14	,	-0.08207929134368896
33	622	they	2.7438790798187256
34	6040	remain	0.3259202837944031
35	5499	surprisingly	-2.7451363801956177
36	2172	entertaining	-0.3370779752731323
37	25	films	0.29262977838516235
38	222	for	-0.10175216197967529
39	977	those	-0.22805249691009521
40	126	with	0.0648464560508728
41	9	a	0.03331351280212402
42	304	high	-2.1743481755256653
43	6053	tolerance	0.1939430832862854
44	222	for	-0.08239215612411499
45	15046	silliness	7.752886474132538
46	18	.	0.17611896991729736
47	47	it	-0.0506545752286911
48	41	is	-0.07130777835845947
49	3007	altogether	0.43953198194503784
50	2330	unclear	-0.8716583847999573
51	1124	why	-0.31962454319000244
52	18933	ho	0.1737046241760254
53	236	(	-0.01920872926712036
54	131	or	0.17898891866207123
55	10214	whomever	0.12906843423843384
56	254	)	0.1514076590538025
57	138	would	0.13378912210464478
58	602	want	0.0948331356048584
59	7	to	0.42255592346191406
60	935	make	1.422842264175415
61	9	a	0.6160370111465454
62	63	film	-0.813716471195221
63	42	that	-0.1017533540725708
64	138	would	0.12693309783935547
65	1714	attack	-0.225785493850708
66	1493	jackie	-0.15322768688201904
67	1515	chan	-0.24584269523620605
68	4	'	0.14939755201339722
69	152	s	-0.33296966552734375
70	8397	drunken	0.7025865912437439
71	1192	master	-0.08917999267578125
72	14	,	-0.0688028335571289
73	31	the	0.03972959518432617
74	63	film	-0.023016810417175293
75	42	that	-0.0038862228393554688
76	1	<unk>	-0.33018380403518677
77	31	the	0.15847056731581688
78	628	making	0.31155145168304443
79	11	of	-0.36770331859588623
80	1	<unk>	-0.3333755023777485
81	25	films	0.16507688164710999
82	82	in	-0.051843345165252686
83	1412	hong	-0.06347942352294922
84	1413	kong	0.0577542781829834
85	18	.	0.1408778429031372
86	57	but	0.36439961194992065
87	42	that	-0.18060302734375
88	4	'	0.08432936668395996
89	152	s	-0.569725651293993
90	39	what	0.1531226523220539
91	70	this	-0.02765500545501709
92	41	is	-0.1371288001537323
93	14	,	-0.06860843300819397
94	9	a	0.1071072518825531
95	4148	savage	0.6557765603065491
96	1714	attack	-0.2046968936920166
97	135	on	-0.2267916202545166
98	31	the	0.05968964099884033
99	1515	chan	-0.25754284858703613
100	63	film	-0.21526247262954712
101	236	(	-0.05338124930858612
102	31	the	0.1329231858253479
103	4727	imitation	-0.03763580322265625
104	1515	chan	-0.22638250887393951
105	347	who	0.06289955973625183
106	827	stars	0.3257836103439331
107	82	in	-0.5656960010528564
108	70	this	-0.18169939517974854
109	71	movie	0.025658786296844482
110	2362	learns	-0.0346064567565918
111	7	to	0.10483872890472412
112	680	cause	-0.01791226863861084
113	23	his	0.4138048477470875
114	19344	opponents	0.1214769184589386
115	7	to	0.11357182264328003
116	2597	laugh	-0.16344773769378662
117	633	themselves	-0.19970616698265076
118	7	to	0.09561032056808472
119	992	death	0.5622899979352951
120	379	-	-0.5458119511604309
121	9	a	0.08878147602081299
122	1935	pointless	0.37215614318847656
123	14859	gimmick	-0.8273811042308807
124	82	in	-0.10669642686843872
125	179	any	0.40534037351608276
126	3413	genre	-1.2836976051330566
127	254	)	0.15844029188156128
