sample=36 explainer=permutation target=0 sample_size=128
detokenized_full_text: since i ' d bought the dvd , i watched as much of this as i did out of a sense of <unk> to my wallet . the plot has kirk douglas as a successful first novelist who hired <unk> day as a secretary , falls in love , and marries her . complications ensue . douglas is usually thought of as an intense actor , given to heavily dramatic roles , sometimes hero , sometimes rat . he ' s not bad in this thoroughly comic part . the problem is that the part isn ' t particularly comic and neither is anything else . the plot rambles on . a dozen quirky characters come and go -- most prominently keenan wynn as douglas ' s friend
idx	token_id	token_str	shap_value
0	503	since	-0.8843959718942642
1	2	i	0.2708928883075714
2	4	'	0.2618670016527176
3	781	d	0.2926228940486908
4	1724	bought	5.258275017142296
5	31	the	0.16705897450447083
6	493	dvd	-0.5729092806577682
7	14	,	-0.08481639623641968
8	2	i	0.4100332260131836
9	21	watched	0.3308591842651367
10	145	as	-0.5489749610424042
11	228	much	-0.17852967977523804
12	11	of	-0.02809479832649231
13	70	this	-0.5353789627552032
14	145	as	-0.42431872710585594
15	2	i	0.2882537543773651
16	154	did	0.08993248641490936
17	258	out	0.6566624641418457
18	11	of	-0.05376115441322327
19	9	a	0.15123218297958374
20	1115	sense	0.8645900338888168
21	11	of	-0.03257918357849121
22	1	<unk>	-5.513087496161461
23	7	to	-0.023107141256332397
24	83	my	-0.40523219108581543
25	22483	wallet	-0.36299121379852295
26	18	.	0.15838363766670227
27	31	the	0.17097917199134827
28	1343	plot	1.3738365024328232
29	416	has	-0.40479472279548645
30	2178	kirk	-0.6678963899612427
31	10328	douglas	0.003343343734741211
32	145	as	-0.44323915243148804
33	9	a	0.27911199629306793
34	2555	successful	-0.41244256496429443
35	73	first	-0.19584143161773682
36	19157	novelist	0.20457381010055542
37	347	who	0.16246375441551208
38	4680	hired	1.0651792660355568
39	1	<unk>	-0.6735943555831909
40	3138	day	-0.2026529759168625
41	145	as	-0.4357841946184635
42	9	a	0.08833986520767212
43	7154	secretary	-0.5613923668861389
44	14	,	-0.22150355577468872
45	4067	falls	0.885157585144043
46	82	in	-0.13800331205129623
47	820	love	-1.2713262438774109
48	14	,	-0.24108752608299255
49	33	and	-0.5738627016544342
50	3484	marries	-1.2989933043718338
51	708	her	-0.17463886737823486
52	18	.	0.19454941153526306
53	28294	complications	-1.008365485817194
54	10286	ensue	-0.19872012734413147
55	18	.	0.5710309445858002
56	10328	douglas	0.24084454774856567
57	41	is	-0.15685820579528809
58	1924	usually	0.15759015083312988
59	947	thought	-0.2783985137939453
60	11	of	-0.19683535397052765
61	145	as	-0.39420968294143677
62	268	an	0.1747530698776245
63	3267	intense	-0.7731059156358242
64	560	actor	1.0297124981880188
65	14	,	-3.062311217188835
66	227	given	0.16070206090807915
67	7	to	0.019679665565490723
68	1050	heavily	0.8110906481742859
69	4860	dramatic	2.3163470923900604
70	1998	roles	0.8605730086565018
71	14	,	-0.20432552695274353
72	1082	sometimes	-0.6874880604445934
73	751	hero	0.4494069516658783
74	14	,	-0.24707339704036713
75	1082	sometimes	-0.6308788806200027
76	8405	rat	1.023779809474945
77	18	.	0.05319342017173767
78	370	he	-0.27865390479564667
79	4	'	0.17577692866325378
80	152	s	-0.3558328151702881
81	17	not	0.8376243412494659
82	197	bad	1.2930538803339005
83	82	in	-0.12999892234802246
84	70	this	-0.3458407521247864
85	2274	thoroughly	0.33771296963095665
86	3033	comic	-1.7792198732495308
87	342	part	0.7846937030553818
88	18	.	0.24070727825164795
89	31	the	0.18878862261772156
90	330	problem	2.270165130496025
91	41	is	-0.21103490889072418
92	42	that	-0.4000278413295746
93	31	the	0.17829649150371552
94	342	part	1.1205707490444183
95	463	isn	-0.09642872214317322
96	4	'	0.6994164139032364
97	5	t	-0.1514594554901123
98	652	particularly	-0.09706712514162064
99	3033	comic	-0.917192742228508
100	33	and	-0.3085089921951294
101	2600	neither	0.0036787986755371094
102	41	is	-0.14419937133789062
103	1832	anything	0.7432196736335754
104	1647	else	0.15744441747665405
105	18	.	0.09769952297210693
106	31	the	0.19577452540397644
107	1343	plot	2.6853037923574448
108	18192	rambles	-0.10845381021499634
109	135	on	-0.5850436761975288
110	18	.	0.13916105031967163
111	9	a	0.2530476748943329
112	1817	dozen	1.166739497333765
113	13361	quirky	0.23830777406692505
114	93	characters	0.2690775394439697
115	1302	come	0.3603319078683853
116	33	and	-0.6722625494003296
117	796	go	0.3873867988586426
118	1889	--	-0.1737324669957161
119	44	most	0.01655033975839615
120	20205	prominently	-1.5247920900583267
121	10743	keenan	0.10265803337097168
122	10744	wynn	0.7522886395454407
123	145	as	-0.4976562559604645
124	10328	douglas	-1.6694155633449554
125	4	'	0.26057542860507965
126	152	s	-1.4355138167738914
127	871	friend	0.007872939109802246
