token_id	token_str	shap
3666	watching	0.00561047
2034	first	0.00561039
2023	this	0.00331323
14108	batch	0.00318049
1005	'	0.00309068
8348	marvel	0.00308331
1005	'	0.00308031
2228	think	0.00270456
2001	was	0.00263586
2387	saw	0.0026219
2190	best	0.00257886
1997	of	0.00256884
1037	a	0.00252746
1996	the	0.00246579
2222	ll	0.00243682
1996	the	0.00240598
2428	really	0.0023109
2043	when	0.00216527
2079	do	0.000740416
3240	##ey	0.00054926
2242	something	0.000503597
999	!	0.00043201
3649	whatever	0.000288967
1010	,	0.00021298
2123	don	0.000208385
9129	bunch	7.85694e-05
1996	the	2.13979e-05
6495	credits	1.76782e-05
2017	you	-4.65093e-05
6865	hang	-8.26376e-05
4430	##ah	-9.14671e-05
2009	it	-0.000100921
2003	is	-0.000161926
2143	film	-0.000168957
2644	stop	-0.000173655
2852	dr	-0.000195734
3335	miss	-0.000195997
2017	you	-0.000217571
2003	is	-0.000254343
1012	.	-0.000291476
2017	you	-0.00031457
3185	movie	-0.000321296
2782	festival	-0.000328507
2005	for	-0.000333726
1997	of	-0.000362594
1056	t	-0.000391097
999	!	-0.000402956
1998	and	-0.000447511
2105	around	-0.00049307
2245	thought	-0.00050925
102	[SEP]	-0.000560813
2428	really	-0.0005655
101	[CLS]	-0.000591866
2012	at	-0.000642562
1996	the	-0.000667132
1996	the	-0.000688175
13351	weber	-0.000702895
2058	over	-0.000721342
2057	we	-0.00073313
28350	sava	-0.000824478
2532	##na	-0.000870992
3185	movie	-0.000937975
2050	##a	-0.00100292
2030	or	-0.00126321
