sample=217 explainer=permutation target=0 sample_size=128
detokenized_full_text: after watching desperate living , i was hooked on john waters films . i heard about pink <unk> and had to watch it and boy was it worth it ! believe what you hear , it is trash ! it is packed with everything filthy which is actually the main plot of this film . it contains the following incest , cannibalism , rape , chicken <unk> , nudity ( like you never seen <unk> beware of baby ' s birthday party entertainers ) , poo eating , <unk> , trailer trash , perversion , <unk> , egg <unk> , cross dressing . . . . . . you get the picture . above all , this is a definite must ! just beware of the birthday party
idx	token_id	token_str	shap_value
0	487	after	-0.12304896116256714
1	333	watching	1.0790322870016098
2	834	desperate	7.685909688472748
3	3586	living	0.7525749057531357
4	14	,	-0.06681302189826965
5	2	i	0.34424901008605957
6	88	was	0.18246811628341675
7	2272	hooked	-1.1662571430206299
8	135	on	-0.21796905994415283
9	889	john	-0.24310296773910522
10	11263	waters	0.2096414566040039
11	25	films	0.2709485590457916
12	18	.	0.07179303467273712
13	2	i	0.46289411187171936
14	2137	heard	-0.09478220343589783
15	80	about	0.44651487469673157
16	1689	pink	0.9376593828201294
17	1	<unk>	-0.5109057128429413
18	33	and	-0.5271300077438354
19	407	had	0.10420767962932587
20	7	to	2.956940710544586
21	540	watch	-0.10482373833656311
22	47	it	-0.09424478188157082
23	33	and	-0.5721953511238098
24	2483	boy	-0.15984366834163666
25	88	was	0.17859198153018951
26	47	it	-0.06575477123260498
27	314	worth	0.6314623802900314
28	47	it	-0.06987087056040764
29	574	!	0.10352443531155586
30	443	believe	0.7846478000283241
31	39	what	0.20477476716041565
32	310	you	-0.1857752501964569
33	237	hear	0.1367078721523285
34	14	,	-0.0442848801612854
35	47	it	-0.026368647813796997
36	41	is	-4.770875513553619
37	8032	trash	0.512453243136406
38	574	!	0.17049679160118103
39	47	it	-0.06776787340641022
40	41	is	-0.42016303539276123
41	3746	packed	-0.0845944955945015
42	126	with	0.16226209700107574
43	624	everything	-3.082871377468109
44	14187	filthy	0.6555674374103546
45	209	which	0.43625902384519577
46	41	is	-0.05643920227885246
47	1887	actually	-1.1441251635551453
48	31	the	-0.019063800573349
49	1119	main	-0.101724773645401
50	1343	plot	1.9347124993801117
51	11	of	-0.0944223403930664
52	70	this	-0.1938813030719757
53	63	film	-0.6116528809070587
54	18	.	0.04358243942260742
55	47	it	-0.11397483944892883
56	1425	contains	-0.42124544084072113
57	31	the	-0.09024602174758911
58	4306	following	0.5146555006504059
59	22751	incest	-0.7598620653152466
60	14	,	-0.10837382078170776
61	26821	cannibalism	0.2606263756752014
62	14	,	-3.521802008152008
63	3051	rape	0.1020183302462101
64	14	,	-0.2008851170539856
65	3851	chicken	-0.24008196592330933
66	1	<unk>	-0.4475354254245758
67	14	,	-0.15571411699056625
68	2784	nudity	0.0794457495212555
69	236	(	-1.1817490756511688
70	103	like	-2.5536681711673737
71	310	you	-0.25863539054989815
72	396	never	-0.6906304806470871
73	1065	seen	0.4540695548057556
74	1	<unk>	-0.37307417392730713
75	5766	beware	-0.3473801016807556
76	11	of	-0.026172012090682983
77	367	baby	-0.4933002293109894
78	4	'	0.41240501403808594
79	152	s	-0.9897620528936386
80	7183	birthday	-0.7280529141426086
81	2182	party	3.379512846469879
82	23810	entertainers	-0.2720365673303604
83	254	)	0.3425293192267418
84	14	,	-1.1381059288978577
85	18948	poo	0.31361234188079834
86	6159	eating	-0.11358267068862915
87	14	,	-0.0729408860206604
88	1	<unk>	-0.46422093361616135
89	14	,	-0.3703038692474365
90	5052	trailer	0.3186425566673279
91	8032	trash	0.3981002867221832
92	14	,	-0.07971767708659172
93	1332	perversion	0.09192401170730591
94	14	,	-0.10153007507324219
95	1	<unk>	-0.5214453935623169
96	14	,	-0.18380969762802124
97	27472	egg	-1.1945870965719223
98	1	<unk>	-0.33490750193595886
99	14	,	-0.0616210401058197
100	3865	cross	0.8801506757736206
101	15378	dressing	1.5144804120063782
102	18	.	0.143113374710083
103	18	.	0.1491571068763733
104	18	.	0.05050607770681381
105	18	.	0.027596771717071533
106	18	.	0.03350037336349487
107	18	.	0.051299482583999634
108	310	you	-0.15455467253923416
109	114	get	0.057002097368240356
110	31	the	-0.02328816056251526
111	495	picture	-0.4084070026874542
112	18	.	0.038067106157541275
113	3157	above	0.1543484553694725
114	544	all	0.14498865604400635
115	14	,	-0.09747602045536041
116	70	this	-0.15338581800460815
117	41	is	-0.29026687145233154
118	9	a	0.25995340943336487
119	4407	definite	-0.7387416958808899
120	2615	must	0.5474594235420227
121	574	!	0.2189648151397705
122	122	just	1.8314405679702759
123	5766	beware	-0.30894432961940765
124	11	of	-0.05700024962425232
125	31	the	0.07645482569932938
126	7183	birthday	-0.4958733469247818
127	2182	party	0.43586544692516327
