sample=105 explainer=permutation target=0 sample_size=128
detokenized_full_text: half a mystical thriller and half the <unk> fantasies of a fragile mind , guardian of the frontier is an engaging trip that soon <unk> . strong imagery and a compelling premise is soon overwhelmed by incoherent plotting , hackneyed dialogue , amateurish acting , and the most outlandish and over-the-top phallic imagery in recent memory ( here , a fish is most definitely not just a fish ! ) . evidently , this is the first <unk> feature film to be directed by a woman -- ms . <unk> must have been determined to prove that she could be as lurid and gratuitously explicit as any man . <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
idx	token_id	token_str	shap_value
0	499	half	0.23430925607681274
1	9	a	0.1748313307762146
2	7381	mystical	0.4780786782503128
3	4738	thriller	0.9075132757425308
4	33	and	-0.27685627341270447
5	499	half	2.39443176984787
6	31	the	0.0970904752612114
7	1	<unk>	-0.4525942802429199
8	5352	fantasies	-0.3779757618904114
9	11	of	-0.03738541901111603
10	9	a	0.06560468673706055
11	19808	fragile	-0.12761162966489792
12	985	mind	-0.09819655120372772
13	14	,	-0.07748271524906158
14	16296	guardian	-1.0203803181648254
15	11	of	-0.053656235337257385
16	31	the	0.09802454710006714
17	2192	frontier	-0.34208848513662815
18	41	is	-0.5624703876674175
19	268	an	0.641436405479908
20	4158	engaging	0.060634905472397804
21	1448	trip	-0.16593276523053646
22	42	that	-0.5899695754051208
23	1732	soon	-0.4394025504589081
24	1	<unk>	-0.41313059628009796
25	18	.	0.1984546035528183
26	736	strong	-0.5492012053728104
27	5055	imagery	-0.3225657045841217
28	33	and	-0.324329674243927
29	9	a	0.08687449991703033
30	4761	compelling	-0.2617286145687103
31	344	premise	-0.8985287547111511
32	41	is	-0.3068079948425293
33	1732	soon	-0.750636875629425
34	26837	overwhelmed	0.3094022385776043
35	167	by	-0.10595691204071045
36	1945	incoherent	3.4618389010429382
37	13714	plotting	0.0271950364112854
38	14	,	-0.16067537665367126
39	8681	hackneyed	0.2987552285194397
40	788	dialogue	0.6103432923555374
41	14	,	-0.112293541431427
42	5570	amateurish	0.7056028544902802
43	579	acting	0.08743120729923248
44	14	,	-0.0855603814125061
45	33	and	-0.7037038803100586
46	31	the	0.034065887331962585
47	44	most	0.16038474440574646
48	10622	outlandish	7.707980245351791
49	33	and	-0.30810754001140594
50	4778	over-the-top	-0.01643061637878418
51	7377	phallic	-0.011059224605560303
52	5055	imagery	-0.29452821239829063
53	82	in	-0.0328231155872345
54	3492	recent	0.5135213099420071
55	2068	memory	-0.3914785161614418
56	236	(	0.061945974826812744
57	87	here	-0.128940150141716
58	14	,	-0.21183262579143047
59	9	a	0.20782539248466492
60	16742	fish	-0.4957435056567192
61	41	is	-0.3047119341790676
62	44	most	0.18892548978328705
63	299	definitely	-1.0318152606487274
64	17	not	0.21109196171164513
65	122	just	-0.09168583154678345
66	9	a	0.12466955184936523
67	16742	fish	-0.4933735057711601
68	574	!	-2.499846935272217
69	254	)	1.2447520792484283
70	18	.	0.26033133268356323
71	7373	evidently	-5.415594771504402
72	14	,	-0.2581315189599991
73	70	this	-0.5350286960601807
74	41	is	-0.12200736999511719
75	31	the	0.048715949058532715
76	73	first	-0.048741161823272705
77	1	<unk>	-0.5491608381271362
78	2788	feature	-0.08309474587440491
79	63	film	-0.03153388202190399
80	7	to	0.03229707479476929
81	8	be	0.44030842185020447
82	1842	directed	0.15420743077993393
83	167	by	-0.27131253480911255
84	9	a	0.022355839610099792
85	413	woman	0.6186636537313461
86	1889	--	-1.297881469130516
87	2052	ms	0.022230759263038635
88	18	.	0.1084328293800354
89	1	<unk>	-3.9288285672664642
90	2615	must	0.43674854189157486
91	19	have	0.8612537682056427
92	248	been	0.5775289535522461
93	8570	determined	-0.1233186200261116
94	7	to	-0.15856938809156418
95	7353	prove	1.7349176704883575
96	42	that	-0.28954386711120605
97	450	she	0.7200307250022888
98	631	could	0.20281529426574707
99	8	be	0.4280175119638443
100	145	as	-0.3198411762714386
101	1331	lurid	-0.9900672435760498
102	33	and	-0.46727097034454346
103	25044	gratuitously	0.7218742072582245
104	3634	explicit	-0.32825360633432865
105	145	as	-0.2093556709587574
106	179	any	0.7156186699867249
107	1022	man	-0.04778069257736206
108	18	.	0.1002498734742403
109	0	<pad>	0.0
110	0	<pad>	0.0
111	0	<pad>	0.0
112	0	<pad>	0.0
113	0	<pad>	0.0
114	0	<pad>	0.0
115	0	<pad>	0.0
116	0	<pad>	0.0
117	0	<pad>	0.0
118	0	<pad>	0.0
119	0	<pad>	0.0
120	0	<pad>	0.0
121	0	<pad>	0.0
122	0	<pad>	0.0
123	0	<pad>	0.0
124	0	<pad>	0.0
125	0	<pad>	0.0
126	0	<pad>	0.0
127	0	<pad>	0.0
