sample=183 explainer=permutation target=0 sample_size=128
detokenized_full_text: <unk> is probably jackie chan ' s worst movie since the <unk> in 1985 . yes , i know that nobody watches his movies for their stories , but the plotting of this one is unusually lame , even by his standards , and while the fight choreography is up to his standards , the fight scenes ( the whole two of them ) are ruined , as others have mentioned , by the frenetic , distracting camerawork . even the most serious jackie chan fans shouldn ' t really bother with this offensively haphazard , <unk> garbage . anita <unk> ' s cute and perky performance is one of the few redeeming virtues . for a good serious jackie movie , i recommend crime story . (
idx	token_id	token_str	shap_value
0	1	<unk>	-0.7733985185623169
1	41	is	-1.6428787857294083
2	1047	probably	-0.7541103176772594
3	1493	jackie	-4.844858169555664
4	1515	chan	-0.31288450956344604
5	4	'	0.30692559480667114
6	152	s	-0.5078327655792236
7	982	worst	1.0851673036813736
8	71	movie	0.09886936470866203
9	503	since	-0.2548665218055248
10	31	the	0.05054217576980591
11	1	<unk>	-0.6846071034669876
12	82	in	-0.2179039716720581
13	9560	1985	0.5063822604715824
14	18	.	0.11219467222690582
15	200	yes	-0.2186126708984375
16	14	,	-0.2228723168373108
17	2	i	0.3741927742958069
18	636	know	0.08416587114334106
19	42	that	-0.9903813004493713
20	4009	nobody	0.17214453220367432
21	9380	watches	-1.4297964572906494
22	23	his	0.4759523272514343
23	149	movies	-0.10939770936965942
24	222	for	-0.01533612608909607
25	837	their	-0.5916976928710938
26	2679	stories	3.6361171901226044
27	14	,	-0.14761728048324585
28	57	but	0.7333179712295532
29	31	the	0.013714492321014404
30	13714	plotting	0.20236435532569885
31	11	of	0.014661431312561035
32	70	this	-0.225180983543396
33	233	one	-0.37615591287612915
34	41	is	-1.2023368924856186
35	10347	unusually	-1.8705257289111614
36	2994	lame	3.820908546447754
37	14	,	-0.17579370737075806
38	970	even	3.8755739331245422
39	167	by	-0.16790485382080078
40	23	his	0.5138368010520935
41	297	standards	0.635444700717926
42	14	,	-0.23313257098197937
43	33	and	-0.40941500663757324
44	1353	while	0.632887989282608
45	31	the	0.04921124875545502
46	2760	fight	-0.21477920562028885
47	8523	choreography	0.08824891969561577
48	41	is	-0.2606947124004364
49	195	up	0.7338855266571045
50	7	to	-0.06728444993495941
51	23	his	0.34934182837605476
52	297	standards	1.273516684770584
53	14	,	-0.18470188975334167
54	31	the	0.03935009241104126
55	2760	fight	-0.26012416183948517
56	121	scenes	1.8939418196678162
57	236	(	-0.19393014907836914
58	31	the	0.11990891396999359
59	259	whole	1.5215862393379211
60	595	two	-1.3041604161262512
61	11	of	-0.04085753858089447
62	230	them	-0.7748226821422577
63	254	)	0.23829591274261475
64	226	are	-0.34578245878219604
65	1243	ruined	1.9044376015663147
66	14	,	-0.250730287283659
67	145	as	-0.4746447242796421
68	3460	others	-0.4003600776195526
69	19	have	0.7069203816354275
70	5495	mentioned	0.7844249606132507
71	14	,	-0.22651851177215576
72	167	by	-0.218138188123703
73	31	the	0.0018885433673858643
74	8601	frenetic	-0.35601985454559326
75	14	,	-0.10654124617576599
76	8990	distracting	-0.6316200792789459
77	6907	camerawork	-2.997021570801735
78	18	.	0.03890560567378998
79	970	even	0.6851501166820526
80	31	the	-0.05427807569503784
81	44	most	-0.37757812440395355
82	2175	serious	0.16060811281204224
83	1493	jackie	-0.46668945252895355
84	1515	chan	-0.7218014597892761
85	301	fans	-0.2523012161254883
86	626	shouldn	1.2090481966733932
87	4	'	0.3578386791050434
88	5	t	-0.5615180134773254
89	124	really	0.3243817090988159
90	5406	bother	1.2148541919887066
91	126	with	0.3498270511627197
92	70	this	-0.4010095000267029
93	18307	offensively	1.310403436422348
94	15349	haphazard	0.455562237650156
95	14	,	-0.15898697078227997
96	1	<unk>	-0.9268345385789871
97	6193	garbage	-0.098764568567276
98	18	.	0.13725978136062622
99	15776	anita	0.26820313930511475
100	1	<unk>	-1.6641328632831573
101	4	'	0.36719049513339996
102	152	s	-0.7505591996014118
103	1838	cute	-0.46635013818740845
104	33	and	-0.37345069646835327
105	15295	perky	0.10299301147460938
106	187	performance	-1.5216676741838455
107	41	is	-0.35830071568489075
108	233	one	0.04975724220275879
109	11	of	-0.22790440917015076
110	31	the	0.012083888053894043
111	497	few	0.21459051966667175
112	8513	redeeming	1.017195750027895
113	9526	virtues	-2.9393098652362823
114	18	.	-4.365154325962067
115	222	for	-0.039465248584747314
116	9	a	0.2522624582052231
117	204	good	-0.1008162796497345
118	2175	serious	0.1658799648284912
119	1493	jackie	-0.4315115958452225
120	71	movie	0.09229281544685364
121	14	,	-0.11129492521286011
122	2	i	0.30459950864315033
123	1880	recommend	-1.1818496622145176
124	999	crime	12.304723650217056
125	202	story	-0.9342885166406631
126	18	.	0.11984111368656158
127	236	(	-0.3254097253084183
