sample=226 explainer=permutation target=0 sample_size=128
detokenized_full_text: having seen many of wong <unk> ' s other movies ( happy together , fallen angels , ashes of time ) , i knew what to expect coming in to the theatre the cinematography would be lush , the use of space and perspective would be varied , the acting would be superb , and at least one of the characters would be consumed by an <unk> loneliness . these are , after all , precisely the techniques that make wong <unk> ' s art what it is . what i was not expecting was the degree to which i was drawn into a film that some reviewers dismissed as unfinished and compelled by characters who seemed consumed by <unk> . i find it interesting how people can
idx	token_id	token_str	shap_value
0	874	having	-0.14694786071777344
1	1065	seen	0.5094744563102722
2	1615	many	0.5614199489355087
3	11	of	-0.7425277233123779
4	10601	wong	-0.5064970105886459
5	1	<unk>	-0.28630173206329346
6	4	'	0.15911006927490234
7	152	s	-4.5031624138355255
8	476	other	-0.3737582713365555
9	149	movies	-0.011108160018920898
10	236	(	-0.21402689814567566
11	1639	happy	-0.8901243805885315
12	266	together	-0.199080228805542
13	14	,	-0.19945824146270752
14	5955	fallen	-0.2150249183177948
15	5094	angels	-0.24295589327812195
16	14	,	-0.06347516179084778
17	18425	ashes	-0.6167475841939449
18	11	of	-1.9720683097839355
19	552	time	-1.7894112169742584
20	254	)	0.14593565464019775
21	14	,	-0.31459689140319824
22	2	i	0.161293875426054
23	5888	knew	6.765972375869751
24	39	what	0.5453252792358398
25	7	to	0.008665323257446289
26	731	expect	0.4230959415435791
27	3722	coming	1.40339994430542
28	82	in	-0.028303802013397217
29	7	to	0.14009973406791687
30	31	the	0.06260514259338379
31	3737	theatre	0.34335577487945557
32	31	the	1.0266526341438293
33	2294	cinematography	-0.17074522376060486
34	138	would	0.13563835620880127
35	8	be	0.21155107021331787
36	9378	lush	0.8452145792543888
37	14	,	-0.09957993030548096
38	31	the	0.06696826219558716
39	2113	use	4.904842257499695
40	11	of	-1.0473252534866333
41	1123	space	-0.5881065130233765
42	33	and	-0.30843526124954224
43	2335	perspective	-0.9131669998168945
44	138	would	0.19758723676204681
45	8	be	0.17325204610824585
46	20146	varied	-0.44375813007354736
47	14	,	-0.029530584812164307
48	31	the	0.05706426501274109
49	579	acting	0.10558933019638062
50	138	would	0.31253522634506226
51	8	be	-0.24673616886138916
52	1320	superb	-0.20057377219200134
53	14	,	-0.10962224006652832
54	33	and	-0.3852994032204151
55	90	at	-1.738262265920639
56	464	least	-0.20704343542456627
57	233	one	-0.040305137634277344
58	11	of	0.020250916481018066
59	31	the	0.12875917553901672
60	93	characters	0.2775394916534424
61	138	would	0.7234174609184265
62	8	be	0.24639438837766647
63	20639	consumed	0.8733373135328293
64	167	by	-0.3444763422012329
65	268	an	0.4052402824163437
66	1	<unk>	-1.3659878969192505
67	12145	loneliness	-0.14401841163635254
68	18	.	0.13209930062294006
69	821	these	0.05719351768493652
70	226	are	-0.20937995612621307
71	14	,	-0.25861820578575134
72	487	after	-0.11597657203674316
73	544	all	0.20136883109807968
74	14	,	-0.04901123046875
75	17823	precisely	1.261644959449768
76	31	the	0.05491715669631958
77	3247	techniques	-0.0393141508102417
78	42	that	-0.36098194122314453
79	935	make	1.8093371987342834
80	10601	wong	-0.5116377472877502
81	1	<unk>	-0.4369579553604126
82	4	'	0.19902944564819336
83	152	s	-0.4432348646223545
84	111	art	-0.29030120372772217
85	39	what	0.15976166725158691
86	47	it	0.09957873821258545
87	41	is	-0.18207332491874695
88	18	.	0.10569930076599121
89	39	what	0.1658099889755249
90	2	i	-0.09109741449356079
91	88	was	-0.09747982025146484
92	17	not	0.14894264936447144
93	3627	expecting	-0.44153372943401337
94	88	was	0.4482438266277313
95	31	the	0.05862554907798767
96	8627	degree	0.38465285301208496
97	7	to	0.024679213762283325
98	209	which	0.5517181977629662
99	2	i	0.17021030187606812
100	88	was	0.08871901035308838
101	1034	drawn	-1.4128828644752502
102	368	into	-0.3179144859313965
103	9	a	0.04708987474441528
104	63	film	-0.963504109531641
105	42	that	-0.4234936647117138
106	120	some	-0.04867091774940491
107	8026	reviewers	-0.14458757638931274
108	15364	dismissed	-1.7950992286205292
109	145	as	-0.27897095680236816
110	12950	unfinished	0.354595810174942
111	33	and	-0.27543599531054497
112	11882	compelled	0.18394839763641357
113	167	by	-0.2059498280286789
114	93	characters	0.18035399913787842
115	347	who	0.14905724301934242
116	3311	seemed	-0.002748042345046997
117	20639	consumed	0.3801974058151245
118	167	by	-0.22134578227996826
119	1	<unk>	-0.4543370008468628
120	18	.	-0.9118119478225708
121	2	i	1.4550969302654266
122	257	find	-0.08923447132110596
123	47	it	-0.16591095924377441
124	1112	interesting	0.26871269941329956
125	91	how	-0.8773256838321686
126	78	people	1.1928871273994446
127	40	can	0.04309213161468506
