sample=203 explainer=permutation target=0 sample_size=128
detokenized_full_text: another black comedy that won an oscar for best screenplay . starring george c scott , this <unk> the phrase tearing a new <unk> . in this case , the target is america ' s <unk> and grand hospital system . throughout the hospital , patients and doctors are dying because their names and <unk> are being changed . scott <unk> , screams and <unk> away his workers and bosses as they fail more and more . his comment about <unk> to one of his many bosses is sure to <unk> laughs . he even beats and rapes a hippie 3 times . this is one that has to be seen and heard as the monologues and <unk> are the key points in the film . <pad> <pad>
idx	token_id	token_str	shap_value
0	1134	another	0.11900663375854492
1	496	black	-0.19137191772460938
2	1525	comedy	0.13147449493408203
3	42	that	-0.08381438255310059
4	3	won	0.34356868267059326
5	268	an	0.3295830488204956
6	5764	oscar	0.07762986421585083
7	222	for	-0.17746925354003906
8	235	best	-0.3794974088668823
9	2847	screenplay	0.38518282771110535
10	18	.	0.07072532176971436
11	4450	starring	0.1525799036026001
12	1489	george	0.029639601707458496
13	1111	c	0.10719788074493408
14	4432	scott	-0.03549081087112427
15	14	,	-0.07989859580993652
16	70	this	-0.009715557098388672
17	1	<unk>	-0.39673423767089844
18	31	the	0.0192490816116333
19	4421	phrase	0.29973548650741577
20	3360	tearing	0.6179955452680588
21	9	a	-0.13589751720428467
22	615	new	-0.16096949577331543
23	1	<unk>	-0.6189468204975128
24	18	.	0.2400754690170288
25	82	in	0.07297956943511963
26	70	this	-0.06654785573482513
27	196	case	0.6028285622596741
28	14	,	-0.15146994590759277
29	31	the	0.05222773551940918
30	2880	target	-1.1470000743865967
31	41	is	-0.16175270080566406
32	908	america	0.007589578628540039
33	4	'	0.13106298446655273
34	152	s	-0.15576612949371338
35	1	<unk>	-0.21042180061340332
36	33	and	-0.417735006660223
37	4914	grand	0.5816717147827148
38	3296	hospital	0.5674303770065308
39	641	system	0.022649049758911133
40	18	.	0.04372084140777588
41	1872	throughout	0.44237005710601807
42	31	the	0.10720980167388916
43	3296	hospital	0.6526790857315063
44	14	,	-0.14742302894592285
45	15656	patients	-0.49463656544685364
46	33	and	-0.4084548354148865
47	1665	doctors	0.21378350257873535
48	226	are	-0.1219179630279541
49	3237	dying	-0.154110848903656
50	15	because	-0.8617303371429443
51	837	their	-0.5376766920089722
52	180	names	0.34345757961273193
53	33	and	-0.14870429039001465
54	1	<unk>	-0.21663427352905273
55	226	are	-1.0799753665924072
56	943	being	-0.20517079904675484
57	7009	changed	0.17972445487976074
58	18	.	0.05722391605377197
59	4432	scott	-0.03984391689300537
60	1	<unk>	-0.4043126404285431
61	14	,	-0.11452841758728027
62	3230	screams	-0.1434118151664734
63	33	and	-0.21632111072540283
64	1	<unk>	-1.269620656967163
65	486	away	0.4943597763776779
66	23	his	0.3748880624771118
67	5799	workers	-3.877478301525116
68	33	and	-0.22852563858032227
69	5989	bosses	0.11085999011993408
70	145	as	-0.15475988388061523
71	622	they	0.6988865882158279
72	3498	fail	-0.09048926830291748
73	102	more	0.02383255958557129
74	33	and	-0.3101988434791565
75	102	more	0.1503690667450428
76	18	.	0.27322161197662354
77	23	his	0.21690261363983154
78	1168	comment	-0.23110005259513855
79	80	about	0.1686861515045166
80	1	<unk>	-0.21707916259765625
81	7	to	0.05858469009399414
82	233	one	0.046618103981018066
83	11	of	-0.05324137210845947
84	23	his	0.27745091915130615
85	1615	many	0.4142838716506958
86	5989	bosses	-0.03804183006286621
87	41	is	0.05733680725097656
88	936	sure	0.879909947514534
89	7	to	-0.06823968887329102
90	1	<unk>	-1.355349451303482
91	2189	laughs	-0.5167815685272217
92	18	.	0.0467684268951416
93	370	he	-0.22257208824157715
94	970	even	0.18415510654449463
95	6121	beats	1.8521294593811035
96	33	and	-0.5990681648254395
97	13738	rapes	0.17617571353912354
98	9	a	0.1277642548084259
99	6351	hippie	0.6252619475126266
100	515	3	0.12816083431243896
101	335	times	-0.06914961338043213
102	18	.	0.16047416254878044
103	70	this	-0.47809603810310364
104	41	is	-0.07162368297576904
105	233	one	0.06163465976715088
106	42	that	0.021661043167114258
107	416	has	-0.19442792981863022
108	7	to	0.00731348991394043
109	8	be	2.065224289894104
110	1065	seen	0.6250686645507812
111	33	and	-0.15674197673797607
112	2137	heard	-0.02911745011806488
113	145	as	-0.31984809041023254
114	31	the	2.1156081557273865
115	3764	monologues	-0.058425068855285645
116	33	and	-0.19821345806121826
117	1	<unk>	-0.47711560875177383
118	226	are	-0.19088101387023926
119	31	the	0.07459618151187897
120	5119	key	0.3314637094736099
121	5207	points	0.5206385850906372
122	82	in	-1.962027907371521
123	31	the	-0.012549757957458496
124	63	film	-0.34230560064315796
125	18	.	0.2621581554412842
126	0	<pad>	0.0
127	0	<pad>	0.0
