sample=156 explainer=permutation target=0 sample_size=128
detokenized_full_text: i saw this film when it first came out and hated it . i just saw it again 27 years later . i actually liked some of it . . . although robin williams was totally wrong for the role . . . what i remember most about <unk> the film is that it was almost the complete opposite of what i had understood when i read the book . since i haven ' t <unk> it , i can only give you my impressions from the past - but i am sure of one thing - the film is a paean to family life , whereas in the book , almost all traditional <unk> - including , and perhaps especially , marriage - are shown to be
idx	token_id	token_str	shap_value
0	2	i	0.009138911962509155
1	554	saw	0.06436854600906372
2	70	this	-0.028777480125427246
3	63	film	-3.1812283396720886
4	700	when	0.03122091293334961
5	47	it	-0.08823597431182861
6	73	first	-0.0037287473678588867
7	778	came	-0.12388569116592407
8	258	out	0.26404905319213867
9	33	and	-0.18971943855285645
10	3562	hated	0.6323797106742859
11	47	it	-0.024387359619140625
12	18	.	0.07423281669616699
13	2	i	0.11055243015289307
14	122	just	0.41792094707489014
15	554	saw	-0.003598928451538086
16	47	it	-0.1385946273803711
17	164	again	-0.023456096649169922
18	18976	27	-0.3509731888771057
19	553	years	-0.24653351306915283
20	565	later	-0.20676171779632568
21	18	.	0.0351719856262207
22	2	i	0.07106369733810425
23	1887	actually	-0.32392555475234985
24	583	liked	-1.8388701975345612
25	120	some	-0.004636287689208984
26	11	of	-0.06709206104278564
27	47	it	-0.06437289714813232
28	18	.	0.014995694160461426
29	18	.	0.0700330138206482
30	18	.	0.026906132698059082
31	393	although	0.14371490478515625
32	2785	robin	0.021149277687072754
33	8075	williams	-0.3557831645011902
34	88	was	0.12864583730697632
35	712	totally	-0.3131958246231079
36	1468	wrong	0.46482861042022705
37	222	for	-0.04031026363372803
38	31	the	0.08445858955383301
39	1257	role	0.29331231117248535
40	18	.	0.08909720182418823
41	18	.	0.017826199531555176
42	18	.	-0.5517451725900173
43	39	what	0.5186615586280823
44	2	i	0.4248819351196289
45	1985	remember	-0.046105265617370605
46	44	most	0.05172570422291756
47	80	about	0.19599103927612305
48	1	<unk>	-0.23495668172836304
49	31	the	0.050676584243774414
50	63	film	-0.19386577606201172
51	41	is	-0.054224252700805664
52	42	that	-0.5498858094215393
53	47	it	0.09065324068069458
54	88	was	0.11505544185638428
55	961	almost	-0.2533094882965088
56	31	the	0.42782914638519287
57	2755	complete	0.6170185804367065
58	2418	opposite	1.0046018362045288
59	11	of	-0.09348976612091064
60	39	what	0.7788588665425777
61	2	i	0.12162744998931885
62	407	had	0.2505989372730255
63	6479	understood	0.45879513025283813
64	700	when	0.053738951683044434
65	2	i	0.002944469451904297
66	2028	read	-0.2774209976196289
67	31	the	0.10151982307434082
68	2029	book	0.039237022399902344
69	18	.	0.11549127101898193
70	503	since	-0.1882830560207367
71	2	i	0.0173184871673584
72	2750	haven	-0.4871668219566345
73	4	'	0.15891486406326294
74	5	t	0.2983769178390503
75	1	<unk>	-0.2294321060180664
76	47	it	-0.13911199569702148
77	14	,	-0.08485126495361328
78	2	i	0.018538594245910645
79	40	can	0.14351922273635864
80	20	only	0.8951595425605774
81	306	give	0.13638091087341309
82	310	you	-0.08617138862609863
83	83	my	-0.29877662658691406
84	20830	impressions	0.1709442138671875
85	376	from	0.006023585796356201
86	31	the	0.0827411413192749
87	2236	past	0.1398857831954956
88	379	-	-0.03847396373748779
89	57	but	1.1727403849363327
90	2	i	0.01914501190185547
91	16	am	0.1794135570526123
92	936	sure	0.18241441249847412
93	11	of	-0.15956443548202515
94	233	one	0.3262678384780884
95	717	thing	0.6146239936351776
96	379	-	-0.11260485649108887
97	31	the	0.07349658012390137
98	63	film	-0.17370855808258057
99	41	is	-0.01713871955871582
100	9	a	0.09546825289726257
101	11115	paean	-0.0005341768264770508
102	7	to	0.09442871809005737
103	319	family	0.040155887603759766
104	749	life	-0.055075883865356445
105	14	,	-0.1199408769607544
106	2035	whereas	0.49774420261383057
107	82	in	-0.08504366874694824
108	31	the	0.1191476583480835
109	2029	book	0.033849120140075684
110	14	,	-0.07722771167755127
111	961	almost	-0.18528062105178833
112	544	all	0.09936189651489258
113	4146	traditional	-0.3140803575515747
114	1	<unk>	-0.3518110513687134
115	379	-	-0.0697096586227417
116	987	including	-0.4303978681564331
117	14	,	-0.36065852642059326
118	33	and	-0.2742568254470825
119	617	perhaps	0.20178323984146118
120	117	especially	0.4352942109107971
121	14	,	-0.4560350775718689
122	724	marriage	-2.8075131811201572
123	379	-	-0.0467756986618042
124	226	are	-0.3033975660800934
125	1187	shown	-0.3249037265777588
126	7	to	0.09597957134246826
127	8	be	0.7595535516738892
