sample=182 explainer=permutation target=0 sample_size=128
detokenized_full_text: fc de <unk> ' s only reason for existence is it ' s local popularity . it has caused this sitcom to run for over 15 years ( and still <unk> ) . it deals about an amateur soccer team with the emphasis amateur . every storyline deals with the same subject some <unk> that takes ridiculous ( and predictable ) proportions , to get resolved in the end . the show ' s been running for over 15 years now , and the production probably decided not to change a winning team . which means that the show has had minor changes over the course of years ( besides a couple of actors getting replaced ( they nearly all left by themselves rather than being thrown of
idx	token_id	token_str	shap_value
0	23137	fc	0.17280147969722748
1	1309	de	-0.540200725197792
2	1	<unk>	-0.6733089312911034
3	4	'	1.1606315970420837
4	152	s	-0.6567634083330631
5	20	only	1.2648051381111145
6	2527	reason	-0.14300692081451416
7	222	for	-0.04871472716331482
8	1983	existence	0.05798828601837158
9	41	is	-0.23393335938453674
10	47	it	0.08583670854568481
11	4	'	0.5808481872081757
12	152	s	-1.1192770451307297
13	684	local	0.38510290533304214
14	3740	popularity	-0.2932918071746826
15	18	.	0.23391488194465637
16	47	it	0.00037600845098495483
17	416	has	-0.3331911079585552
18	8743	caused	-0.9491664320230484
19	70	this	-0.13958388566970825
20	12606	sitcom	0.5008831657469273
21	7	to	-0.0009391307830810547
22	488	run	1.0476709306240082
23	222	for	-0.29085391759872437
24	176	over	0.043766140937805176
25	3471	15	0.4943010285496712
26	553	years	-0.624887190759182
27	236	(	-0.4983726739883423
28	33	and	-0.6070324592292309
29	685	still	-0.5960884094238281
30	1	<unk>	-0.5371547788381577
31	254	)	0.29286181926727295
32	18	.	0.165407694876194
33	47	it	0.003222048282623291
34	2613	deals	-0.06757352501153946
35	80	about	0.014735162258148193
36	268	an	0.31403039768338203
37	8578	amateur	2.5989529192447662
38	7098	soccer	-0.012429788708686829
39	169	team	-0.17608647048473358
40	126	with	0.17156162858009338
41	31	the	0.22769656777381897
42	12711	emphasis	0.6904931589961052
43	8578	amateur	0.48253345489501953
44	18	.	0.07707607001066208
45	190	every	-0.3370469808578491
46	3570	storyline	-0.1395491063594818
47	2613	deals	0.015851974487304688
48	126	with	0.185954749584198
49	31	the	0.08211319148540497
50	686	same	2.041034445166588
51	2153	subject	-0.29980073869228363
52	120	some	-0.11851002275943756
53	1	<unk>	-0.8496677428483963
54	42	that	0.03276592493057251
55	650	takes	0.5016582496464252
56	469	ridiculous	1.9965707659721375
57	236	(	-0.18129372596740723
58	33	and	-0.45530402660369873
59	3224	predictable	0.35111087560653687
60	254	)	0.26596367359161377
61	10561	proportions	0.29265010356903076
62	14	,	-0.2393297553062439
63	7	to	-0.014203429222106934
64	114	get	3.0584011673927307
65	2699	resolved	-0.25715475529432297
66	82	in	0.05462545156478882
67	31	the	2.1470552682876587
68	119	end	-0.3629557676613331
69	18	.	0.2593931257724762
70	31	the	0.048963189125061035
71	253	show	-0.4448322057723999
72	4	'	0.2588239312171936
73	152	s	-0.7515103854238987
74	248	been	0.26948241889476776
75	2195	running	-0.07080316543579102
76	222	for	-0.02890358865261078
77	176	over	-0.24162369966506958
78	3471	15	1.6075451970100403
79	553	years	-6.312696874141693
80	373	now	-1.6320077329874039
81	14	,	-0.26130495965480804
82	33	and	-0.45279501378536224
83	31	the	0.12776045501232147
84	692	production	-0.3605172038078308
85	1047	probably	-0.4299386739730835
86	1159	decided	-0.22489047050476074
87	17	not	0.16225197166204453
88	7	to	0.023534327745437622
89	2152	change	0.3045508861541748
90	9	a	0.08490921556949615
91	2631	winning	-4.525697857141495
92	169	team	-0.23466190695762634
93	18	.	0.28336678445339203
94	209	which	0.7135836780071259
95	2325	means	0.9884285479784012
96	42	that	-0.26811568439006805
97	31	the	0.27879780530929565
98	253	show	-0.32777124643325806
99	416	has	-0.8258005231618881
100	407	had	-0.17894595116376877
101	4428	minor	-1.4507513046264648
102	5548	changes	1.6892929077148438
103	176	over	-0.2536049857735634
104	31	the	0.15801367163658142
105	440	course	-0.6809898018836975
106	11	of	-0.03717857599258423
107	553	years	-0.6214815862476826
108	236	(	-0.1665775366127491
109	2437	besides	-0.20486009120941162
110	9	a	0.11094298958778381
111	1739	couple	1.17660541087389
112	11	of	0.0033530741930007935
113	183	actors	1.314637079834938
114	338	getting	-0.11498144268989563
115	2817	replaced	-0.11584019660949707
116	236	(	-0.08747577667236328
117	622	they	0.9444166421890259
118	3811	nearly	1.505490355193615
119	544	all	0.18363191187381744
120	797	left	-0.3884423226118088
121	167	by	-0.6101283431053162
122	633	themselves	-0.2733749449253082
123	608	rather	0.8616258874535561
124	107	than	0.1498091220855713
125	943	being	-0.3524729907512665
126	267	thrown	-0.06867790222167969
127	11	of	-0.038307711482048035
