sample=33 explainer=permutation target=0 sample_size=128
detokenized_full_text: i finally managed to see this movie . . . after so many years of <unk> . . . i was so curious to see if this movie it is as bad as some people say . . and my opinion is that this movie it wasn ' t bad at all , on the contrary it was amazing . . . i enjoyed every second from it . . . from the beginning until the end . . . the actors were great they sent me the feeling that i was living the story at the same time as the movie was playing . . . the landscapes were so beautiful were the film was shot . . . and it did charmed me . . also
idx	token_id	token_str	shap_value
0	2	i	0.12230467796325684
1	36	finally	-0.17571401596069336
2	3526	managed	-0.13651251792907715
3	7	to	0.03473687171936035
4	321	see	-0.13660550117492676
5	70	this	0.09222090244293213
6	71	movie	0.05119132995605469
7	18	.	0.004260540008544922
8	18	.	-1.3502946496009827
9	18	.	-0.008027791976928711
10	487	after	0.09073221683502197
11	26	so	0.07513737678527832
12	1615	many	0.12752604484558105
13	553	years	-0.13684594631195068
14	11	of	-0.046343088150024414
15	1	<unk>	-0.226318359375
16	18	.	0.0022466182708740234
17	18	.	0.0065184831619262695
18	18	.	0.004780888557434082
19	2	i	0.07561290264129639
20	88	was	0.11218476295471191
21	26	so	0.0396038293838501
22	1972	curious	-0.05508303642272949
23	7	to	0.037978291511535645
24	321	see	-0.11428391933441162
25	637	if	0.031206846237182617
26	70	this	0.13532567024230957
27	71	movie	0.03316760063171387
28	47	it	-0.0261080265045166
29	41	is	-0.04374825954437256
30	145	as	-0.07669782638549805
31	197	bad	0.3142356872558594
32	145	as	-0.08074080944061279
33	120	some	0.03042435646057129
34	78	people	0.6171783208847046
35	79	say	-0.1291903257369995
36	18	.	-0.0014030933380126953
37	18	.	-0.001641392707824707
38	33	and	-0.12261199951171875
39	83	my	0.00708162784576416
40	84	opinion	0.08230972290039062
41	41	is	-0.029828786849975586
42	42	that	-0.0004533529281616211
43	70	this	0.026059865951538086
44	71	movie	0.18309104442596436
45	47	it	-1.579468011856079
46	510	wasn	-0.05200982093811035
47	4	'	0.04367029666900635
48	5	t	0.0009555816650390625
49	197	bad	0.27557313442230225
50	90	at	-0.06027042865753174
51	544	all	0.4025287628173828
52	14	,	-0.05577206611633301
53	135	on	-0.0008066892623901367
54	31	the	0.02625894546508789
55	1191	contrary	-0.40021002292633057
56	47	it	-0.027672886848449707
57	88	was	0.08864641189575195
58	2746	amazing	-0.48487019538879395
59	18	.	-0.0037022829055786133
60	18	.	-0.3997231721878052
61	18	.	-0.001658320426940918
62	2	i	0.02274930477142334
63	374	enjoyed	-0.02230989933013916
64	190	every	-0.4631005525588989
65	946	second	0.18047428131103516
66	376	from	-0.542413592338562
67	47	it	-0.04162788391113281
68	18	.	0.02178966999053955
69	18	.	0.034174442291259766
70	18	.	0.07243955135345459
71	376	from	0.010538101196289062
72	31	the	0.025345683097839355
73	1845	beginning	0.1326831579208374
74	372	until	-0.20407891273498535
75	31	the	0.05127537250518799
76	119	end	-0.04006004333496094
77	18	.	0.0005141496658325195
78	18	.	-1.3502946496009827
79	18	.	0.00029075145721435547
80	31	the	0.024630069732666016
81	183	actors	0.6347800493240356
82	94	were	-0.3227219022810459
83	165	great	-0.19113993644714355
84	622	they	0.25916123390197754
85	7702	sent	-0.10312342643737793
86	331	me	-0.20497679710388184
87	31	the	0.04239463806152344
88	798	feeling	0.15458261966705322
89	42	that	0.02258908748626709
90	2	i	1.2272638715803623
91	88	was	0.09719574451446533
92	3586	living	0.16055452823638916
93	31	the	0.050965189933776855
94	202	story	-0.7580945491790771
95	90	at	-0.047585487365722656
96	31	the	0.039585113525390625
97	686	same	0.31383752822875977
98	552	time	-0.11797451972961426
99	145	as	-0.6629291772842407
100	31	the	0.35874783992767334
101	71	movie	0.06642210483551025
102	88	was	0.13277053833007812
103	1837	playing	0.0025763511657714844
104	18	.	0.006309151649475098
105	18	.	-0.0009720325469970703
106	18	.	-0.007954001426696777
107	31	the	0.03722405433654785
108	8680	landscapes	0.36719393730163574
109	94	were	0.4058377742767334
110	26	so	0.039275288581848145
111	58	beautiful	-0.569557785987854
112	94	were	-0.039286136627197266
113	31	the	0.05215156078338623
114	63	film	0.011922836303710938
115	88	was	0.1382434368133545
116	394	shot	0.05501258373260498
117	18	.	0.00332486629486084
118	18	.	0.0006898641586303711
119	18	.	0.005936145782470703
120	33	and	-0.13556766510009766
121	47	it	-0.028416752815246582
122	154	did	0.014758467674255371
123	10641	charmed	0.4203561544418335
124	331	me	-0.408208966255188
125	18	.	0.02091085910797119
126	18	.	0.06800699234008789
127	582	also	-0.4431687593460083
