sample=49 explainer=permutation target=0 sample_size=128
detokenized_full_text: the duo of abbott and costello lives on in this version of a <unk> classic . in jack and the <unk> , there ' s everything to see , music , magic , and comedy rolled into one . costello play plays jack after he listens to the story being told by a young boy one time . we know jack was a poor boy who sells his cow <unk> for 5 magic beans . well , he plants those 5 beans , and they were indeed , magic . he climbs to the sky , sees a big castle there , and he would sing a song , unknown he would encounter the giant ( buddy <unk> ) . not only him , he would dance with
idx	token_id	token_str	shap_value
0	31	the	0.26650941371917725
1	8044	duo	0.16129541397094727
2	11	of	-0.42993295192718506
3	5487	abbott	0.08704817295074463
4	33	and	-4.809604048728943
5	5488	costello	0.49736618995666504
6	3789	lives	-0.5169826745986938
7	135	on	-0.22730493545532227
8	82	in	-0.12568092346191406
9	70	this	-0.22623658180236816
10	612	version	-0.4168781638145447
11	11	of	-0.130470871925354
12	9	a	0.1490764021873474
13	1	<unk>	-0.14404118061065674
14	68	classic	-0.189375638961792
15	18	.	-0.22270214557647705
16	82	in	-0.13163471221923828
17	3879	jack	0.17206402122974396
18	33	and	-0.1797388792037964
19	31	the	0.331673264503479
20	1	<unk>	-0.35108381509780884
21	14	,	-0.15898680686950684
22	158	there	0.2787123918533325
23	4	'	0.08423745632171631
24	152	s	-0.7317814826965332
25	624	everything	-0.22125983238220215
26	7	to	0.21702992916107178
27	321	see	-0.16270732879638672
28	14	,	-0.12780525535345078
29	1125	music	-0.19411253929138184
30	14	,	-0.13364291191101074
31	2939	magic	-0.23233866691589355
32	14	,	-0.1696000099182129
33	33	and	-2.2389393486082554
34	1525	comedy	-0.016699910163879395
35	4195	rolled	-0.15052735805511475
36	368	into	-0.6124403476715088
37	233	one	0.030864834785461426
38	18	.	-0.0641934871673584
39	5488	costello	0.3827928304672241
40	1061	play	-0.6083425879478455
41	1454	plays	-0.39432764053344727
42	3879	jack	0.1352379322052002
43	487	after	0.2192474603652954
44	370	he	-0.16215109825134277
45	5724	listens	-0.3064427375793457
46	7	to	0.020601749420166016
47	31	the	0.06932902336120605
48	202	story	-0.22184383869171143
49	943	being	-0.7705963850021362
50	1334	told	0.522014856338501
51	167	by	-0.1418471299111843
52	9	a	0.12915027141571045
53	2255	young	-0.07694947719573975
54	2483	boy	-0.022991061210632324
55	233	one	0.035699665546417236
56	552	time	-0.3899928331375122
57	18	.	0.17878055572509766
58	780	we	-0.17031288146972656
59	636	know	0.13380110263824463
60	3879	jack	0.17512792348861694
61	88	was	0.10441625118255615
62	9	a	0.1217191219329834
63	3395	poor	0.30954667925834656
64	2483	boy	-0.1303030103445053
65	347	who	0.23000895977020264
66	21350	sells	0.1633768305182457
67	23	his	0.3694816827774048
68	18918	cow	-0.11099553108215332
69	1	<unk>	-0.18187189102172852
70	222	for	0.04488372802734375
71	22	5	-0.20524632930755615
72	2939	magic	-0.613130122423172
73	7797	beans	0.4359612464904785
74	18	.	0.0013365745544433594
75	141	well	-0.5285086035728455
76	14	,	-0.18791258335113525
77	370	he	-0.03155505657196045
78	27373	plants	1.1961913108825684
79	977	those	-0.0670849084854126
80	22	5	0.023851394653320312
81	7797	beans	0.3399614095687866
82	14	,	-0.08918309211730957
83	33	and	-0.830297589302063
84	622	they	1.3865325450897217
85	94	were	-0.10749197006225586
86	2207	indeed	6.97416478395462
87	14	,	-3.512843430042267
88	2939	magic	-0.21785438060760498
89	18	.	0.028975844383239746
90	370	he	-0.297176718711853
91	24457	climbs	0.11283421516418457
92	7	to	0.0711972713470459
93	31	the	0.0927971601486206
94	7022	sky	-0.037134528160095215
95	14	,	-0.16571557521820068
96	362	sees	-0.11967635154724121
97	9	a	0.10095882415771484
98	104	big	-0.06166279315948486
99	1161	castle	0.12478363513946533
100	158	there	0.23313605785369873
101	14	,	-0.2711859941482544
102	33	and	-0.20283985137939453
103	370	he	-0.14747440814971924
104	138	would	0.20465898513793945
105	9661	sing	-0.5069848299026489
106	9	a	0.32839059829711914
107	1999	song	0.10375964641571045
108	14	,	-0.16167664527893066
109	6808	unknown	-0.5126309394836426
110	370	he	-0.05587506294250488
111	138	would	0.08267617225646973
112	6082	encounter	0.386763334274292
113	31	the	0.046721816062927246
114	353	giant	0.25161194801330566
115	236	(	-0.15346717834472656
116	3228	buddy	3.365228120237589
117	1	<unk>	-0.1683131456375122
118	254	)	0.138008713722229
119	18	.	0.024909257888793945
120	17	not	0.2744687795639038
121	20	only	0.39498060941696167
122	363	him	-0.3527376987040043
123	14	,	-0.08909392356872559
124	370	he	-0.051126956939697266
125	138	would	0.10094082355499268
126	4901	dance	0.9560225009918213
127	126	with	0.06766176223754883
