sample=224 explainer=permutation target=0 sample_size=128
detokenized_full_text: undoubtedly , the least among the spaghetti westerns i ' ve been watching lately basically a low-brow rip-off of <unk> ' s the good , the bad and the ugly ( 1966 ) with three disparate characters <unk> one another ( and occasionally forming shaky alliances ) in their search for hidden gold . leonard maltin rated it a bomb while it ' s harmless enough , it ' s also totally routine and , fatally , the three main roles are stereotypes , that is to say , uninteresting eddie <unk> is a bank employee with ideas regarding his <unk> being transported by train gilbert roland is the legendary but <unk> mexican bandit ( his frequent lapses into spanish when excited are quite corny ! ) who
idx	token_id	token_str	shap_value
0	2034	undoubtedly	0.1547987163066864
1	14	,	-0.13434338569641113
2	31	the	-0.020990073680877686
3	464	least	-0.18420755863189697
4	683	among	0.2477162480354309
5	31	the	-0.035465266555547714
6	11187	spaghetti	0.171067476272583
7	4956	westerns	0.08097183704376221
8	2	i	0.2722978740930557
9	4	'	0.2727156914770603
10	575	ve	0.003987312316894531
11	248	been	0.17903631925582886
12	333	watching	0.7684058733284473
13	6976	lately	1.0357162356376648
14	4525	basically	0.2861308716237545
15	9	a	0.195527583360672
16	15259	low-brow	-0.06865006685256958
17	3745	rip-off	0.804406076669693
18	11	of	0.5955023765563965
19	1	<unk>	-0.3436277508735657
20	4	'	0.22038117051124573
21	152	s	-0.6441753953695297
22	31	the	-0.015713393688201904
23	204	good	0.043712496757507324
24	14	,	-0.21102547645568848
25	31	the	0.011136308312416077
26	197	bad	0.814935028553009
27	33	and	-0.31187859177589417
28	31	the	0.070397287607193
29	6637	ugly	0.35487648844718933
30	236	(	-0.03910738229751587
31	14656	1966	-0.30914920568466187
32	254	)	1.469943005591631
33	126	with	0.19327175617218018
34	1430	three	0.5337835550308228
35	5606	disparate	-0.2804120182991028
36	93	characters	1.5450290143489838
37	1	<unk>	-0.4287848472595215
38	233	one	0.05134586989879608
39	1134	another	0.15295758843421936
40	236	(	-0.11364233493804932
41	33	and	-0.27636098861694336
42	5642	occasionally	0.11929836869239807
43	28370	forming	-4.472535979002714
44	20688	shaky	-0.5513220578432083
45	17657	alliances	0.4863762855529785
46	254	)	4.528638526797295
47	82	in	-0.05361825227737427
48	837	their	-0.4101032614707947
49	2304	search	1.6431425660848618
50	222	for	-0.015322327613830566
51	2191	hidden	-0.27210378646850586
52	7542	gold	-0.22779405117034912
53	18	.	0.12395834922790527
54	6513	leonard	-0.2857555150985718
55	26020	maltin	0.10586027801036835
56	323	rated	-0.3171849548816681
57	47	it	0.06529015675187111
58	9	a	0.10183191299438477
59	6452	bomb	1.03309191390872
60	1353	while	0.33232730627059937
61	47	it	0.14395010471343994
62	4	'	0.1893695890903473
63	152	s	-0.35339319705963135
64	4816	harmless	-0.2947416305541992
65	645	enough	0.2743299752473831
66	14	,	-0.22532406449317932
67	47	it	0.024970054626464844
68	4	'	0.10042399168014526
69	152	s	-0.5050175189971924
70	582	also	-0.39578983187675476
71	712	totally	-1.8855902589857578
72	7218	routine	-0.31925490871071815
73	33	and	-0.3823823928833008
74	14	,	-0.0948340892791748
75	20902	fatally	0.42607665061950684
76	14	,	-0.11290603876113892
77	31	the	-0.021196752786636353
78	1430	three	0.6873384118080139
79	1119	main	-0.010066092014312744
80	1998	roles	0.3850947618484497
81	226	are	-0.30623097717761993
82	5264	stereotypes	-0.38979461416602135
83	14	,	-0.1319965124130249
84	42	that	-0.094779372215271
85	41	is	-0.25733473896980286
86	7	to	0.22910752892494202
87	79	say	-0.14448940753936768
88	14	,	-0.13941636681556702
89	3768	uninteresting	0.019092798233032227
90	5831	eddie	-1.4788423776626587
91	1	<unk>	-0.5459147691726685
92	41	is	-0.2295898199081421
93	9	a	0.14416289329528809
94	8384	bank	0.5737143754959106
95	2011	employee	0.20512467622756958
96	126	with	0.07920181751251221
97	2665	ideas	0.5041460394859314
98	1401	regarding	-0.111111581325531
99	23	his	0.6165297031402588
100	1	<unk>	-1.1495331376791
101	943	being	-2.225205034017563
102	4409	transported	-4.169155653566122
103	167	by	-0.12475442886352539
104	3261	train	-0.8726365566253662
105	752	gilbert	0.9262454807758331
106	12196	roland	0.5759863257408142
107	41	is	-0.1315751075744629
108	31	the	-0.024426400661468506
109	4116	legendary	0.05208653211593628
110	57	but	0.4949129819869995
111	1	<unk>	-0.8021927326917648
112	2546	mexican	0.004732072353363037
113	17864	bandit	-0.7008191980421543
114	236	(	-0.10980150103569031
115	23	his	0.7600326985120773
116	12597	frequent	0.15864871442317963
117	9648	lapses	-0.1995547115802765
118	368	into	-0.37737682461738586
119	10542	spanish	-0.37304699420928955
120	700	when	-0.039216041564941406
121	2142	excited	2.4634664952754974
122	226	are	-0.10734474658966064
123	1101	quite	0.34240055084228516
124	4527	corny	-0.3338756859302521
125	574	!	-0.009870905429124832
126	254	)	0.46616126596927643
127	347	who	0.08186471462249756
