sample=152 explainer=permutation target=0 sample_size=128
detokenized_full_text: i usually give sequels the benefit of the doubt and go easy on them . but this is very poor . the exact same as what happened in the first film happens here again . the exact same . only they wanted younger kids to be able see it ( this accounts for the repeated presence of bugs bunny but why they threw in one ' <unk> ' is beyond me ) . they didn ' t even bother to change jackie mason ' s character from dangerfield ' s . let me explain , in <unk> rodney dangerfield played a boorish real estate owner who <unk> the uptight members of <unk> country club . in this movie jackie mason plays a boorish real estate owner who <unk>
idx	token_id	token_str	shap_value
0	2	i	0.16321903467178345
1	1924	usually	0.1825159788131714
2	306	give	0.029734015464782715
3	2159	sequels	1.5503253936767578
4	31	the	0.1083717942237854
5	678	benefit	0.7677682340145111
6	11	of	-0.08644247055053711
7	31	the	-0.04201817512512207
8	2558	doubt	-0.6929872035980225
9	33	and	-0.3957166075706482
10	796	go	0.15496885776519775
11	4627	easy	-0.21481747925281525
12	135	on	-0.2062055766582489
13	230	them	-0.18481431901454926
14	18	.	0.19978974759578705
15	57	but	0.3256821632385254
16	70	this	-0.4968709647655487
17	41	is	-0.23197749257087708
18	67	very	-0.3088608980178833
19	3395	poor	2.3643776178359985
20	18	.	0.18082773685455322
21	31	the	0.021408021450042725
22	4391	exact	0.4218754172325134
23	686	same	0.9715571999549866
24	145	as	-0.4346936345100403
25	39	what	0.17525362968444824
26	2805	happened	-0.000898897647857666
27	82	in	-0.07820424437522888
28	31	the	0.015038132667541504
29	73	first	-0.18598520755767822
30	63	film	-2.450059711933136
31	2675	happens	0.07989880442619324
32	87	here	-0.2868122458457947
33	164	again	-0.2440396547317505
34	18	.	0.054801926016807556
35	31	the	0.029358267784118652
36	4391	exact	0.41280752420425415
37	686	same	0.9305033087730408
38	18	.	0.05001358687877655
39	20	only	0.36819708347320557
40	622	they	0.9259790182113647
41	862	wanted	-0.5646261423826218
42	5281	younger	0.1806401014328003
43	1396	kids	0.1865503415465355
44	7	to	0.2031366378068924
45	8	be	0.39751797914505005
46	561	able	-0.2597193717956543
47	321	see	-0.5677718222141266
48	47	it	0.0041239261627197266
49	236	(	0.0382533073425293
50	70	this	-0.29400718212127686
51	18066	accounts	0.3644093871116638
52	222	for	0.07085740566253662
53	31	the	1.3085254728794098
54	2135	repeated	-0.2509147971868515
55	1973	presence	-0.5030867457389832
56	11	of	0.19302809238433838
57	16151	bugs	-4.957799851894379
58	16152	bunny	0.7331173270940781
59	57	but	1.1753476858139038
60	1124	why	-0.6131900548934937
61	622	they	1.2948068976402283
62	5102	threw	1.2398084700107574
63	82	in	0.00019288063049316406
64	233	one	-0.07636034488677979
65	4	'	0.07426095008850098
66	1	<unk>	-0.6999401599168777
67	4	'	0.24157875776290894
68	41	is	-0.26763975620269775
69	3065	beyond	-0.9754921495914459
70	331	me	-0.737371563911438
71	254	)	0.28261804580688477
72	18	.	0.19331204891204834
73	622	they	2.3625335544347763
74	770	didn	-0.13673341274261475
75	4	'	0.21789532899856567
76	5	t	-0.4055994153022766
77	970	even	0.29107989370822906
78	5406	bother	1.2387279570102692
79	7	to	0.010557174682617188
80	2152	change	-0.14236706495285034
81	1493	jackie	-0.40797293186187744
82	22259	mason	-0.33179694414138794
83	4	'	0.31736624240875244
84	152	s	-0.26548755168914795
85	98	character	0.2637588232755661
86	376	from	-0.13081753253936768
87	20711	dangerfield	0.4053671360015869
88	4	'	0.22849059104919434
89	152	s	-0.6616206169128418
90	18	.	0.0617576465010643
91	726	let	0.19359607994556427
92	331	me	-0.3224543333053589
93	5058	explain	1.1913782805204391
94	14	,	-0.08094072341918945
95	82	in	-0.04498553276062012
96	1	<unk>	-0.4591435194015503
97	20710	rodney	0.11918318271636963
98	20711	dangerfield	0.2663974165916443
99	2188	played	-4.979839503765106
100	9	a	0.07591140270233154
101	15209	boorish	3.995856523513794
102	474	real	-0.19618111848831177
103	6316	estate	0.0071402788162231445
104	7120	owner	-0.5579660832881927
105	347	who	0.2840961813926697
106	1	<unk>	-0.754491925239563
107	31	the	0.09317505359649658
108	12886	uptight	1.1356396675109863
109	839	members	1.1660338938236237
110	11	of	0.850190281867981
111	1	<unk>	-1.3361042737960815
112	2482	country	0.7918539047241211
113	3113	club	1.53742253780365
114	18	.	0.048136621713638306
115	82	in	0.00910937786102295
116	70	this	-0.26896631717681885
117	71	movie	0.044638633728027344
118	1493	jackie	-0.37920641899108887
119	22259	mason	-0.5481696128845215
120	1454	plays	-0.9461141228675842
121	9	a	0.07797765731811523
122	15209	boorish	1.1870411038398743
123	474	real	-0.20827841758728027
124	6316	estate	0.2075563669204712
125	7120	owner	-1.6307138800621033
126	347	who	0.11902868747711182
127	1	<unk>	-1.9982574582099915
