sample=30 explainer=permutation target=0 sample_size=128
detokenized_full_text: fans of <unk> flicks - <unk> ' s <unk> store movie madness has a whole section devoted to this genre - can ' t afford to miss sergio martino ' s gut-busting l ' <unk> <unk> <unk> <unk> ( called <unk> in the united states ) . here ' s the lowdown some <unk> survivors land on an uncharted caribbean island in <unk> . the island is inhabited by a landowner , a scientist ( joseph cotten ) and his daughter ( barbara bach ) . sure enough , it turns out that the landowner is making the scientist create a race of <unk> . and while the <unk> remain calm as long as they can drink their <unk> , they get nasty otherwise . this movie is
idx	token_id	token_str	shap_value
0	301	fans	-0.0013195276260375977
1	11	of	-0.007146477699279785
2	1	<unk>	-0.23982179164886475
3	2266	flicks	-0.1836702823638916
4	379	-	0.04053676128387451
5	1	<unk>	-0.18777871131896973
6	4	'	0.03257465362548828
7	152	s	-0.1710113286972046
8	1	<unk>	-0.03203856945037842
9	1850	store	0.12131190299987793
10	71	movie	0.08130288124084473
11	2257	madness	0.22937607765197754
12	416	has	-0.046707749366760254
13	9	a	1.1786264181137085
14	259	whole	0.0962296724319458
15	8686	section	-0.1619023084640503
16	5275	devoted	-0.1271357536315918
17	7	to	0.038196682929992676
18	70	this	0.031477928161621094
19	3413	genre	-3.728289783000946
20	379	-	0.024861574172973633
21	40	can	0.0911790132522583
22	4	'	0.030992865562438965
23	5	t	-0.09921479225158691
24	632	afford	-0.03151345252990723
25	7	to	0.42125701904296875
26	1104	miss	0.5741798877716064
27	21504	sergio	-0.07871294021606445
28	21505	martino	-0.7437527775764465
29	4	'	0.09020936489105225
30	152	s	-0.12738537788391113
31	21174	gut-busting	-1.1730579137802124
32	2131	l	-0.1533215045928955
33	4	'	0.0289686918258667
34	1	<unk>	-0.25165748596191406
35	1	<unk>	-0.27122390270233154
36	1	<unk>	-0.16991949081420898
37	1	<unk>	-0.17560577392578125
38	236	(	-0.04907524585723877
39	3401	called	0.13153350353240967
40	1	<unk>	-0.2088782787322998
41	82	in	-3.136369049549103
42	31	the	-0.0028765201568603516
43	7303	united	0.1855616569519043
44	9338	states	-0.07558834552764893
45	254	)	1.6259122490882874
46	18	.	0.08496367931365967
47	87	here	-0.09546267986297607
48	4	'	0.040459394454956055
49	152	s	-0.09153532981872559
50	31	the	0.022860169410705566
51	19372	lowdown	0.2268606424331665
52	120	some	0.04567313194274902
53	1	<unk>	-0.15736889839172363
54	4469	survivors	0.02335226535797119
55	12065	land	-0.14423000812530518
56	135	on	-1.523582398891449
57	268	an	0.11191964149475098
58	21527	uncharted	0.16020917892456055
59	16768	caribbean	-0.11018025875091553
60	3367	island	0.2312784194946289
61	82	in	0.023409008979797363
62	1	<unk>	-1.3519222736358643
63	18	.	0.06503498554229736
64	31	the	0.239670991897583
65	3367	island	3.2307690382003784
66	41	is	-0.08544445037841797
67	11394	inhabited	-0.01880204677581787
68	167	by	-1.3485407829284668
69	9	a	0.04358363151550293
70	16893	landowner	0.3688417673110962
71	14	,	-0.1449655294418335
72	9	a	0.03474605083465576
73	5675	scientist	0.08292663097381592
74	236	(	-0.026462674140930176
75	2757	joseph	-0.2091158628463745
76	4996	cotten	0.15902018547058105
77	254	)	0.7644903659820557
78	33	and	0.10272467136383057
79	23	his	0.8007495403289795
80	3705	daughter	0.014469146728515625
81	236	(	0.4255945682525635
82	11723	barbara	0.18825840950012207
83	28254	bach	-1.4887778759002686
84	254	)	0.11452984809875488
85	18	.	0.06224930286407471
86	936	sure	0.3793841600418091
87	645	enough	0.10641217231750488
88	14	,	-0.07360279560089111
89	47	it	0.017973780632019043
90	980	turns	0.10908520221710205
91	258	out	0.1812913417816162
92	42	that	-0.01592719554901123
93	31	the	0.8464657068252563
94	16893	landowner	-0.07382762432098389
95	41	is	-0.07100808620452881
96	628	making	0.3331717252731323
97	31	the	0.011975884437561035
98	5675	scientist	0.06070852279663086
99	5939	create	0.11662375926971436
100	9	a	0.07772266864776611
101	3867	race	0.019327998161315918
102	11	of	0.007307767868041992
103	1	<unk>	-0.2686196565628052
104	18	.	0.06188976764678955
105	33	and	-0.10453081130981445
106	1353	while	0.3859999179840088
107	31	the	0.004442691802978516
108	1	<unk>	-0.16934704780578613
109	6040	remain	0.12134790420532227
110	603	calm	0.049772024154663086
111	145	as	-1.2667424082756042
112	766	long	0.23012804985046387
113	145	as	-0.0735013484954834
114	622	they	0.30026257038116455
115	40	can	0.18697524070739746
116	21362	drink	0.1366586685180664
117	837	their	-0.08470356464385986
118	1	<unk>	-0.16691768169403076
119	14	,	-0.11212563514709473
120	622	they	0.8196982145309448
121	114	get	0.009562015533447266
122	808	nasty	0.29521095752716064
123	1861	otherwise	-0.1638551950454712
124	18	.	0.05986833572387695
125	70	this	-0.015357613563537598
126	71	movie	0.07819604873657227
127	41	is	-0.12704908847808838
