sample=177 explainer=permutation target=0 sample_size=128
detokenized_full_text: this is what happens when a franchise gets lazy , and no one can think of a new twist to add . remember what happened to the <unk> play series ? the first three were played as horror films , with genuine scares ( albeit predictable ) that held true to the theme of the movie . then they ran out of folks for the doll to stalk , and decided to play it for laughs , with the next two being black comedies . . . . . well , that s what happened here , but i think it was not meant to be like that . kind of like saying , i wanted to make pancakes for dessert ! i did this on purpose !
idx	token_id	token_str	shap_value
0	70	this	0.006948187947273254
1	41	is	-0.06386861205101013
2	39	what	1.309144750237465
3	2675	happens	0.33448733389377594
4	700	when	-1.5377611964941025
5	9	a	0.3555248975753784
6	4504	franchise	-1.127948448061943
7	350	gets	1.4625007510185242
8	1274	lazy	1.157001718878746
9	14	,	-0.3853777348995209
10	33	and	-0.3011074364185333
11	127	no	0.0948844850063324
12	233	one	0.021867841482162476
13	40	can	0.10368382930755615
14	1092	think	-1.06061851978302
15	11	of	-0.2578744888305664
16	9	a	0.2841271758079529
17	615	new	-0.5901821665465832
18	6167	twist	0.22327139973640442
19	7	to	0.09305739402770996
20	252	add	-0.0805199146270752
21	18	.	0.11675083637237549
22	1985	remember	-0.11213427782058716
23	39	what	0.10910791158676147
24	2805	happened	0.3369572162628174
25	7	to	0.09498187899589539
26	31	the	-0.20987102389335632
27	1	<unk>	-1.5154339633882046
28	1061	play	-3.796367824077606
29	2197	series	-0.7935793250799179
30	199	?	2.692972596734762
31	31	the	0.11752944812178612
32	73	first	-0.19140920042991638
33	1430	three	0.41288821399211884
34	94	were	-0.3312901556491852
35	2188	played	-0.894787609577179
36	145	as	-0.320112019777298
37	1888	horror	-0.18099498748779297
38	25	films	0.35725319385528564
39	14	,	-0.1967153251171112
40	126	with	0.2924884855747223
41	4172	genuine	-0.3516961336135864
42	8257	scares	0.14261433482170105
43	236	(	-0.14168719947338104
44	8017	albeit	0.3506913483142853
45	3224	predictable	0.7531601041555405
46	254	)	0.42376069724559784
47	42	that	-0.2294406034052372
48	976	held	-0.19258570671081543
49	274	true	-0.17923758924007416
50	7	to	0.11153727769851685
51	31	the	0.22906622290611267
52	1954	theme	0.21025261282920837
53	11	of	-0.029819756746292114
54	31	the	0.008531659841537476
55	71	movie	0.2031700611114502
56	18	.	0.16294533014297485
57	356	then	0.22918550670146942
58	622	they	1.9555975161492825
59	4123	ran	-0.43822598457336426
60	258	out	0.5005071759223938
61	11	of	-0.0024091601371765137
62	3833	folks	1.4634773135185242
63	222	for	-0.05867207050323486
64	31	the	2.1730092763900757
65	10320	doll	-0.19011351466178894
66	7	to	-0.05711689591407776
67	6962	stalk	1.0777593068778515
68	14	,	-0.3242582231760025
69	33	and	-0.540048748254776
70	1159	decided	-0.2069581113755703
71	7	to	0.4596458077430725
72	1061	play	-1.2523874938488007
73	47	it	-0.07859539985656738
74	222	for	-0.1107822060585022
75	2189	laughs	-0.5000878125429153
76	14	,	-0.3095391243696213
77	126	with	0.17332759499549866
78	31	the	0.08236467465758324
79	3486	next	1.1494773030281067
80	595	two	-0.23031659424304962
81	943	being	-0.21816858649253845
82	496	black	0.23386481404304504
83	3407	comedies	-0.10193577408790588
84	18	.	0.09003555774688721
85	18	.	0.17124760150909424
86	18	.	0.09839102625846863
87	18	.	0.14845478534698486
88	18	.	0.04056791961193085
89	141	well	-4.177569594234228
90	14	,	-0.1185770332813263
91	42	that	-0.2753322124481201
92	152	s	-0.3904273584485054
93	39	what	0.2427462823688984
94	2805	happened	0.07257908582687378
95	87	here	-0.19440075755119324
96	14	,	-0.2429637461900711
97	57	but	0.5449266731739044
98	2	i	0.6045986413955688
99	1092	think	-0.5594480931758881
100	47	it	0.0015476346015930176
101	88	was	0.2028215527534485
102	17	not	0.9709567427635193
103	397	meant	-0.45475146174430847
104	7	to	0.0634729266166687
105	8	be	0.3273848593235016
106	103	like	-0.37407055497169495
107	42	that	-0.6963017284870148
108	18	.	0.14721664786338806
109	453	kind	0.17221203446388245
110	11	of	0.01896650902926922
111	103	like	-0.27520646154880524
112	3217	saying	0.9840347021818161
113	14	,	-0.35561203956604004
114	2	i	0.10645654797554016
115	862	wanted	-0.4869186133146286
116	7	to	0.05869482457637787
117	935	make	0.9300741255283356
118	12007	pancakes	0.33807262778282166
119	222	for	-0.09474803507328033
120	3866	dessert	0.14512188732624054
121	574	!	-0.8389253914356232
122	2	i	0.08650048263370991
123	154	did	0.19461363554000854
124	70	this	-0.09846842661499977
125	135	on	-0.3537459373474121
126	2225	purpose	-0.3482154607772827
127	574	!	0.21452872455120087
