sample=150 explainer=permutation target=0 sample_size=128
detokenized_full_text: supreme <unk> is a movie about a female assassin who works for the u . s . government . she has to kill a known tv reporter , but <unk> his life when she sees that he has a little daughter . because she hasn ' t killed him , she becomes the next target of her employers . the script isn ' t good although i ' ve seen worse b-movies . a hit-man with remorse , the government killing innocent people in the name of fighting terror , . . . what ' s next ? aliens rescuing the victim ? ? ? no , supreme <unk> will never win any award because of the script . and the acting isn ' t any better i
idx	token_id	token_str	shap_value
0	24252	supreme	-0.11600959300994873
1	1	<unk>	-0.5375732779502869
2	41	is	-0.2118275761604309
3	9	a	0.7912582159042358
4	71	movie	-0.1486150622367859
5	80	about	0.08048224449157715
6	9	a	0.047333359718322754
7	1097	female	-0.1826990842819214
8	9952	assassin	0.557531476020813
9	347	who	-0.08746922016143799
10	1321	works	-0.28978538513183594
11	222	for	-0.2233133316040039
12	31	the	0.1869731992483139
13	555	u	0.03290450572967529
14	18	.	-0.014217309653759003
15	152	s	-1.197631150484085
16	18	.	0.02948307991027832
17	1205	government	0.11389732360839844
18	18	.	-0.02586573362350464
19	450	she	-0.041213616728782654
20	416	has	-0.2339780181646347
21	7	to	-0.027382969856262207
22	1315	kill	0.5355339348316193
23	9	a	0.10977059602737427
24	3827	known	-0.304962158203125
25	387	tv	-1.1568139791488647
26	3677	reporter	1.19094580411911
27	14	,	-0.12547333538532257
28	57	but	0.3209225535392761
29	1	<unk>	-0.3108832836151123
30	23	his	0.4461434371769428
31	749	life	-0.024489998817443848
32	700	when	-0.20031997561454773
33	450	she	0.05627918243408203
34	362	sees	-0.28112077713012695
35	42	that	-0.1407860517501831
36	370	he	-0.09930872917175293
37	416	has	-0.10724616050720215
38	9	a	-0.5400567948818207
39	115	little	-0.3174659013748169
40	3705	daughter	0.05242717266082764
41	18	.	0.04323296248912811
42	15	because	-0.015523552894592285
43	450	she	0.04467850923538208
44	4441	hasn	-0.08291661739349365
45	4	'	5.879803776741028
46	5	t	-0.656684398651123
47	952	killed	0.4128371924161911
48	363	him	-1.9907282590866089
49	14	,	-0.09919369220733643
50	450	she	-0.04528338834643364
51	702	becomes	-0.14619266986846924
52	31	the	0.06091207265853882
53	3486	next	1.261329472064972
54	2880	target	-1.3000585585832596
55	11	of	-0.8289076089859009
56	708	her	-0.057997703552246094
57	8387	employers	-0.6440621092915535
58	18	.	-1.3156498074531555
59	31	the	0.027036070823669434
60	769	script	-0.0030499733984470367
61	463	isn	-0.17920911312103271
62	4	'	0.27892929315567017
63	5	t	-1.1524363160133362
64	204	good	-0.05795609951019287
65	393	although	0.005980134010314941
66	2	i	0.10749420523643494
67	4	'	0.16678118705749512
68	575	ve	0.06893783807754517
69	1065	seen	0.10498178005218506
70	1180	worse	1.163649559020996
71	16374	b-movies	-1.1106054335832596
72	18	.	0.1353890299797058
73	9	a	0.11365070939064026
74	14630	hit-man	-1.6964171528816223
75	126	with	0.07130038738250732
76	9958	remorse	-2.5144250988960266
77	14	,	-0.1361193060874939
78	31	the	0.16829782724380493
79	1205	government	0.027540922164916992
80	242	killing	-0.4940447211265564
81	551	innocent	0.1750025749206543
82	78	people	0.26940059661865234
83	82	in	-0.030318021774291992
84	31	the	0.06506826728582382
85	2794	name	0.3075447082519531
86	11	of	-0.006755232810974121
87	1408	fighting	-1.379303753376007
88	10409	terror	0.7672015875577927
89	14	,	-0.1434110403060913
90	18	.	-1.2988014221191406
91	18	.	0.058982014656066895
92	18	.	-0.877000093460083
93	39	what	0.17046940326690674
94	4	'	0.677876889705658
95	152	s	-0.287572979927063
96	3486	next	0.25154024362564087
97	199	?	1.9519622325897217
98	8330	aliens	0.5222582221031189
99	11799	rescuing	6.618241995573044
100	31	the	-0.007872387766838074
101	818	victim	0.33978748321533203
102	199	?	0.5811235755681992
103	199	?	0.3380206823348999
104	199	?	0.5992516875267029
105	127	no	0.0170058012008667
106	14	,	-0.10940640419721603
107	24252	supreme	-1.5085106492042542
108	1	<unk>	-0.5673022866249084
109	599	will	-0.6772089004516602
110	396	never	-0.5476632863283157
111	1388	win	0.2719731330871582
112	179	any	0.517041802406311
113	7471	award	-0.40339140966534615
114	15	because	-0.08860290050506592
115	11	of	-0.04266762733459473
116	31	the	-0.003388047218322754
117	769	script	0.17162805795669556
118	18	.	0.040320754051208496
119	33	and	-0.20160400867462158
120	31	the	0.025176167488098145
121	579	acting	0.07916098833084106
122	463	isn	-0.08317625522613525
123	4	'	1.1040506958961487
124	5	t	-0.14372742176055908
125	179	any	0.6874038875102997
126	529	better	0.37014515697956085
127	2	i	0.08238351345062256
