sample=192 explainer=permutation target=0 sample_size=128
detokenized_full_text: i watched this movie recently and fell in love with it . i loved the storyline and the actors . it has a little of everything . i was completely taken by the unfolding of the story . it has so many surprises along the way . i highly recommend it . in fact , i loved it so much that i ran out and bought the book . i felt i had to read it in order to appreciate the art in the writing behind the movie . i also wanted to make sure i didn ' t miss anything that was in the book but kept out of the movie . i recommend people who love the movie to read the book because there is enough
idx	token_id	token_str	shap_value
0	2	i	0.15827834606170654
1	21	watched	5.0690338015556335
2	70	this	-0.1846085786819458
3	71	movie	0.4514763616025448
4	2525	recently	-3.818658262491226
5	33	and	-1.214593768119812
6	4592	fell	0.5309283137321472
7	82	in	-0.2630017399787903
8	820	love	-0.8810696005821228
9	126	with	0.16434237360954285
10	47	it	-6.101421356201172
11	18	.	-0.01063033938407898
12	2	i	0.14201370254158974
13	597	loved	-0.9394779801368713
14	31	the	0.26656338572502136
15	3570	storyline	-0.20867007970809937
16	33	and	-0.5835074298083782
17	31	the	0.2203797698020935
18	183	actors	3.8693096190690994
19	18	.	0.060469865798950195
20	47	it	-0.2375282645225525
21	416	has	-0.3390992730855942
22	9	a	0.2512246035039425
23	115	little	-0.9251333773136139
24	11	of	-0.09461534023284912
25	624	everything	-0.668110728263855
26	18	.	-0.036098361015319824
27	2	i	0.11327195167541504
28	88	was	0.2995747774839401
29	779	completely	0.6147578954696655
30	2370	taken	0.30348557233810425
31	167	by	-0.2534080147743225
32	31	the	0.2806488573551178
33	17801	unfolding	-0.023167356848716736
34	11	of	-0.10342180728912354
35	31	the	0.10936340689659119
36	202	story	-0.6575028151273727
37	18	.	0.01659327745437622
38	47	it	-0.07005825638771057
39	416	has	-0.25376199185848236
40	26	so	0.056024909019470215
41	1615	many	0.7937953472137451
42	6694	surprises	-0.6655015051364899
43	53	along	-1.8312520384788513
44	31	the	0.09087389707565308
45	1088	way	0.29653094708919525
46	18	.	0.12318027019500732
47	2	i	0.06763336807489395
48	1632	highly	-0.4622493386268616
49	1880	recommend	-0.5813776254653931
50	47	it	-0.12336906790733337
51	18	.	0.029639065265655518
52	82	in	-0.46213817596435547
53	255	fact	-0.3004002869129181
54	14	,	-0.23159363865852356
55	2	i	0.10165569186210632
56	597	loved	-1.1043995320796967
57	47	it	-0.2821299433708191
58	26	so	-0.12361866235733032
59	228	much	-0.1488654613494873
60	42	that	-0.09815569221973419
61	2	i	0.03531656414270401
62	4123	ran	-0.9243007600307465
63	258	out	0.9187387824058533
64	33	and	-0.5697138607501984
65	1724	bought	0.20917707681655884
66	31	the	0.29488253593444824
67	2029	book	-0.1423315405845642
68	18	.	0.01642875373363495
69	2	i	0.16681581735610962
70	763	felt	-0.2220887392759323
71	2	i	0.03539168834686279
72	407	had	0.5055711716413498
73	7	to	0.12076757848262787
74	2028	read	-0.5816845744848251
75	47	it	-0.1498464047908783
76	82	in	-0.034499555826187134
77	270	order	1.2097997069358826
78	7	to	0.16534368321299553
79	1048	appreciate	0.36410951614379883
80	31	the	0.21301841735839844
81	111	art	-0.009468559175729752
82	82	in	-0.08447396755218506
83	31	the	0.2875743508338928
84	581	writing	-0.49826139211654663
85	2005	behind	5.031381696462631
86	31	the	0.3704206943511963
87	71	movie	0.20555078983306885
88	18	.	0.04031336307525635
89	2	i	0.20279178023338318
90	582	also	-1.550532042980194
91	862	wanted	-0.38252273574471474
92	7	to	0.07438147068023682
93	935	make	1.481658011674881
94	936	sure	0.1956235058605671
95	2	i	0.07554436102509499
96	770	didn	-0.06273376941680908
97	4	'	0.4323255121707916
98	5	t	-0.36410680413246155
99	1104	miss	1.492970123887062
100	1832	anything	1.241880476474762
101	42	that	-0.1354970932006836
102	88	was	0.42394791916012764
103	82	in	0.00914907455444336
104	31	the	0.21970048546791077
105	2029	book	-0.6066666841506958
106	57	but	0.5453770160675049
107	162	kept	0.06935368105769157
108	258	out	0.640211671590805
109	11	of	-0.11408397555351257
110	31	the	0.1874086558818817
111	71	movie	0.03676232695579529
112	18	.	0.0015282928943634033
113	2	i	0.10634708404541016
114	1880	recommend	-0.45807985961437225
115	78	people	0.5500846058130264
116	347	who	0.09542906656861305
117	820	love	-1.7217413149774075
118	31	the	0.33462337777018547
119	71	movie	0.11753171682357788
120	7	to	0.10417556762695312
121	2028	read	-1.4295933544635773
122	31	the	0.20691092312335968
123	2029	book	-0.24377703666687012
124	15	because	-0.729862630367279
125	158	there	0.45697280764579773
126	41	is	-0.31352728605270386
127	645	enough	0.30297836661338806
