sample=44 explainer=permutation target=0 sample_size=128
detokenized_full_text: this movie reeks . no money , no acting , no nothing . i caught this on on the 3am late show movie tonight and felt compelled to comment on it . this movie has nothing to recommend it . i can ' t believe it ever got released to us television ! nobody in this movie can act their way out of a <unk> . the lame attempts at comedy fall flat on their face , the special effects consist of a <unk> <unk> monster . . . i can ' t even begin to tell you how <unk> this production is . it looks like it cost maybe <unk> , 000 to shoot , but only because it is on <unk> , and that is probably
idx	token_id	token_str	shap_value
0	70	this	-0.05653034895658493
1	71	movie	-0.009611248970031738
2	20854	reeks	0.05588120222091675
3	18	.	0.08814728260040283
4	127	no	0.5212494134902954
5	918	money	0.6471163332462311
6	14	,	-0.06191897392272949
7	127	no	-0.3829171657562256
8	579	acting	-0.2022297978401184
9	14	,	-0.1078038215637207
10	127	no	-0.1576850414276123
11	207	nothing	0.7758307456970215
12	18	.	0.09493352845311165
13	2	i	0.003300487995147705
14	4639	caught	-0.1900385618209839
15	70	this	-0.1350880265235901
16	135	on	-0.2560994327068329
17	135	on	-0.22285714745521545
18	31	the	0.19973420724272728
19	20717	3am	-0.17292922735214233
20	848	late	-1.1734559684991837
21	253	show	-0.4091089367866516
22	71	movie	0.15861499309539795
23	11446	tonight	-1.8061811923980713
24	33	and	-0.26703111827373505
25	763	felt	-0.0144386887550354
26	11882	compelled	2.6248223781585693
27	7	to	0.5449387282133102
28	1168	comment	-0.1135934591293335
29	135	on	-0.2308288812637329
30	47	it	-0.1357874870300293
31	18	.	0.034830451011657715
32	70	this	-0.49767395853996277
33	71	movie	-0.0032844245433807373
34	416	has	-0.24951761960983276
35	207	nothing	0.9280742406845093
36	7	to	0.21440254151821136
37	1880	recommend	-0.34392350912094116
38	47	it	-0.12515506148338318
39	18	.	0.09080374240875244
40	2	i	0.01049003005027771
41	40	can	0.06294572353363037
42	4	'	0.9941363334655762
43	5	t	-0.4652443379163742
44	443	believe	0.385200884193182
45	47	it	-0.2762364447116852
46	1394	ever	-0.047547221183776855
47	623	got	0.22585898637771606
48	408	released	0.21463382244110107
49	7	to	0.036054253578186035
50	611	us	-0.04565560817718506
51	4420	television	-0.29326753318309784
52	574	!	0.08227959275245667
53	4009	nobody	0.9911851286888123
54	82	in	-0.11364340782165527
55	70	this	-0.393777072429657
56	71	movie	0.1563870906829834
57	40	can	0.10711890459060669
58	1016	act	-1.6119409203529358
59	837	their	-0.20709966123104095
60	1088	way	1.9700324535369873
61	258	out	0.2599449157714844
62	11	of	-0.051200833171606064
63	9	a	0.1159375011920929
64	1	<unk>	-0.5567745566368103
65	18	.	0.11885672807693481
66	31	the	0.21242594718933105
67	2994	lame	6.535327792167664
68	2922	attempts	0.11364418268203735
69	90	at	-0.3057270646095276
70	1525	comedy	-0.28823983669281006
71	773	fall	-0.22525008022785187
72	125	flat	0.4979797303676605
73	135	on	-0.5705468654632568
74	837	their	-4.214064359664917
75	942	face	-0.20056015253067017
76	14	,	-0.07208310812711716
77	31	the	0.22540688514709473
78	1365	special	0.4751569777727127
79	1803	effects	0.9120495170354843
80	25489	consist	-0.31593775749206543
81	11	of	-0.06731259822845459
82	9	a	0.14435918629169464
83	1	<unk>	-0.20210278034210205
84	1	<unk>	-0.269049733877182
85	1171	monster	0.40615125000476837
86	18	.	0.09357935562729836
87	18	.	0.21512353420257568
88	18	.	0.1041528582572937
89	2	i	0.31270164251327515
90	40	can	0.17969373613595963
91	4	'	0.49352264404296875
92	5	t	-0.1922377347946167
93	970	even	0.4359181523323059
94	1736	begin	-0.04992175102233887
95	7	to	-0.017933905124664307
96	4533	tell	0.42213860154151917
97	310	you	-3.3617971539497375
98	91	how	-0.616674154996872
99	1	<unk>	-0.23103594779968262
100	70	this	-0.4352680444717407
101	692	production	-0.3116689659655094
102	41	is	-0.1375141441822052
103	18	.	0.16066928207874298
104	47	it	-0.3455619812011719
105	433	looks	0.3874107897281647
106	103	like	-1.6217370629310608
107	47	it	-0.28399429470300674
108	905	cost	-0.09221166372299194
109	1459	maybe	0.5275102257728577
110	1	<unk>	-0.24341556429862976
111	14	,	-0.04259222745895386
112	13716	000	0.011996746063232422
113	7	to	0.09548032283782959
114	1200	shoot	0.3084617853164673
115	14	,	-0.05023360252380371
116	57	but	0.7470880746841431
117	20	only	0.5691771060228348
118	15	because	-0.2924082279205322
119	47	it	-0.32082390785217285
120	41	is	-0.014366567134857178
121	135	on	-0.4288116693496704
122	1	<unk>	-0.44810712337493896
123	14	,	-0.0679706335067749
124	33	and	-0.501502275466919
125	42	that	-0.1652490496635437
126	41	is	-0.0379871129989624
127	1047	probably	-0.4188949167728424
