sample=181 explainer=permutation target=0 sample_size=128
detokenized_full_text: this is the best mock documentary of a dog show that i have seen in a long time . a very long time . well lets face it , ever . isn ' t that part of the charm ? the idea of actually going to the trouble to make a movie mocking a documentary about an event that most people would find odd in the first place . even if there were no big laughs , one would still be smirking at the thought . any movie that attempts something new scores highly in my proverbial book . i loved the dogs too ! <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
idx	token_id	token_str	shap_value
0	70	this	-0.13962005265057087
1	41	is	-0.3843861650675535
2	31	the	0.1507803425192833
3	235	best	-1.3130245208740234
4	10367	mock	2.902157722041011
5	3788	documentary	-0.9188191164284945
6	11	of	-0.15808091312646866
7	9	a	0.39908313751220703
8	5472	dog	-0.4995747487992048
9	253	show	-0.6079512760043144
10	42	that	-2.539032280445099
11	2	i	0.2805183008313179
12	19	have	0.6033139601349831
13	1065	seen	0.5120828226208687
14	82	in	0.07998649030923843
15	9	a	0.22764913365244865
16	766	long	0.24203220009803772
17	552	time	-0.655618155375123
18	18	.	0.04456394910812378
19	9	a	0.440437164157629
20	67	very	-0.4242546781897545
21	766	long	0.1671730875968933
22	552	time	-0.9300376903265715
23	18	.	0.5415177959948778
24	141	well	-1.2035522945225239
25	5613	lets	0.08289778232574463
26	942	face	-0.16901479102671146
27	47	it	0.05352318286895752
28	14	,	-0.26465824246406555
29	1394	ever	0.26461465656757355
30	18	.	0.1642315536737442
31	463	isn	-0.22559452056884766
32	4	'	0.526807963848114
33	5	t	-0.04244806617498398
34	42	that	-0.5001493860036135
35	342	part	1.2791635915637016
36	11	of	0.4231706839054823
37	31	the	0.7920244410634041
38	69	charm	-0.8197416886687279
39	199	?	1.6871207375079393
40	31	the	-0.0038407761603593826
41	1116	idea	0.5719935148954391
42	11	of	-0.11538124643266201
43	1887	actually	-0.7053015660494566
44	421	going	0.697219355031848
45	7	to	-0.07787798345088959
46	31	the	0.13085323572158813
47	2088	trouble	0.4039609655737877
48	7	to	-0.15585782006382942
49	935	make	1.5104801934212446
50	9	a	0.8163356631994247
51	71	movie	-0.7731074094772339
52	5357	mocking	-0.612590417265892
53	9	a	0.19097891449928284
54	3788	documentary	-0.6441978961229324
55	80	about	0.764081783592701
56	268	an	0.26581066846847534
57	4320	event	-0.8959852159023285
58	42	that	-0.23725908994674683
59	44	most	0.17854192852973938
60	78	people	0.8317077923566103
61	138	would	0.4567576237022877
62	257	find	-1.2907811421900988
63	1540	odd	-0.014428049325942993
64	82	in	-0.06364394724369049
65	31	the	0.17165015637874603
66	73	first	-0.4283595532178879
67	651	place	-0.23525869846343994
68	18	.	0.132945217192173
69	970	even	0.46355944871902466
70	637	if	0.003077477216720581
71	158	there	0.8611185401678085
72	94	were	-0.2629287838935852
73	127	no	0.05213552713394165
74	104	big	-0.2285749316215515
75	2189	laughs	-0.4044746458530426
76	14	,	-0.9824885129928589
77	233	one	-0.003977417945861816
78	138	would	0.34478848427534103
79	685	still	-0.6065130457282066
80	8	be	0.9525191988795996
81	4792	smirking	0.637823723256588
82	90	at	-0.29404184967279434
83	31	the	0.11302655935287476
84	947	thought	-0.4300985708832741
85	18	.	0.23433693498373032
86	179	any	0.6552172377705574
87	71	movie	0.11695798486471176
88	42	that	-1.5519978776574135
89	2922	attempts	0.3271286468952894
90	669	something	0.2571275234222412
91	615	new	-0.4593125507235527
92	8859	scores	0.31746016070246696
93	1632	highly	-0.39997973293066025
94	82	in	-0.06154291331768036
95	83	my	-2.2980329860001802
96	21546	proverbial	-0.08787962794303894
97	2029	book	-0.18975958228111267
98	18	.	0.11228399723768234
99	2	i	0.3630675673484802
100	597	loved	-0.7299129515886307
101	31	the	0.12479126453399658
102	3349	dogs	0.8867982216179371
103	175	too	0.7045997977256775
104	574	!	0.1012888103723526
105	0	<pad>	0.0
106	0	<pad>	0.0
107	0	<pad>	0.0
108	0	<pad>	0.0
109	0	<pad>	0.0
110	0	<pad>	0.0
111	0	<pad>	0.0
112	0	<pad>	0.0
113	0	<pad>	0.0
114	0	<pad>	0.0
115	0	<pad>	0.0
116	0	<pad>	0.0
117	0	<pad>	0.0
118	0	<pad>	0.0
119	0	<pad>	0.0
120	0	<pad>	0.0
121	0	<pad>	0.0
122	0	<pad>	0.0
123	0	<pad>	0.0
124	0	<pad>	0.0
125	0	<pad>	0.0
126	0	<pad>	0.0
127	0	<pad>	0.0
