sample=163 explainer=permutation target=0 sample_size=128
detokenized_full_text: one of chaplin ' s longest films up to that point , burlesque on carmen is a clever and surprisingly complex parody of what was then <unk> <unk> ' s well-known story about carmen . i was a little confused about the difference between the imdb ' s listing of the 1915 burlesque on carmen and the 1916 version . based on the running time i assume that it was the 1915 version that i saw , since the 1916 one is a good 20 minutes longer , and from what i ' ve read , those are 20 unnecessary and unimpressive minutes . from the very beginning , it ' s clear that burlesque on carmen is one of chaplin ' s most complex and ambitious efforts
idx	token_id	token_str	shap_value
0	233	one	0.02662956714630127
1	11	of	-0.01813209056854248
2	10663	chaplin	0.5677226781845093
3	4	'	0.021494388580322266
4	152	s	-0.8332517743110657
5	2194	longest	-0.06612646579742432
6	25	films	0.17998111248016357
7	195	up	0.8013346195220947
8	7	to	0.021501779556274414
9	42	that	-0.010117530822753906
10	1992	point	1.6747369766235352
11	14	,	-0.054329872131347656
12	10510	burlesque	0.11619532108306885
13	135	on	-0.4635466933250427
14	8606	carmen	-1.1480899006128311
15	41	is	-0.05705130100250244
16	9	a	0.07178592681884766
17	3915	clever	-0.06689894199371338
18	33	and	-0.25833380222320557
19	5499	surprisingly	-0.37772655487060547
20	1344	complex	-0.24435555934906006
21	9026	parody	0.24069547653198242
22	11	of	-0.015064835548400879
23	39	what	0.018689513206481934
24	88	was	0.08522510528564453
25	356	then	0.09573626518249512
26	1	<unk>	-0.5875790119171143
27	1	<unk>	-0.12973558902740479
28	4	'	0.335690975189209
29	152	s	-0.09128725528717041
30	6704	well-known	-0.12859761714935303
31	202	story	-0.7502267360687256
32	80	about	0.6304514408111572
33	8606	carmen	0.09286129474639893
34	18	.	0.020325541496276855
35	2	i	0.034482598304748535
36	88	was	0.095223069190979
37	9	a	0.14076006412506104
38	115	little	-0.14362645149230957
39	5789	confused	-0.4521048069000244
40	80	about	0.21030187606811523
41	31	the	0.007803678512573242
42	4913	difference	-0.12899529933929443
43	790	between	-0.13018548488616943
44	31	the	1.9482848644256592
45	2559	imdb	0.024618029594421387
46	4	'	2.3529651165008545
47	152	s	-0.5862464904785156
48	10776	listing	0.09756731986999512
49	11	of	-0.02571117877960205
50	31	the	0.00726318359375
51	22871	1915	0.06405806541442871
52	10510	burlesque	1.4483189582824707
53	135	on	0.02240598201751709
54	8606	carmen	-0.028124332427978516
55	33	and	-0.18967759609222412
56	31	the	-0.0034117698669433594
57	21224	1916	-0.003932356834411621
58	612	version	-0.05531442165374756
59	18	.	0.056070566177368164
60	1557	based	0.32967042922973633
61	135	on	-0.005619525909423828
62	31	the	0.01388537883758545
63	2195	running	-2.199584186077118
64	552	time	-0.07141780853271484
65	2	i	0.2879348695278168
66	8363	assume	0.05061924457550049
67	42	that	-0.03590047359466553
68	47	it	0.01699841022491455
69	88	was	0.08232510089874268
70	31	the	-0.004196643829345703
71	22871	1915	0.08338260650634766
72	612	version	-0.054296255111694336
73	42	that	-0.02724003791809082
74	2	i	0.107077956199646
75	554	saw	0.056008100509643555
76	14	,	-0.9967222958803177
77	503	since	-0.04969918727874756
78	31	the	-0.01664268970489502
79	21224	1916	-0.0012409687042236328
80	233	one	0.02450549602508545
81	41	is	-0.05806899070739746
82	9	a	0.2092602252960205
83	204	good	0.09493851661682129
84	916	20	0.05104780197143555
85	1902	minutes	0.040917158126831055
86	4273	longer	0.207733154296875
87	14	,	-0.035628437995910645
88	33	and	-1.6538900136947632
89	376	from	0.052391886711120605
90	39	what	0.14684462547302246
91	2	i	0.08014166355133057
92	4	'	0.009448885917663574
93	575	ve	0.07038664817810059
94	2028	read	-0.1679617166519165
95	14	,	-0.11960244178771973
96	977	those	-0.21792316436767578
97	226	are	-0.0018646717071533203
98	916	20	0.07291829586029053
99	3050	unnecessary	0.02734231948852539
100	33	and	-0.11162400245666504
101	14339	unimpressive	-0.12494683265686035
102	1902	minutes	0.046124935150146484
103	18	.	0.015078306198120117
104	376	from	0.06577372550964355
105	31	the	0.8633300065994263
106	67	very	-0.05912601947784424
107	1845	beginning	0.6032977104187012
108	14	,	-0.08556103706359863
109	47	it	0.01555180549621582
110	4	'	-0.024385690689086914
111	152	s	-0.1731783151626587
112	1307	clear	0.08008837699890137
113	42	that	-0.08742797374725342
114	10510	burlesque	0.11051619052886963
115	135	on	-0.11701488494873047
116	8606	carmen	-0.031287431716918945
117	41	is	-0.0706714391708374
118	233	one	0.0316770076751709
119	11	of	-0.029198765754699707
120	10663	chaplin	-1.4224975109100342
121	4	'	-0.019891738891601562
122	152	s	-4.1446738839149475
123	44	most	0.10150289535522461
124	1344	complex	-0.21269667148590088
125	33	and	-0.09982132911682129
126	10647	ambitious	-0.005389571189880371
127	11961	efforts	0.0004863739013671875
