sample=93 explainer=permutation target=0 sample_size=128
detokenized_full_text: i agree with several of you that this film was rather boring and dull . i found myself <unk> the main character and the following actors/actresses that came in the scenes . the camera work was non pleasing itself . random shots and shaky film scenes made me quite annoyed and i turned the film off . i will make up my time by watching the 1999 adaption and hope that it fits <unk> along with sense and sensibility emma becoming jane and pride and prejudice . i ' ve only a few others to watch besides these films but i believe they were done in great taste . the music was kind of out of place with the film also , reminding me of another show i
idx	token_id	token_str	shap_value
0	2	i	-0.12485888600349426
1	2740	agree	-0.13760250806808472
2	126	with	0.22333353757858276
3	1378	several	0.1069214940071106
4	11	of	-0.11359953880310059
5	310	you	-0.2775220088660717
6	42	that	-0.5862513184547424
7	70	this	-0.9910625219345093
8	63	film	-0.35352322459220886
9	88	was	0.15515168383717537
10	608	rather	0.748691976070404
11	2676	boring	0.9109702408313751
12	33	and	-0.37469619512557983
13	1925	dull	-0.10152077674865723
14	18	.	0.07219037413597107
15	2	i	0.07615607976913452
16	43	found	-0.4525555670261383
17	2151	myself	0.8123444616794586
18	1	<unk>	-0.4045266658067703
19	31	the	0.11593902111053467
20	1119	main	-0.11149770766496658
21	98	character	0.8154551684856415
22	33	and	-0.5287284255027771
23	31	the	0.2779166102409363
24	4306	following	0.4833188019692898
25	20572	actors/actresses	0.008939191699028015
26	42	that	-0.20843825116753578
27	778	came	-0.40113139152526855
28	82	in	-0.12659987807273865
29	31	the	2.147319257259369
30	121	scenes	2.108336091041565
31	18	.	0.13089114427566528
32	31	the	0.08200079202651978
33	1280	camera	3.289677381515503
34	979	work	-0.4423481523990631
35	88	was	0.1861022710800171
36	1030	non	-0.06748741865158081
37	13021	pleasing	0.13790476322174072
38	75	itself	1.2315123826265335
39	18	.	0.3950987197458744
40	2594	random	-1.3488982319831848
41	3058	shots	-0.5342335402965546
42	33	and	-0.45016658306121826
43	20688	shaky	-1.2131339311599731
44	63	film	-3.242512047290802
45	121	scenes	1.0053294003009796
46	100	made	0.09297454357147217
47	331	me	-1.0218833833932877
48	1101	quite	0.33079370856285095
49	14605	annoyed	0.6182594895362854
50	33	and	-0.3671824485063553
51	2	i	-0.16786158084869385
52	944	turned	0.2087973952293396
53	31	the	0.12368401885032654
54	63	film	-0.3996681123971939
55	272	off	1.0968844890594482
56	18	.	0.08830680325627327
57	2	i	-0.03620338439941406
58	599	will	-0.45156776532530785
59	935	make	1.9898173213005066
60	195	up	0.6698740124702454
61	83	my	-2.8957215547561646
62	552	time	-0.5123513340950012
63	167	by	-0.4436202645301819
64	333	watching	3.887956917285919
65	31	the	0.1571521759033203
66	7036	1999	-0.6116345226764679
67	12512	adaption	-0.9947453141212463
68	33	and	-0.4167773127555847
69	502	hope	-1.123681664466858
70	42	that	-0.40604573488235474
71	47	it	-0.4920802116394043
72	1873	fits	-0.6465182900428772
73	1	<unk>	-0.4656272530555725
74	53	along	-0.46990346908569336
75	126	with	0.1799439787864685
76	1115	sense	0.47835856676101685
77	33	and	-0.3837254047393799
78	24603	sensibility	0.6717960238456726
79	3624	emma	-0.25693968310952187
80	1072	becoming	-1.0535250306129456
81	2104	jane	0.7922999262809753
82	33	and	-1.2386547923088074
83	10255	pride	-0.020438313484191895
84	33	and	-0.33290597796440125
85	3513	prejudice	-0.0018993914127349854
86	18	.	0.44297170639038086
87	2	i	0.036753907799720764
88	4	'	0.47080540657043457
89	575	ve	1.8854330778121948
90	20	only	0.7164245247840881
91	9	a	0.4960343837738037
92	497	few	0.13698971271514893
93	3460	others	-0.2732354998588562
94	7	to	0.033510804176330566
95	540	watch	-0.014329969882965088
96	2437	besides	-0.05244356393814087
97	821	these	0.0566641241312027
98	25	films	0.17840725183486938
99	57	but	0.5264125466346741
100	2	i	-0.07635354995727539
101	443	believe	0.6133279800415039
102	622	they	2.16798597574234
103	94	were	-0.19243714585900307
104	744	done	0.28965646028518677
105	82	in	-0.19940222427248955
106	165	great	-1.3415445536375046
107	5640	taste	0.2346157431602478
108	18	.	0.2177289016544819
109	31	the	0.21426665782928467
110	1125	music	-0.7784751206636429
111	88	was	0.07116097211837769
112	453	kind	0.15199196338653564
113	11	of	-0.20577359572052956
114	258	out	0.9603715538978577
115	11	of	-0.055264174938201904
116	651	place	-0.21853303909301758
117	126	with	0.0990673303604126
118	31	the	0.1409570276737213
119	63	film	-0.3905520886182785
120	582	also	-0.6499224901199341
121	14	,	-0.4896466135978699
122	5250	reminding	-1.1049534678459167
123	331	me	-0.8677145838737488
124	11	of	-0.07362877577543259
125	1134	another	0.20858921855688095
126	253	show	-0.6260830163955688
127	2	i	0.07804286479949951
