sample=209 explainer=permutation target=0 sample_size=128
detokenized_full_text: a few buddies and myself have the strange hobby of seeking out really horrendous and utterly obscure ( for a good reason ) horror flicks and then subsequently watching them under the influence of <unk> consumer goods like alcohol and/or soft drugs . surely a lot of people do this , but they watch movies like the godzilla remake , whereas we torment our eyes and brains with stuff like the <unk> <unk> horror . and , eureka , this is a <unk> bad movie ! we open traditionally , with bag pipes music during the opening credits . this is , of course , to emphasize extra to us dumb viewers that the story is supposed to take place in the scottish highlights and not in director
idx	token_id	token_str	shap_value
0	9	a	0.09569501876831055
1	497	few	0.11699771881103516
2	9137	buddies	0.04011759161949158
3	33	and	-0.4820575714111328
4	2151	myself	0.502246618270874
5	19	have	0.47727662324905396
6	31	the	0.026232756674289703
7	446	strange	-0.1846345067024231
8	6964	hobby	-0.046994924545288086
9	11	of	-0.05755031108856201
10	11531	seeking	-0.39135152101516724
11	258	out	0.5665931701660156
12	124	really	0.5266265273094177
13	1440	horrendous	0.3264766335487366
14	33	and	-0.29884254932403564
15	709	utterly	0.16994917392730713
16	9020	obscure	0.06455439329147339
17	236	(	-0.10413801670074463
18	222	for	0.09336501359939575
19	9	a	0.12336641550064087
20	204	good	0.10216331481933594
21	2527	reason	-0.1075088232755661
22	254	)	0.16944944858551025
23	1888	horror	-0.10947859287261963
24	2266	flicks	-0.49812400341033936
25	33	and	-0.46613460779190063
26	356	then	0.42847421392798424
27	10797	subsequently	-0.5718634128570557
28	333	watching	0.973932683467865
29	230	them	-0.1586761474609375
30	1236	under	-0.3069550395011902
31	31	the	0.05390596389770508
32	13154	influence	-0.4443776607513428
33	11	of	0.08691354095935822
34	1	<unk>	-0.831741452217102
35	22037	consumer	1.9813050031661987
36	11864	goods	-0.44899922609329224
37	103	like	-0.2886607050895691
38	7230	alcohol	-6.216681957244873
39	7566	and/or	-0.8102709949016571
40	5803	soft	-0.10114078223705292
41	2574	drugs	0.9630659818649292
42	18	.	2.020233988761902
43	5500	surely	-0.27753931283950806
44	9	a	0.14906668663024902
45	46	lot	-0.8171361684799194
46	11	of	0.01491767168045044
47	78	people	0.5387831926345825
48	76	do	0.903888925909996
49	70	this	-0.33359861373901367
50	14	,	-0.0008531808853149414
51	57	but	0.44862863421440125
52	622	they	0.6703060418367386
53	540	watch	-0.005176067352294922
54	149	movies	-2.4530904293060303
55	103	like	-0.5580412745475769
56	31	the	0.0397300124168396
57	18990	godzilla	-0.26171958446502686
58	6955	remake	0.8506441563367844
59	14	,	-0.04360958933830261
60	2035	whereas	1.714120402932167
61	780	we	-0.35365378856658936
62	14061	torment	0.13437390327453613
63	2767	our	0.2585827484726906
64	2380	eyes	-0.13625329732894897
65	33	and	-0.34855586290359497
66	2012	brains	-0.385868176817894
67	126	with	0.19890964031219482
68	514	stuff	-0.340559184551239
69	103	like	-0.31091058254241943
70	31	the	0.029487043619155884
71	1	<unk>	-0.4865381717681885
72	1	<unk>	-2.55305964872241
73	1888	horror	-0.0711202621459961
74	18	.	0.06661048531532288
75	33	and	-0.4309723973274231
76	14	,	-0.03775978088378906
77	13847	eureka	-0.3681980296969414
78	14	,	-0.06963455677032471
79	70	this	-0.28202278167009354
80	41	is	-0.13240516185760498
81	9	a	0.07784903049468994
82	1	<unk>	-1.226612776517868
83	197	bad	1.9604623466730118
84	71	movie	0.18939679861068726
85	574	!	0.12768250703811646
86	780	we	-0.1695694997906685
87	4078	open	3.1733649373054504
88	22075	traditionally	0.6782472729682922
89	14	,	-0.32984983921051025
90	126	with	0.3827835023403168
91	7093	bag	0.02870643138885498
92	17588	pipes	0.34211020171642303
93	1125	music	-0.2592691481113434
94	1188	during	0.21537672728300095
95	31	the	0.05183228850364685
96	2424	opening	-0.29133736714720726
97	5286	credits	0.4124246835708618
98	18	.	0.03255617618560791
99	70	this	-0.20648407936096191
100	41	is	-0.17938746884465218
101	14	,	-0.13787539303302765
102	11	of	0.07645976543426514
103	440	course	-0.5760239958763123
104	14	,	-0.012346982955932617
105	7	to	0.0929335355758667
106	3917	emphasize	-0.8019244559109211
107	4145	extra	0.30825358629226685
108	7	to	0.174017071723938
109	611	us	0.3037036061286926
110	6114	dumb	0.3921603858470917
111	2320	viewers	1.7036485075950623
112	42	that	-0.09320861101150513
113	31	the	0.01245059072971344
114	202	story	-0.6733764410018921
115	41	is	-0.26055341958999634
116	400	supposed	0.8772485256195068
117	7	to	0.11868131160736084
118	733	take	-0.39880335330963135
119	651	place	-0.1339104175567627
120	82	in	-0.033743441104888916
121	31	the	0.03173649311065674
122	6981	scottish	0.19668984413146973
123	2807	highlights	0.03644239902496338
124	33	and	-0.4749239683151245
125	17	not	0.29163313657045364
126	82	in	-0.08391254022717476
127	404	director	0.05671679973602295
