sample=214 explainer=permutation target=0 sample_size=128
detokenized_full_text: one of the great tragedies of life is that disney is so very successful at everything that they do . if they were not , we might have more unique little gems of animation such as the curious adventures of mr . <unk> . the story is that an evil king has <unk> the throne of a place called <unk> ( i could have the name wrong ) . he is hated by everyone . his favorite hobby is shooting birds , and at some point in the past , he presumably killed the wife of mr . <unk> ( a bird , played with typical flair by peter ustinov ) leaving him with four young chicks to raise . meanwhile , we see that another of the
idx	token_id	token_str	shap_value
0	233	one	0.012642741203308105
1	11	of	-0.0049204230308532715
2	31	the	0.07401251792907715
3	165	great	-9.237969920039177
4	4867	tragedies	0.5603455901145935
5	11	of	-0.012086749076843262
6	749	life	-0.20781832933425903
7	41	is	-0.09798181056976318
8	42	that	-0.24819743633270264
9	3140	disney	-0.5843225717544556
10	41	is	-0.11667501926422119
11	26	so	1.3535152077674866
12	67	very	-0.6785154044628143
13	2555	successful	-0.6114886552095413
14	90	at	-0.5736919976770878
15	624	everything	-0.6707202307879925
16	42	that	-0.24934661388397217
17	622	they	2.179335743188858
18	76	do	0.5036011338233948
19	18	.	0.1474423110485077
20	637	if	-0.04170249402523041
21	622	they	2.0800505578517914
22	94	were	-0.22516989707946777
23	17	not	0.15605056285858154
24	14	,	-0.11721616983413696
25	780	we	-0.10486838221549988
26	2228	might	8.517289832234383
27	19	have	0.576928436756134
28	102	more	-0.02908802032470703
29	287	unique	-1.268929123878479
30	115	little	-0.5007944107055664
31	4412	gems	-0.584297776222229
32	11	of	-0.02100694179534912
33	61	animation	-0.08603596687316895
34	559	such	0.6970913410186768
35	145	as	-0.4572349190711975
36	31	the	-0.02527797222137451
37	1972	curious	-0.6564195454120636
38	2479	adventures	0.13123035430908203
39	11	of	-0.006019234657287598
40	1596	mr	0.024485349655151367
41	18	.	0.16404545307159424
42	1	<unk>	-0.4439247250556946
43	18	.	0.5522978901863098
44	31	the	-0.015760481357574463
45	202	story	-0.5562106966972351
46	41	is	-0.18521809577941895
47	42	that	-0.8454396277666092
48	268	an	0.42261967062950134
49	206	evil	0.3288753032684326
50	2312	king	0.1613556146621704
51	416	has	-0.3492434024810791
52	1	<unk>	-0.7409978993237019
53	31	the	0.01922738552093506
54	6395	throne	0.31058841943740845
55	11	of	-0.020314514636993408
56	9	a	0.071563720703125
57	651	place	-0.21437856554985046
58	3401	called	0.42592915892601013
59	1	<unk>	-0.3600926399230957
60	236	(	-0.26422739028930664
61	2	i	1.0719216465950012
62	631	could	0.407942995429039
63	19	have	0.4313112497329712
64	31	the	0.01605871319770813
65	2794	name	2.1950206458568573
66	1468	wrong	1.1210353374481201
67	254	)	0.38753068447113037
68	18	.	0.15976732969284058
69	370	he	-0.21952104568481445
70	41	is	-0.21264499425888062
71	3562	hated	0.8932108581066132
72	167	by	-0.27059924602508545
73	677	everyone	-1.0050233714282513
74	18	.	0.19688470661640167
75	23	his	0.31423020362854004
76	521	favorite	-2.450863152742386
77	6964	hobby	0.06626391410827637
78	41	is	-0.85086889564991
79	2356	shooting	0.41232001781463623
80	3094	birds	0.7922862470149994
81	14	,	-0.05001628398895264
82	33	and	-0.5951323509216309
83	90	at	-0.4092888832092285
84	120	some	-0.14693844318389893
85	1992	point	0.6261862814426422
86	82	in	-0.12287351489067078
87	31	the	-0.033301472663879395
88	2236	past	0.26486116647720337
89	14	,	-0.1364973783493042
90	370	he	-0.27321213483810425
91	13520	presumably	1.3981747329235077
92	952	killed	0.4824386239051819
93	31	the	0.049229711294174194
94	1362	wife	-0.017122358083724976
95	11	of	-0.02547931671142578
96	1596	mr	0.019460856914520264
97	18	.	0.06085014343261719
98	1	<unk>	-0.3879184126853943
99	236	(	-0.1608262062072754
100	9	a	0.1647988259792328
101	5969	bird	0.3326549530029297
102	14	,	-0.12037530541419983
103	2188	played	-0.28225040435791016
104	126	with	0.22243328392505646
105	3256	typical	0.05379176139831543
106	17302	flair	-0.4633778929710388
107	167	by	-0.7506092675030231
108	1196	peter	0.2244182825088501
109	12460	ustinov	-0.15687775611877441
110	254	)	0.268425315618515
111	3537	leaving	0.2278006672859192
112	363	him	-0.7170925140380859
113	126	with	0.12342381477355957
114	571	four	1.331012073904276
115	2255	young	0.20767611265182495
116	6643	chicks	1.1011946201324463
117	7	to	0.05751867592334747
118	7881	raise	-0.03387118875980377
119	18	.	0.13708150386810303
120	7996	meanwhile	-0.6771762371063232
121	14	,	-0.4950563907623291
122	780	we	-0.014964103698730469
123	321	see	-2.0833583772182465
124	42	that	-0.2643063962459564
125	1134	another	0.12876805663108826
126	11	of	-0.07840697467327118
127	31	the	0.026320546865463257
