sample=24 explainer=permutation target=0 sample_size=128
detokenized_full_text: caught this movie on tv and i watched it again . i said to myself , it ' s been a long time since i watched this movie , so why not . and once again this movie thrilled me . it is so easy , so watchable and so human that i don ' t know why some people dislike it . john travolta shines as michael ( his dance and every move ) , angel that can hardly be related to this word . he smokes , drinks and he eats like some savage , but he ' s got big heart . on his way michael helps all people he meets . dorothy winters ( andie <unk> ) in her singing and finding a right
idx	token_id	token_str	shap_value
0	4639	caught	-0.1079062819480896
1	70	this	-0.08343732357025146
2	71	movie	0.1916215419769287
3	135	on	-0.18889379501342773
4	387	tv	0.011451363563537598
5	33	and	-0.2590371370315552
6	2	i	0.14871692657470703
7	21	watched	0.08153688907623291
8	47	it	-0.06674683094024658
9	164	again	-0.05739998817443848
10	18	.	-0.0042111873626708984
11	2	i	0.1399950385093689
12	819	said	-1.4182496070861816
13	7	to	0.03387343883514404
14	2151	myself	4.792391896247864
15	14	,	-0.26812100410461426
16	47	it	-0.0194551944732666
17	4	'	0.23392924666404724
18	152	s	-0.12142747640609741
19	248	been	0.2867010831832886
20	9	a	0.03482365608215332
21	766	long	0.05741393566131592
22	552	time	-1.1416699886322021
23	503	since	-0.5500577017664909
24	2	i	0.4014303535223007
25	21	watched	0.08357429504394531
26	70	this	0.0631633996963501
27	71	movie	-0.025958240032196045
28	14	,	-0.0665440559387207
29	26	so	0.08259966969490051
30	1124	why	-0.6077905893325806
31	17	not	0.3266826272010803
32	18	.	0.020907878875732422
33	33	and	-0.12696170806884766
34	2891	once	-0.14040464162826538
35	164	again	-0.12150228023529053
36	70	this	-0.08664000034332275
37	71	movie	0.060539841651916504
38	18304	thrilled	0.06446552276611328
39	331	me	-0.2121337652206421
40	18	.	-0.3914273977279663
41	47	it	-0.04560422897338867
42	41	is	-0.056641459465026855
43	26	so	0.051038503646850586
44	4627	easy	-0.8524887561798096
45	14	,	-0.17988532781600952
46	26	so	0.04929673671722412
47	7770	watchable	1.194150984287262
48	33	and	-0.11034190654754639
49	26	so	0.00854712724685669
50	1217	human	0.1194341778755188
51	42	that	-0.34302040934562683
52	2	i	0.15343141555786133
53	1165	don	0.09148097038269043
54	4	'	0.032338500022888184
55	5	t	-0.09876525402069092
56	636	know	-0.4012734889984131
57	1124	why	-0.6469020694494247
58	120	some	0.02817314863204956
59	78	people	2.0401593446731567
60	2048	dislike	-0.0371549129486084
61	47	it	-0.046974778175354004
62	18	.	-0.25731217861175537
63	889	john	-0.02501213550567627
64	17573	travolta	0.10514312982559204
65	10246	shines	0.006871223449707031
66	145	as	-0.15078020095825195
67	1363	michael	-1.0035755634307861
68	236	(	-0.018320560455322266
69	23	his	0.20366477966308594
70	4901	dance	0.014531433582305908
71	33	and	-0.18777191638946533
72	190	every	-0.2137163281440735
73	1742	move	-0.008355975151062012
74	254	)	0.138496994972229
75	14	,	-0.16197597980499268
76	934	angel	-0.23987197875976562
77	42	that	-0.021209716796875
78	40	can	0.0823807418346405
79	2609	hardly	-0.0860663652420044
80	8	be	4.179159879684448
81	2593	related	-0.037489891052246094
82	7	to	0.06485176086425781
83	70	this	-0.4204931929707527
84	1426	word	0.04725241661071777
85	18	.	-0.011170446872711182
86	370	he	-0.07576620578765869
87	15410	smokes	0.3574002981185913
88	14	,	-0.0989561676979065
89	6536	drinks	-0.2721383571624756
90	33	and	-0.29203951358795166
91	370	he	-0.10046112537384033
92	4528	eats	0.15637338161468506
93	103	like	-0.2265632152557373
94	120	some	0.030957341194152832
95	4148	savage	0.5371994972229004
96	14	,	-0.3029941916465759
97	57	but	0.37262237071990967
98	370	he	-0.09348249435424805
99	4	'	0.033257126808166504
100	152	s	-0.15016686916351318
101	623	got	0.3247566819190979
102	104	big	-0.02283501625061035
103	1039	heart	-0.021627068519592285
104	18	.	0.0012655258178710938
105	135	on	-0.09959626197814941
106	23	his	0.4054243564605713
107	1088	way	0.09503746032714844
108	1363	michael	-0.021323442459106445
109	1349	helps	0.08322644233703613
110	544	all	0.20581072568893433
111	78	people	1.5323795080184937
112	370	he	-0.07591819763183594
113	2281	meets	-0.17702805995941162
114	18	.	0.007251381874084473
115	10738	dorothy	-0.17898952960968018
116	5715	winters	0.016838550567626953
117	236	(	-0.04475879669189453
118	3580	andie	-0.16811883449554443
119	1	<unk>	-6.194066941738129
120	254	)	0.16690611839294434
121	82	in	-0.03204953670501709
122	708	her	-2.601957857608795
123	3732	singing	0.1780630350112915
124	33	and	-0.18675434589385986
125	6849	finding	0.027243494987487793
126	9	a	0.19910579919815063
127	716	right	-0.36948537826538086
