sample=141 explainer=permutation target=0 sample_size=128
detokenized_full_text: this film is about the encounters of 7 couples on <unk> heath in one sunny wednesday afternoon . it shows 7 different types of couples married , divorced , breaking up a relationship , homosexual , elderly , blind date and escort service . they are not connected to each other apart from the <unk> location , so that is a disappointment . the film is a collage of conversations , without any discernible plot . the film jumps from a pair to another without any logic . i find this film boring and <unk> . the only redeeming feature is the great weather throughout the film . it is sad that talents like ewan mcgregor and sophie <unk> get wasted by this film . <pad> <pad> <pad>
idx	token_id	token_str	shap_value
0	70	this	-0.09936701133847237
1	63	film	-0.19194257259368896
2	41	is	-0.17069047689437866
3	80	about	0.123839121311903
4	31	the	-0.002362966537475586
5	2943	encounters	-0.3323702812194824
6	11	of	-0.04540950059890747
7	826	7	-0.2061559557914734
8	22830	couples	0.1008228063583374
9	135	on	-0.06883704662322998
10	1	<unk>	-0.33241643011569977
11	17473	heath	0.10267555713653564
12	82	in	-0.035988807678222656
13	233	one	0.018643736839294434
14	16221	sunny	-0.06619548797607422
15	26985	wednesday	0.1666949987411499
16	9569	afternoon	0.03174138069152832
17	18	.	0.6499265432357788
18	47	it	-0.0018233805894851685
19	832	shows	-0.008743047714233398
20	826	7	-0.1921093463897705
21	586	different	-0.21144354343414307
22	4047	types	-1.198245033621788
23	11	of	-0.04137623310089111
24	22830	couples	0.07507240772247314
25	1656	married	-0.23714101314544678
26	14	,	-0.07788991928100586
27	17399	divorced	-0.3047815263271332
28	14	,	-0.023882612586021423
29	2838	breaking	0.4086216688156128
30	195	up	0.5650885105133057
31	9	a	0.33514106273651123
32	1118	relationship	0.12832045555114746
33	14	,	-0.059298157691955566
34	10579	homosexual	-0.06162750720977783
35	14	,	-0.21232306957244873
36	1738	elderly	-0.15495363995432854
37	14	,	0.5718903541564941
38	4968	blind	0.13381314277648926
39	4766	date	-0.178838849067688
40	33	and	-0.9180639684200287
41	5075	escort	-0.03576221689581871
42	5076	service	0.0024328231811523438
43	18	.	0.1129070520401001
44	622	they	0.6485243588685989
45	226	are	0.548258900642395
46	17	not	0.26986876502633095
47	8382	connected	-0.4637432098388672
48	7	to	0.2187480926513672
49	774	each	-0.2953091450035572
50	476	other	-0.22786927223205566
51	3416	apart	-0.5528135299682617
52	376	from	0.12403261661529541
53	31	the	-0.023201346397399902
54	1	<unk>	-0.3299298584461212
55	4436	location	-0.11239230632781982
56	14	,	0.1260216236114502
57	26	so	0.0338519811630249
58	42	that	-0.05825173854827881
59	41	is	-0.09274959564208984
60	9	a	0.0632936954498291
61	3006	disappointment	-0.20427298545837402
62	18	.	0.08641278371214867
63	31	the	1.3305611461400986
64	63	film	-0.5216366648674011
65	41	is	-0.7241538763046265
66	9	a	0.07225024700164795
67	15217	collage	-0.1930333375930786
68	11	of	-0.04348933696746826
69	1811	conversations	0.29781538993120193
70	14	,	-0.06723648309707642
71	468	without	-0.7285588979721069
72	179	any	0.4975379705429077
73	15785	discernible	0.31925496086478233
74	1343	plot	0.61789670586586
75	18	.	0.0853232741355896
76	31	the	0.05858874320983887
77	63	film	-0.1651587337255478
78	2371	jumps	0.8656036853790283
79	376	from	-0.008209586143493652
80	9	a	0.019063055515289307
81	4942	pair	0.555782001465559
82	7	to	0.8850569725036621
83	1134	another	0.4278240203857422
84	468	without	-1.1850398182868958
85	179	any	0.26666319370269775
86	8684	logic	0.3483712077140808
87	18	.	0.09150898456573486
88	2	i	0.3675309419631958
89	257	find	-0.06371760368347168
90	70	this	-0.10628318786621094
91	63	film	-0.14070463180541992
92	2676	boring	0.7059279978275299
93	33	and	-0.6106712035834789
94	1	<unk>	-0.31124716624617577
95	18	.	0.08126240968704224
96	31	the	0.10891836881637573
97	20	only	0.372327983379364
98	8513	redeeming	0.6985514760017395
99	2788	feature	-2.3566381335258484
100	41	is	-0.4811300039291382
101	31	the	0.10763552784919739
102	165	great	-0.3596287965774536
103	10095	weather	0.13109111785888672
104	1872	throughout	-0.03725153207778931
105	31	the	0.018615901470184326
106	63	film	-0.13624629378318787
107	18	.	0.032910943031311035
108	47	it	-3.563842475414276
109	41	is	-0.0992743968963623
110	1640	sad	-0.6957931518554688
111	42	that	-0.057926833629608154
112	2536	talents	-4.696846008300781e-05
113	103	like	-0.18236267566680908
114	10250	ewan	0.26667264476418495
115	10251	mcgregor	2.842807412147522
116	33	and	-0.276027649641037
117	16101	sophie	-0.015528500080108643
118	1	<unk>	-0.28237468004226685
119	114	get	0.08311788737773895
120	2537	wasted	0.46614813804626465
121	167	by	-0.03566313907504082
122	70	this	-0.10415226221084595
123	63	film	-0.14369409903883934
124	18	.	0.059296369552612305
125	0	<pad>	0.0
126	0	<pad>	0.0
127	0	<pad>	0.0
