sample=41 explainer=permutation target=0 sample_size=128
detokenized_full_text: come on now . how did all of these talented actors/actresses end up in this mess ? was it some sort of <unk> bet situation ? vinnie , you are a muscle man . be what you were born to be . the hot tub scene ? the <unk> scene ? i was expecting to hear the needle dragging over the record sound at any point . and what was up with him carrying around the <unk> dickens manuscript with him ? let ' s see , i ' m drunk at a bar , why not pull out the <unk> dickens manuscript ? i ' m going to meet some questionable thugs down on the edge of the <unk> , why not take my <unk> dickens manuscript
idx	token_id	token_str	shap_value
0	1302	come	0.1491297483444214
1	135	on	-0.14243251085281372
2	373	now	-1.1457617282867432
3	18	.	0.2189362496137619
4	91	how	-0.2763329744338989
5	154	did	0.1356351375579834
6	544	all	0.09850573539733887
7	11	of	-0.07837176322937012
8	821	these	0.06956863403320312
9	1081	talented	0.8849508762359619
10	20572	actors/actresses	0.046573251485824585
11	119	end	-0.2667943239212036
12	195	up	0.6547622680664062
13	82	in	-0.639607310295105
14	70	this	-0.2600818872451782
15	1843	mess	0.1885465383529663
16	199	?	0.8223778009414673
17	88	was	0.9953820705413818
18	47	it	-0.06628763675689697
19	120	some	-0.12554526329040527
20	1780	sort	0.9424100369215012
21	11	of	-0.09333270788192749
22	1	<unk>	-0.5585097074508667
23	3365	bet	-0.0024765729904174805
24	902	situation	-0.15912103652954102
25	199	?	2.015065763145685
26	19153	vinnie	0.2120354175567627
27	14	,	-0.11852633953094482
28	310	you	-0.2554568499326706
29	226	are	0.1650388240814209
30	9	a	0.0722661018371582
31	6572	muscle	-0.07298815250396729
32	1022	man	-0.13079488277435303
33	18	.	0.21728515625
34	8	be	0.2164933681488037
35	39	what	0.2057667374610901
36	310	you	-0.27029120922088623
37	94	were	-0.30797266960144043
38	3321	born	-0.026414871215820312
39	7	to	-0.009624004364013672
40	8	be	0.32622694969177246
41	18	.	0.07459807395935059
42	31	the	0.7285380363464355
43	4695	hot	0.026803255081176758
44	9600	tub	0.039405226707458496
45	588	scene	0.08007228374481201
46	199	?	0.6984038352966309
47	31	the	0.31446564197540283
48	1	<unk>	-0.7183077335357666
49	588	scene	0.11553919315338135
50	199	?	0.4753570556640625
51	2	i	0.07284283638000488
52	88	was	0.15710794925689697
53	3627	expecting	-0.7687691450119019
54	7	to	-0.014423012733459473
55	237	hear	0.09611296653747559
56	31	the	0.03166496753692627
57	17553	needle	-1.5284308791160583
58	3398	dragging	0.14633166790008545
59	176	over	-0.2315502166748047
60	31	the	0.08628815412521362
61	1453	record	0.3181506395339966
62	3853	sound	0.7044782638549805
63	90	at	-0.12416267395019531
64	179	any	0.20292067527770996
65	1992	point	0.09858489036560059
66	18	.	0.1612095832824707
67	33	and	-0.26125311851501465
68	39	what	0.20356056094169617
69	88	was	0.04187726974487305
70	195	up	0.5447527170181274
71	126	with	0.17337936162948608
72	363	him	-0.6150680780410767
73	3802	carrying	-0.20649373531341553
74	1521	around	0.19351637363433838
75	31	the	-0.04055070877075195
76	1	<unk>	-0.41863083839416504
77	8323	dickens	0.11114251613616943
78	14229	manuscript	0.07489442825317383
79	126	with	-0.04739117622375488
80	363	him	-0.4199148416519165
81	199	?	0.49001967906951904
82	726	let	-0.311099648475647
83	4	'	0.22663545608520508
84	152	s	-2.4846926666796207
85	321	see	-0.6602100133895874
86	14	,	-2.0550240874290466
87	2	i	0.12946337461471558
88	4	'	0.22031795978546143
89	742	m	0.21527087688446045
90	997	drunk	0.3310966491699219
91	90	at	-0.1255577802658081
92	9	a	0.031872719526290894
93	539	bar	0.3177793025970459
94	14	,	-0.20524239540100098
95	1124	why	-0.21853411197662354
96	17	not	0.1564466953277588
97	2595	pull	0.40537358075380325
98	258	out	0.3883543312549591
99	31	the	0.06865584850311279
100	1	<unk>	-0.5561729669570923
101	8323	dickens	0.008737921714782715
102	14229	manuscript	0.18287063390016556
103	199	?	0.650412917137146
104	2	i	0.44483470916748047
105	4	'	2.5409770011901855
106	742	m	0.19804179668426514
107	421	going	0.6782259941101074
108	7	to	-0.17719876766204834
109	2396	meet	-0.1654362678527832
110	120	some	-0.25420641899108887
111	4754	questionable	0.6995348334312439
112	8304	thugs	-0.5973830223083496
113	422	down	0.2928074598312378
114	135	on	0.038907766342163086
115	31	the	0.2145252227783203
116	2990	edge	-0.2000027894973755
117	11	of	-0.12467104196548462
118	31	the	0.0271986722946167
119	1	<unk>	-0.24603939056396484
120	14	,	-0.2502938508987427
121	1124	why	-0.24393606185913086
122	17	not	0.27642571926116943
123	733	take	-0.36908113956451416
124	83	my	-0.20495963096618652
125	1	<unk>	-0.8125872611999512
126	8323	dickens	0.07721507549285889
127	14229	manuscript	0.09466123580932617
