sample=20 explainer=permutation target=0 sample_size=128
detokenized_full_text: i caught this movie on tv yesterday . i had a certain curiosity about it , being that it was directed by <unk> <unk> and starring him and his real-life dad , martin sheen . i love to see a movie about a father-son relationship that involves a real-life father and son . naturally , there ' s an instant chemistry between sheen and <unk> , and their scenes of conflict are even more intense , knowing that they ' re actually related . of course , it helps that the two of them are both terrific actors . i ' ve seen martin sheen in intense roles before , but i think this is <unk> ' s most intense <unk> that i mostly recall him from the
idx	token_id	token_str	shap_value
0	2	i	0.134161114692688
1	4639	caught	-0.03604423999786377
2	70	this	0.011528372764587402
3	71	movie	0.03343057632446289
4	135	on	0.002568840980529785
5	387	tv	0.05857813358306885
6	3893	yesterday	0.6117709875106812
7	18	.	0.03984785079956055
8	2	i	0.15608906745910645
9	407	had	0.3742624521255493
10	9	a	0.07526731491088867
11	5177	certain	0.05854964256286621
12	8453	curiosity	0.24749326705932617
13	80	about	0.1348738670349121
14	47	it	-0.0535961389541626
15	14	,	-0.060622215270996094
16	943	being	0.030445337295532227
17	42	that	-0.027339935302734375
18	47	it	-0.08177328109741211
19	88	was	0.13359284400939941
20	1842	directed	0.10952842235565186
21	167	by	-0.033980488777160645
22	1	<unk>	-0.10902011394500732
23	1	<unk>	-0.0949852466583252
24	33	and	-0.126242995262146
25	4450	starring	0.11811494827270508
26	363	him	-0.09159660339355469
27	33	and	-0.1294039487838745
28	23	his	0.14275789260864258
29	6128	real-life	-0.13245391845703125
30	1875	dad	-0.39825260639190674
31	14	,	-0.050137877464294434
32	2964	martin	0.09917354583740234
33	2965	sheen	-0.07516658306121826
34	18	.	0.039431214332580566
35	2	i	0.023465871810913086
36	820	love	-0.1804647445678711
37	7	to	0.032314300537109375
38	321	see	-0.2668217420578003
39	9	a	0.04892385005950928
40	71	movie	0.005894064903259277
41	80	about	0.1447298526763916
42	9	a	0.16100025177001953
43	9852	father-son	-0.23594295978546143
44	1118	relationship	0.14062297344207764
45	42	that	-0.014976024627685547
46	1796	involves	0.16611003875732422
47	9	a	0.07072067260742188
48	6128	real-life	-0.15194487571716309
49	2307	father	-0.06981396675109863
50	33	and	-0.24727022647857666
51	2149	son	-0.1251542568206787
52	18	.	0.017125606536865234
53	139	naturally	-2.682463228702545
54	14	,	-0.11874639987945557
55	158	there	0.12376320362091064
56	4	'	0.019325852394104004
57	152	s	-0.29225003719329834
58	268	an	0.3151586055755615
59	6817	instant	-0.05559217929840088
60	4729	chemistry	-0.12388253211975098
61	790	between	-0.14585542678833008
62	2965	sheen	-0.040547847747802734
63	33	and	-5.077388107776642
64	1	<unk>	-0.08778834342956543
65	14	,	-0.07962071895599365
66	33	and	-0.12742507457733154
67	837	their	-0.04708600044250488
68	121	scenes	0.34339213371276855
69	11	of	-0.04260969161987305
70	7115	conflict	-0.08111774921417236
71	226	are	0.09103477001190186
72	970	even	0.13737845420837402
73	102	more	0.02927994728088379
74	3267	intense	-0.0733332633972168
75	14	,	-0.05951738357543945
76	5341	knowing	0.2100536823272705
77	42	that	0.06315469741821289
78	622	they	0.3900948762893677
79	4	'	0.017017483711242676
80	741	re	0.23307359218597412
81	1887	actually	-0.08685755729675293
82	2593	related	0.045516014099121094
83	18	.	0.027132630348205566
84	11	of	-0.07178592681884766
85	440	course	0.10408830642700195
86	14	,	-0.09088599681854248
87	47	it	-0.07210934162139893
88	1349	helps	0.07633936405181885
89	42	that	-0.027254939079284668
90	31	the	0.013472795486450195
91	595	two	-0.039142727851867676
92	11	of	-0.048061490058898926
93	230	them	-0.07397651672363281
94	226	are	0.0024336576461791992
95	919	both	-0.3497840166091919
96	1354	terrific	-0.08819067478179932
97	183	actors	0.2562981843948364
98	18	.	0.05673933029174805
99	2	i	2.441015839576721
100	4	'	0.004532575607299805
101	575	ve	0.07877135276794434
102	1065	seen	0.1340653896331787
103	2964	martin	0.07298409938812256
104	2965	sheen	0.026347875595092773
105	82	in	-0.008063554763793945
106	3267	intense	-0.073433518409729
107	1998	roles	0.15363693237304688
108	604	before	0.35052311420440674
109	14	,	-0.0978926420211792
110	57	but	0.16971826553344727
111	2	i	0.01949465274810791
112	1092	think	-0.04931926727294922
113	70	this	0.027350664138793945
114	41	is	-0.14254307746887207
115	1	<unk>	-0.1069791316986084
116	4	'	0.026821494102478027
117	152	s	-0.06458485126495361
118	44	most	0.06886613368988037
119	3267	intense	-0.07204580307006836
120	1	<unk>	-0.12779569625854492
121	42	that	-0.038831353187561035
122	2	i	0.49933862686157227
123	2166	mostly	-0.03928351402282715
124	3718	recall	0.020137667655944824
125	363	him	-0.12800991535186768
126	376	from	0.020272493362426758
127	31	the	0.0016603469848632812
