sample=178 explainer=permutation target=0 sample_size=128
detokenized_full_text: just can ' t watch this bit too many times , it ' s full of true enthusiasm and <unk> mickey mouse had in his first 30 years . nowadays ' mickey is an smart ass little whiner when compared this . steamboat willie always makes me smile , at least the ending where mickey laughs after hitting a parrot with a <unk> . animation is very nice and although steamboat willie has no dialog , the music is enough for it . imho if this bit doesn ' t deserve 10/10 then any cartoon doesn ' t not only because it ' s a true classic , but also because it ' s so full of joy and it ' s always fun to watch . <pad>
idx	token_id	token_str	shap_value
0	122	just	0.3194509744644165
1	40	can	0.1242837905883789
2	4	'	0.05704641342163086
3	5	t	-0.1838175654411316
4	540	watch	0.023489296436309814
5	70	this	0.10907948017120361
6	382	bit	-0.17364585399627686
7	175	too	0.46042466163635254
8	1615	many	0.1550304889678955
9	335	times	0.24259662628173828
10	14	,	-0.08210557699203491
11	47	it	-0.03267025947570801
12	4	'	0.03441417217254639
13	152	s	-0.0928950309753418
14	245	full	0.1488470435142517
15	11	of	-0.07246017456054688
16	274	true	0.007008373737335205
17	18724	enthusiasm	-0.07714509963989258
18	33	and	-0.19109642505645752
19	1	<unk>	-0.5059689283370972
20	2854	mickey	0.3861714005470276
21	4338	mouse	0.06502636522054672
22	407	had	0.1757570505142212
23	82	in	0.9489233493804932
24	23	his	0.7005039304494858
25	73	first	0.029263436794281006
26	7436	30	0.25857192277908325
27	553	years	-0.3852713108062744
28	18	.	0.36905087530612946
29	735	nowadays	-3.488205134868622
30	4	'	0.3804337605834007
31	2854	mickey	0.31340038776397705
32	41	is	-0.06428021192550659
33	268	an	0.3950943350791931
34	580	smart	-1.0394892692565918
35	4677	ass	0.2629272937774658
36	115	little	-0.25474315881729126
37	11772	whiner	1.6264464184641838
38	700	when	-0.08461534976959229
39	6108	compared	-0.020504117012023926
40	70	this	-0.1281806230545044
41	18	.	0.09900814294815063
42	15910	steamboat	2.015945553779602
43	4037	willie	-0.1212807297706604
44	1606	always	-0.292638897895813
45	445	makes	0.0977429747581482
46	331	me	-0.5538878440856934
47	4775	smile	-1.645615816116333
48	14	,	-0.04673647880554199
49	90	at	-0.16605818271636963
50	464	least	-0.11914896965026855
51	31	the	0.2808997631072998
52	791	ending	0.3450615406036377
53	509	where	-6.5639830231666565
54	2854	mickey	0.33239486813545227
55	2189	laughs	-0.28721868991851807
56	487	after	0.04191005229949951
57	4331	hitting	0.5831231772899628
58	9	a	0.0344395637512207
59	24001	parrot	-0.10688287019729614
60	126	with	0.43540191650390625
61	9	a	0.1626078486442566
62	1	<unk>	-0.44355905055999756
63	18	.	0.07105892896652222
64	61	animation	-0.3237978219985962
65	41	is	-0.06610989570617676
66	67	very	-0.5161765217781067
67	2026	nice	0.35090672969818115
68	33	and	-0.3164258301258087
69	393	although	0.05663561820983887
70	15910	steamboat	-0.03325974941253662
71	4037	willie	-0.256347119808197
72	416	has	-0.14804774522781372
73	127	no	0.23226401209831238
74	465	dialog	0.6242581605911255
75	14	,	-0.0435408353805542
76	31	the	0.12869298458099365
77	1125	music	-0.27572008967399597
78	41	is	-0.21153879165649414
79	645	enough	0.17400646209716797
80	222	for	-0.05853068828582764
81	47	it	-0.06763279438018799
82	18	.	0.033740878105163574
83	10703	imho	4.775721311569214
84	637	if	0.05386382341384888
85	70	this	-0.017000675201416016
86	382	bit	-0.4650285243988037
87	442	doesn	0.15491390228271484
88	4	'	0.10144674777984619
89	5	t	-0.39876890182495117
90	2060	deserve	0.18537449836730957
91	6494	10/10	-0.02508366107940674
92	356	then	0.12321609258651733
93	179	any	0.2752838730812073
94	108	cartoon	0.16755855083465576
95	442	doesn	0.6553127765655518
96	4	'	0.04243600368499756
97	5	t	-0.12639003992080688
98	17	not	0.32167255878448486
99	20	only	0.39334923028945923
100	15	because	-0.14906847476959229
101	47	it	-0.04554104804992676
102	4	'	0.09249264001846313
103	152	s	-2.6552051305770874
104	9	a	0.024931371212005615
105	274	true	0.09561824798583984
106	68	classic	-0.1978856921195984
107	14	,	-0.04902791976928711
108	57	but	0.3598242402076721
109	582	also	-0.3934338092803955
110	15	because	0.3382519781589508
111	47	it	0.013619571924209595
112	4	'	0.34526529163122177
113	152	s	-0.3915799856185913
114	26	so	0.10154378414154053
115	245	full	0.11424887180328369
116	11	of	-0.06057941913604736
117	8290	joy	0.19002917408943176
118	33	and	-0.6021168828010559
119	47	it	-0.06391292810440063
120	4	'	0.036806583404541016
121	152	s	-0.27106571197509766
122	1606	always	-0.13853037357330322
123	2638	fun	-0.1645805835723877
124	7	to	0.14912152290344238
125	540	watch	-0.0009354352951049805
126	18	.	0.062273621559143066
127	0	<pad>	0.0
