sample=15 explainer=permutation target=0 sample_size=128
detokenized_full_text: what can be said about such a pathetic movie ? - very bad acting ! the main actress seems to know only one facial expression fear mixed with weakness . like a poor beaten dog . . . the other actress ( the one who plays the evil ) looks like the female double of ozzy osbourne , with an awful red wig . the other actors are so pitiful that they don ' t even worth being described . - there ' s absolutely no plot . the story begins with possibilities but goes nowhere we don ' t know anything about the meaning of 11 11 , nor who <unk> really is , excepted the simple she ' s evil or she ' s a child
idx	token_id	token_str	shap_value
0	39	what	0.8901066780090332
1	40	can	0.06585657596588135
2	8	be	-0.004327058792114258
3	819	said	-0.3010462522506714
4	80	about	0.06132054328918457
5	559	such	0.7739204168319702
6	9	a	0.2854558229446411
7	4894	pathetic	-0.17858147621154785
8	71	movie	0.08540260791778564
9	199	?	1.4391021728515625
10	379	-	-0.13881397247314453
11	67	very	-2.0273008346557617
12	197	bad	2.1745059490203857
13	579	acting	0.06826925277709961
14	574	!	-0.1635739803314209
15	31	the	0.08204293251037598
16	1119	main	0.011229276657104492
17	1099	actress	0.5379667282104492
18	210	seems	-0.2499176263809204
19	7	to	-0.08848762512207031
20	636	know	0.07652938365936279
21	20	only	0.3199959993362427
22	233	one	-0.00503087043762207
23	2584	facial	-0.45006072521209717
24	12660	expression	0.9736026525497437
25	5403	fear	0.7039804458618164
26	2030	mixed	-3.2391231060028076
27	126	with	0.0769658088684082
28	10967	weakness	-1.1111631393432617
29	18	.	0.024738073348999023
30	103	like	-0.3563401699066162
31	9	a	-0.565593808889389
32	3395	poor	0.1494135856628418
33	6517	beaten	-0.15071356296539307
34	5472	dog	-0.29836320877075195
35	18	.	0.593574047088623
36	18	.	0.07191121578216553
37	18	.	0.06551134586334229
38	31	the	0.34816622734069824
39	476	other	-2.1603998988866806
40	1099	actress	0.7523213624954224
41	236	(	-0.14457035064697266
42	31	the	0.06443870067596436
43	233	one	0.0031527280807495117
44	347	who	0.017915010452270508
45	1454	plays	-0.8981331586837769
46	31	the	0.1013420820236206
47	206	evil	0.19129037857055664
48	254	)	0.14342188835144043
49	433	looks	1.8353482335805893
50	103	like	-0.3808830976486206
51	31	the	0.07444703578948975
52	1097	female	-0.2625240087509155
53	1317	double	0.38105881214141846
54	11	of	-0.24373245239257812
55	6781	ozzy	-2.4325681030750275
56	9276	osbourne	-0.1542830467224121
57	14	,	-0.19293880462646484
58	126	with	0.034621596336364746
59	268	an	0.4261908531188965
60	1465	awful	1.2822383642196655
61	2119	red	-0.09956049919128418
62	7637	wig	5.90361100435257
63	18	.	0.19081354141235352
64	31	the	0.04268527030944824
65	476	other	-0.5795316696166992
66	183	actors	0.5466451644897461
67	226	are	-0.28713035583496094
68	26	so	-0.12318336963653564
69	1591	pitiful	1.7772898375988007
70	42	that	-0.6035465896129608
71	622	they	3.037104845046997
72	1165	don	-0.0036928653717041016
73	4	'	0.2093653678894043
74	5	t	-0.32507455348968506
75	970	even	0.198561429977417
76	314	worth	0.8715143203735352
77	943	being	-0.29144859313964844
78	2781	described	-0.21909379959106445
79	18	.	0.09652447700500488
80	379	-	0.038195282220840454
81	158	there	0.22155094146728516
82	4	'	0.11607146263122559
83	152	s	-2.183495879173279
84	1062	absolutely	-0.2496737241744995
85	127	no	0.05602443218231201
86	1343	plot	0.5849705934524536
87	18	.	1.9622818529605865
88	31	the	0.49170637130737305
89	202	story	-0.3465888500213623
90	1749	begins	-0.37327516078948975
91	126	with	-0.0016965270042419434
92	9724	possibilities	-1.9243099689483643
93	57	but	0.5370084047317505
94	950	goes	-0.45440447330474854
95	1532	nowhere	0.41148829460144043
96	780	we	-0.2563323378562927
97	1165	don	0.06923103332519531
98	4	'	0.2823367118835449
99	5	t	-1.7124551832675934
100	636	know	0.11297488212585449
101	1832	anything	0.6016790866851807
102	80	about	0.07550764083862305
103	31	the	0.07334959506988525
104	4445	meaning	-0.19812583923339844
105	11	of	-0.04346632957458496
106	8358	11	0.017215251922607422
107	8358	11	-0.0016481876373291016
108	14	,	-1.678477168083191
109	3682	nor	-0.49781572818756104
110	347	who	0.028485417366027832
111	1	<unk>	-1.0640347003936768
112	124	really	0.12942099571228027
113	41	is	-0.24336886405944824
114	14	,	-0.2879335880279541
115	27046	excepted	-0.45802175998687744
116	31	the	2.0476627349853516
117	307	simple	-0.5000957250595093
118	450	she	-0.05769801139831543
119	4	'	0.2398824691772461
120	152	s	-0.49770867824554443
121	206	evil	0.37457895278930664
122	131	or	0.09830021858215332
123	450	she	-0.04800844192504883
124	4	'	0.9181760847568512
125	152	s	-0.893885612487793
126	9	a	-0.08670556545257568
127	1577	child	-0.488217830657959
