sample=172 explainer=permutation target=0 sample_size=128
detokenized_full_text: i loved this film because of the dialog and superb acting by <unk> and <unk> . however , i never knew until now , watching a bette david marathon on tnt that this film is a remake of a 1943 bette davis classic called old acquaintance . bette co-stars with <unk> hopkins who she was in a terrible <unk> with during the making of the movie because bette had had an affair with <unk> ' s husband who directed her in a film before they made old acquaintance . anyway , both are worth every minute spent watching . i highly recommend this film if you like a lot of dialog and drama . it ' s a study in the psychology of women and their relationships with
idx	token_id	token_str	shap_value
0	2	i	0.34173017367720604
1	597	loved	-1.020064726471901
2	70	this	-0.11100763082504272
3	63	film	-0.17749539017677307
4	15	because	-0.005640804767608643
5	11	of	-0.011039674282073975
6	31	the	0.48223650455474854
7	465	dialog	0.8294182419776917
8	33	and	-0.3742303252220154
9	1320	superb	-3.450205087661743
10	579	acting	0.09559363126754761
11	167	by	-0.18551939725875854
12	1	<unk>	-0.7293043732643127
13	33	and	-2.150886118412018
14	1	<unk>	-0.41287800669670105
15	18	.	0.22518181800842285
16	156	however	0.04355555772781372
17	14	,	-0.10425984859466553
18	2	i	0.09017825126647949
19	396	never	-0.42142605781555176
20	5888	knew	6.03321897983551
21	372	until	-0.3378187119960785
22	373	now	-2.2572152614593506
23	14	,	-0.25531184673309326
24	333	watching	0.5056136213243008
25	9	a	0.1455153226852417
26	14687	bette	0.17726951837539673
27	2382	david	-0.6415700316429138
28	15152	marathon	0.24247825145721436
29	135	on	-0.663928210735321
30	7181	tnt	-0.45516180992126465
31	42	that	-0.06485909223556519
32	70	this	-0.3958367109298706
33	63	film	-0.2770741581916809
34	41	is	-0.06774309277534485
35	9	a	0.1889062523841858
36	6955	remake	0.4640169143676758
37	11	of	-0.053919848054647446
38	9	a	0.02453458309173584
39	23209	1943	0.1089586615562439
40	14687	bette	0.08231586217880249
41	7664	davis	-0.0625419020652771
42	68	classic	-0.2024482935667038
43	3401	called	0.2562461942434311
44	423	old	-0.09485757350921631
45	19275	acquaintance	0.6132543683052063
46	18	.	-0.16468936204910278
47	14687	bette	0.051853060722351074
48	7638	co-stars	0.13527342677116394
49	126	with	1.0098066218197346
50	1	<unk>	-0.8439162373542786
51	11343	hopkins	0.5763983428478241
52	347	who	0.1412225365638733
53	450	she	0.04006427526473999
54	88	was	0.40358835458755493
55	82	in	-0.123279869556427
56	9	a	0.03880715370178223
57	1835	terrible	1.635920524597168
58	1	<unk>	-0.6801397204399109
59	126	with	1.0790335536003113
60	1188	during	0.1962747573852539
61	31	the	0.1652352213859558
62	628	making	0.3440801799297333
63	11	of	-0.05289915204048157
64	31	the	0.09081375598907471
65	71	movie	0.17953449487686157
66	15	because	-0.3526456952095032
67	14687	bette	0.08709210157394409
68	407	had	0.07709795236587524
69	407	had	0.08577251434326172
70	268	an	0.3511144518852234
71	4546	affair	-0.2294541597366333
72	126	with	0.10186275839805603
73	1	<unk>	-0.2996061146259308
74	4	'	0.05605858564376831
75	152	s	-1.2324786186218262
76	441	husband	0.32157862186431885
77	347	who	0.1546260416507721
78	1842	directed	0.23704642057418823
79	708	her	-0.2868545651435852
80	82	in	-0.06809282302856445
81	9	a	-0.004099518060684204
82	63	film	-1.6132263541221619
83	604	before	0.1810813546180725
84	622	they	0.8099460899829865
85	100	made	0.28417345881462097
86	423	old	0.005187183618545532
87	19275	acquaintance	2.3792439699172974
88	18	.	0.2838138937950134
89	1878	anyway	-0.0972023606300354
90	14	,	-0.07948410511016846
91	919	both	-1.0948638916015625
92	226	are	-0.13383331894874573
93	314	worth	1.054942011833191
94	190	every	-1.3095912337303162
95	772	minute	-2.376573085784912
96	2567	spent	0.3847389817237854
97	333	watching	3.9210715889930725
98	18	.	-0.16287446022033691
99	2	i	0.7060664892196655
100	1632	highly	-0.3793768286705017
101	1880	recommend	-0.2896870970726013
102	70	this	-0.08399954438209534
103	63	film	-0.2803683876991272
104	637	if	0.18761008977890015
105	310	you	-0.15030014514923096
106	103	like	-0.15068411454558372
107	9	a	-0.0048067569732666016
108	46	lot	-0.6214914917945862
109	11	of	-0.10422778129577637
110	465	dialog	0.6780010461807251
111	33	and	-0.4078155755996704
112	695	drama	0.18093818426132202
113	18	.	-0.1896257996559143
114	47	it	-0.14260053634643555
115	4	'	0.1697942614555359
116	152	s	-0.5766498446464539
117	9	a	0.05708634853363037
118	1975	study	0.21073365211486816
119	82	in	-1.2540287859737873
120	31	the	0.5490122437477112
121	7384	psychology	-0.315782368183136
122	11	of	0.0365833044052124
123	1234	women	0.2177717387676239
124	33	and	-0.3947041630744934
125	837	their	-0.6863306015729904
126	1626	relationships	-0.5051528215408325
127	126	with	0.11041289567947388
