sample=6 explainer=permutation target=0 sample_size=128
detokenized_full_text: so , you wanna be a rock star ? see this movie . you don ' t like rock , you say ? or you ' re really into heavy metal ? then put on your favorite album and dream yourself away , this movie has nothing to offer . rarely have i ever seen a movie being able to portrait the dream of being in a rock band as good as this . i had long hair during the late 1980 ' s and early nineties , and i have played guitar for the last 15 years or so . did i like rock star ? oh yes . the music is good , not great , the actors are good , and believable , even jennifer
idx	token_id	token_str	shap_value
0	26	so	0.014056801795959473
1	14	,	-0.11912497878074646
2	310	you	-0.3697873540222645
3	2288	wanna	1.35465207695961
4	8	be	2.454874724149704
5	9	a	0.1219557374715805
6	2405	rock	0.23354161530733109
7	1429	star	-0.042379677295684814
8	199	?	0.7342115789651871
9	321	see	-0.4365406632423401
10	70	this	-0.23056170344352722
11	71	movie	0.005709528923034668
12	18	.	0.7344663143157959
13	310	you	-0.4293782711029053
14	1165	don	0.1502324938774109
15	4	'	0.4017758369445801
16	5	t	-0.3526204824447632
17	103	like	-0.36131754517555237
18	2405	rock	0.03671419620513916
19	14	,	-0.08968687057495117
20	310	you	-0.29576562345027924
21	79	say	-0.693437285721302
22	199	?	5.156943917274475
23	131	or	0.40832391381263733
24	310	you	-0.2387421727180481
25	4	'	0.23606416583061218
26	741	re	-0.08190131187438965
27	124	really	5.091190338134766
28	368	into	-0.35023173689842224
29	1638	heavy	-6.503486335277557
30	6765	metal	0.3960525393486023
31	199	?	1.7683696746826172
32	356	then	0.0819428525865078
33	358	put	0.10466703772544861
34	135	on	-0.32024090737104416
35	303	your	0.6928489841520786
36	521	favorite	-1.5712600350379944
37	8124	album	-0.49121810123324394
38	33	and	-0.2994851917028427
39	8355	dream	0.6012716293334961
40	2292	yourself	0.423285860568285
41	486	away	0.7079063355922699
42	14	,	-0.3488875925540924
43	70	this	-2.5120198130607605
44	71	movie	0.03110918402671814
45	416	has	-0.29788853228092194
46	207	nothing	1.1799615323543549
47	7	to	0.14072930812835693
48	2170	offer	-1.3652905821800232
49	18	.	0.10021284222602844
50	1064	rarely	1.07556813955307
51	19	have	0.19544261693954468
52	2	i	0.08031749725341797
53	1394	ever	0.032876886427402496
54	1065	seen	0.42830491065979004
55	9	a	-0.4061817526817322
56	71	movie	-0.05961906909942627
57	943	being	-0.22889269888401031
58	561	able	-0.4522414803504944
59	7	to	0.04096627235412598
60	10395	portrait	0.5018489807844162
61	31	the	0.2129807472229004
62	8355	dream	0.9525545239448547
63	11	of	-0.00772065669298172
64	943	being	-0.3877614550292492
65	82	in	-0.02745215594768524
66	9	a	0.11080974340438843
67	2405	rock	0.18408124893903732
68	3087	band	-1.2618433386087418
69	145	as	-0.21128356456756592
70	204	good	-0.013165637850761414
71	145	as	-0.3477938696742058
72	70	this	-0.43727415800094604
73	18	.	0.10334040224552155
74	2	i	-0.0038562119007110596
75	407	had	-0.143599271774292
76	766	long	0.08940032124519348
77	3845	hair	-0.6157828569412231
78	1188	during	0.15650880336761475
79	31	the	0.1516622081398964
80	848	late	-1.2132811397314072
81	1585	1980	-0.7458077669143677
82	4	'	0.05951964855194092
83	152	s	-1.1609827727079391
84	33	and	-0.3583635091781616
85	2421	early	0.5354361534118652
86	10971	nineties	0.7750757932662964
87	14	,	-0.1426943726837635
88	33	and	-0.3797706365585327
89	2	i	0.5270596742630005
90	19	have	0.13967502117156982
91	2188	played	-0.4340578317642212
92	7210	guitar	-0.20402151346206665
93	222	for	-0.10481575131416321
94	31	the	0.13493745028972626
95	767	last	0.2371315360069275
96	3471	15	0.49156028032302856
97	553	years	-0.2704883813858032
98	131	or	0.4821397066116333
99	26	so	-0.12914423644542694
100	18	.	0.10156857967376709
101	154	did	0.13777247071266174
102	2	i	0.08144336938858032
103	103	like	-0.4272312670946121
104	2405	rock	0.22077786922454834
105	1429	star	-0.23244047164916992
106	199	?	0.7115290835499763
107	703	oh	0.09424912929534912
108	200	yes	0.0842752456665039
109	18	.	0.15046948194503784
110	31	the	0.04900991916656494
111	1125	music	-0.4786590486764908
112	41	is	-0.12087973952293396
113	204	good	0.14149200916290283
114	14	,	-0.19028999656438828
115	17	not	0.6816125512123108
116	165	great	-0.36339473724365234
117	14	,	-0.1180570125579834
118	31	the	0.15085843205451965
119	183	actors	0.9834775030612946
120	226	are	-0.33041541278362274
121	204	good	0.12738806009292603
122	14	,	-0.16383683681488037
123	33	and	-0.3580404706299305
124	1376	believable	-0.5910165309906006
125	14	,	-0.18503257632255554
126	970	even	0.6834230422973633
127	6185	jennifer	-2.496349573135376
