sample=91 explainer=permutation target=0 sample_size=128
detokenized_full_text: it is hard to believe that anyone could take such a great book and and make such a terrible movie . imagine king kong being <unk> as an organ <unk> ' s monkey and fay wray ' s part being played by a young boy . how about elton john as rambo ! ! ! ! . this movie is even worse than the tv remake of the night of the hunter . by using the title watchers and dean koontz ' s name the makers of this movie should be sued for fraud by readers of the book who expected a reasonably accurate adaptation of the book . read the book , i have never talked to anyone who didn ' t like it . another good
idx	token_id	token_str	shap_value
0	47	it	-0.02404022216796875
1	41	is	-0.27539201080799103
2	644	hard	-0.07396703958511353
3	7	to	-0.0022823363542556763
4	443	believe	0.48770933598279953
5	42	that	-0.20806463062763214
6	220	anyone	1.2289961874485016
7	631	could	0.5571153461933136
8	733	take	-0.4701750874519348
9	559	such	1.4429150521755219
10	9	a	0.14546114206314087
11	165	great	-0.8271902501583099
12	2029	book	-0.2999257445335388
13	33	and	-0.5565233826637268
14	33	and	-0.5769980847835541
15	935	make	0.901949979364872
16	559	such	3.6999413818120956
17	9	a	-0.026728034019470215
18	1835	terrible	1.0815042555332184
19	71	movie	0.1441289335489273
20	18	.	0.1397191733121872
21	1897	imagine	1.0353572368621826
22	2312	king	0.0918150469660759
23	1413	kong	0.13223975896835327
24	943	being	-0.2167498618364334
25	1	<unk>	-0.6736637353897095
26	145	as	-0.37785951793193817
27	268	an	0.4176905006170273
28	20666	organ	-1.3965350687503815
29	1	<unk>	-0.706616997718811
30	4	'	0.4177480600774288
31	152	s	-1.0540796667337418
32	3098	monkey	4.244580715894699
33	33	and	-0.3826116994023323
34	1496	fay	-0.4792814403772354
35	1497	wray	-2.587254200130701
36	4	'	0.2566860318183899
37	152	s	-0.7135890424251556
38	342	part	0.7685961425304413
39	943	being	-0.26866695284843445
40	2188	played	-0.5980847030878067
41	167	by	-0.9404641389846802
42	9	a	0.06389975547790527
43	2255	young	-0.01980862021446228
44	2483	boy	-0.3506850004196167
45	18	.	0.26971936225891113
46	91	how	-0.5379738211631775
47	80	about	0.119940847158432
48	21967	elton	-1.7906737625598907
49	889	john	-0.558464765548706
50	145	as	-0.4500418044626713
51	4535	rambo	-0.22389551997184753
52	574	!	-0.08758115768432617
53	574	!	0.23897263780236244
54	574	!	-0.07884107530117035
55	574	!	2.9806841015815735
56	18	.	0.2634131908416748
57	70	this	-1.234906941652298
58	71	movie	0.03997509181499481
59	41	is	-0.9113845825195312
60	970	even	0.46870385482907295
61	1180	worse	1.5796577967703342
62	107	than	-0.011363387107849121
63	31	the	0.17525377869606018
64	387	tv	-3.3090773820877075
65	6955	remake	0.4513127766549587
66	11	of	-0.021727561950683594
67	31	the	0.41989439725875854
68	449	night	0.7533058673143387
69	11	of	0.0463031530380249
70	31	the	0.19961604475975037
71	4726	hunter	0.2433018684387207
72	18	.	0.200078547000885
73	167	by	-0.21929320693016052
74	2573	using	0.1381896734237671
75	31	the	0.12028026580810547
76	1844	title	-0.05542227625846863
77	8028	watchers	-0.3297816850244999
78	33	and	-0.913728266954422
79	9341	dean	0.39671623706817627
80	17765	koontz	-0.5561386570334435
81	4	'	0.5886810980737209
82	152	s	-1.0031825006008148
83	2794	name	0.8978945650160313
84	31	the	0.10834233462810516
85	792	makers	0.6520981229841709
86	11	of	0.01730455458164215
87	70	this	-0.3507232069969177
88	71	movie	0.06716373562812805
89	247	should	0.0468483567237854
90	8	be	-0.3497091233730316
91	16688	sued	-0.23828086256980896
92	222	for	-0.3417590409517288
93	13683	fraud	2.3356723338365555
94	167	by	-0.17193284630775452
95	6363	readers	-0.0036719441413879395
96	11	of	0.020264863967895508
97	31	the	0.16421672701835632
98	2029	book	-0.26790955662727356
99	347	who	-0.001298263669013977
100	2422	expected	-0.497458279132843
101	9	a	0.08770400285720825
102	2128	reasonably	0.7782968431711197
103	6607	accurate	-0.2752893567085266
104	2032	adaptation	-0.6952767968177795
105	11	of	-0.032999008893966675
106	31	the	0.2884792238473892
107	2029	book	-0.2560979127883911
108	18	.	0.1787499189376831
109	2028	read	-0.8339338265359402
110	31	the	0.1209246963262558
111	2029	book	-0.4160596430301666
112	14	,	-0.29404059052467346
113	2	i	-0.3681279122829437
114	19	have	1.0924405753612518
115	396	never	-0.592181071639061
116	8353	talked	0.7926463931798935
117	7	to	-0.8880706578493118
118	220	anyone	0.1803652048110962
119	347	who	0.07105101644992828
120	770	didn	-0.0056753456592559814
121	4	'	0.45702728629112244
122	5	t	-1.024227261543274
123	103	like	-0.4641371816396713
124	47	it	-0.032082945108413696
125	18	.	0.4208989143371582
126	1134	another	-0.0898876041173935
127	204	good	-0.06380265206098557
