sample=155 explainer=permutation target=0 sample_size=128
detokenized_full_text: my only problem with the curse of the <unk> is that the movie does not take the time to properly introduce wallace and gromit to those not familiar with park ' s short films . strangely , a close shave manages to do this with a lot less time to spare . still , i loved seeing the boys back in action and loved all the new characters , human and otherwise . i especially loved ralph fiennes voice as the scheming victor <unk> . it is also interesting to see the series on the large screen . the workmanship with the clay characters really stands out . it ' s a hoot , and great for the whole family ! i buy very few dvds but i
idx	token_id	token_str	shap_value
0	83	my	-0.5057250261306763
1	20	only	0.3484562039375305
2	330	problem	0.3016033172607422
3	126	with	0.13418422639369965
4	31	the	-0.05220508575439453
5	2999	curse	-0.5764201581478119
6	11	of	-0.24557368457317352
7	31	the	0.034371912479400635
8	1	<unk>	-0.7583352327346802
9	41	is	-3.453896701335907
10	42	that	-0.11637749895453453
11	31	the	0.060680508613586426
12	71	movie	0.09322988986968994
13	1073	does	-0.19178587198257446
14	17	not	0.6481220871210098
15	733	take	-0.24002254009246826
16	31	the	0.03596341609954834
17	552	time	-1.7066079378128052
18	7	to	2.1453813314437866
19	5030	properly	1.5482953190803528
20	2908	introduce	-0.45804476737976074
21	867	wallace	0.2509646415710449
22	33	and	-0.6614407524466515
23	12561	gromit	0.020772695541381836
24	7	to	-0.07205280661582947
25	977	those	-0.2582036256790161
26	17	not	0.27170199155807495
27	4354	familiar	0.4116175174713135
28	126	with	0.19220298528671265
29	3904	park	-0.11032485961914062
30	4	'	0.11441212892532349
31	152	s	-0.45519375801086426
32	507	short	-0.1551249623298645
33	25	films	0.5594710409641266
34	18	.	0.047652244567871094
35	1120	strangely	0.38138534501194954
36	14	,	-0.12357056140899658
37	9	a	0.08298072218894958
38	1225	close	0.5994436740875244
39	14751	shave	-0.09603250026702881
40	1130	manages	-0.10336875915527344
41	7	to	0.2389003485441208
42	76	do	0.8334298729896545
43	70	this	-0.04002392292022705
44	126	with	0.15205323696136475
45	9	a	0.051621198654174805
46	46	lot	-0.5166841894388199
47	609	less	0.5054407119750977
48	552	time	-0.20017564296722412
49	7	to	0.5358478277921677
50	14407	spare	-0.22054040431976318
51	18	.	0.0912398099899292
52	685	still	0.2179403305053711
53	14	,	-0.11913639307022095
54	2	i	0.12354519963264465
55	597	loved	-0.18228232860565186
56	1607	seeing	0.3183247558772564
57	31	the	0.04532963037490845
58	2506	boys	0.22568023204803467
59	371	back	0.21794307231903076
60	82	in	-0.024018868803977966
61	137	action	-0.32724351808428764
62	33	and	-0.2068803310394287
63	597	loved	-0.34590858221054077
64	544	all	0.10710924863815308
65	31	the	-0.054957807064056396
66	615	new	-0.3742355704307556
67	93	characters	0.24032139778137207
68	14	,	-0.1312379240989685
69	1217	human	0.2188759446144104
70	33	and	-0.5225347280502319
71	1861	otherwise	-1.23696631193161
72	18	.	0.056339263916015625
73	2	i	0.1509627103805542
74	117	especially	0.4600484073162079
75	597	loved	-0.35466644167900085
76	12	ralph	-0.4893311858177185
77	24647	fiennes	-0.18378454446792603
78	182	voice	1.3154478073120117
79	145	as	-0.6067653596401215
80	31	the	0.013315558433532715
81	10490	scheming	-0.4047548770904541
82	846	victor	-0.23458492755889893
83	1	<unk>	-0.5110691785812378
84	18	.	0.16862213611602783
85	47	it	0.033600568771362305
86	41	is	-0.2567288279533386
87	582	also	-0.37665796279907227
88	1112	interesting	0.08978402614593506
89	7	to	-0.0062043070793151855
90	321	see	-0.775782585144043
91	31	the	0.01560288667678833
92	2197	series	-0.6796039342880249
93	135	on	-0.01838827133178711
94	31	the	0.04691725969314575
95	1734	large	1.1196207106113434
96	3252	screen	-0.5623635947704315
97	18	.	0.24302637577056885
98	31	the	0.04617321491241455
99	15808	workmanship	0.017842482775449753
100	126	with	0.3011981211602688
101	31	the	0.03683936595916748
102	10466	clay	-0.5352991968393326
103	93	characters	0.5800430774688721
104	124	really	0.24827849864959717
105	6355	stands	-0.29678046703338623
106	258	out	1.399486780166626
107	18	.	0.12545454502105713
108	47	it	0.3454611301422119
109	4	'	0.12262499332427979
110	152	s	-0.30454522371292114
111	9	a	0.14548423886299133
112	13129	hoot	1.312280535697937
113	14	,	-0.11239326000213623
114	33	and	-0.31047046184539795
115	165	great	-0.24177753925323486
116	222	for	-0.07860026508569717
117	31	the	0.23106282949447632
118	259	whole	0.6672403216362
119	319	family	0.0706171989440918
120	574	!	0.0863720178604126
121	2	i	0.3006085157394409
122	1411	buy	-0.29359668493270874
123	67	very	-3.318804085254669
124	497	few	0.12928348779678345
125	7503	dvds	-0.14223110675811768
126	57	but	0.310482382774353
127	2	i	0.11291170120239258
