sample=170 explainer=permutation target=0 sample_size=128
detokenized_full_text: my girlfriend and i saw this movie when it was originally released . the controversy that surrounded the original release ( teen nudity , physical intimacy and unwed pregnancy ) were subjects that never touched our view of the film . we were close to the same age as paul and michelle and were experiencing many of the same intense and confusing emotions . we were too young to get caught up in the simplistic ( at times ) acting and the corny ( at times ) emotional twists . this movie spoke to us in a way that an adult love story never could have . i still remember sitting in the movie theater with my girlfriend and holding her hand while she cried during the tragic
idx	token_id	token_str	shap_value
0	83	my	-0.1534973345696926
1	876	girlfriend	-0.491982638835907
2	33	and	-0.22495891526341438
3	2	i	0.047944724559783936
4	554	saw	0.06045341491699219
5	70	this	-0.17468595504760742
6	71	movie	0.034544676542282104
7	700	when	0.05726969242095947
8	47	it	0.8541978597640991
9	88	was	0.40044617652893066
10	2268	originally	-0.496609091758728
11	408	released	3.20416522026062
12	18	.	0.00802922248840332
13	31	the	0.06153297424316406
14	19250	controversy	0.08038479089736938
15	42	that	-0.049291372299194336
16	5415	surrounded	0.40666714310646057
17	31	the	0.09358769655227661
18	208	original	-0.12589684128761292
19	1228	release	0.04288005828857422
20	236	(	0.32975077629089355
21	1144	teen	0.3728094696998596
22	2784	nudity	0.04177422821521759
23	14	,	-0.14536798000335693
24	1852	physical	0.38021233677864075
25	13922	intimacy	0.1992260217666626
26	33	and	-0.711621105670929
27	20035	unwed	0.9981171190738678
28	17343	pregnancy	-0.05916503071784973
29	254	)	0.20421233773231506
30	94	were	-0.13678765296936035
31	5331	subjects	0.0709986686706543
32	42	that	-0.07557415962219238
33	396	never	-0.1674565076828003
34	11900	touched	-0.13287140429019928
35	2767	our	0.20439478754997253
36	2865	view	1.1931432485580444
37	11	of	-0.03141909837722778
38	31	the	0.13159722089767456
39	63	film	-0.17932283878326416
40	18	.	0.0815017819404602
41	780	we	-0.0805063247680664
42	94	were	-0.13208986818790436
43	1225	close	0.8564049601554871
44	7	to	0.08374679088592529
45	31	the	0.07265964150428772
46	686	same	0.544722318649292
47	3085	age	0.49578338861465454
48	145	as	-0.210163414478302
49	2771	paul	0.2810252904891968
50	33	and	-0.228190615773201
51	2966	michelle	-4.112067461013794
52	33	and	-0.2439936250448227
53	94	were	-0.14318358898162842
54	9936	experiencing	0.1486850082874298
55	1615	many	0.25766611099243164
56	11	of	0.008440971374511719
57	31	the	0.11035442352294922
58	686	same	0.7503673732280731
59	3267	intense	-5.0279417634010315
60	33	and	-0.21388530731201172
61	5054	confusing	0.0029090046882629395
62	3173	emotions	-0.16508018970489502
63	18	.	0.03140312433242798
64	780	we	-0.11266350746154785
65	94	were	-0.11241894960403442
66	175	too	0.45039017125964165
67	2255	young	0.05485329031944275
68	7	to	0.08854269981384277
69	114	get	-0.08532297611236572
70	4639	caught	-0.015274763107299805
71	195	up	0.4143558740615845
72	82	in	-0.012328162789344788
73	31	the	0.04821139574050903
74	1952	simplistic	0.08964626491069794
75	236	(	-0.08295053243637085
76	90	at	-0.19024264812469482
77	335	times	-0.07695925235748291
78	254	)	0.33384788036346436
79	579	acting	0.057691335678100586
80	33	and	-0.25490522384643555
81	31	the	0.06224799156188965
82	4527	corny	-0.32614243030548096
83	236	(	-0.1455380916595459
84	90	at	-0.21490693092346191
85	335	times	-0.08009671792387962
86	254	)	0.1970471441745758
87	3461	emotional	-0.32806605473160744
88	1336	twists	-0.7740169167518616
89	18	.	0.0518619678914547
90	70	this	-0.16813302040100098
91	71	movie	0.0909726619720459
92	20317	spoke	-0.08436496555805206
93	7	to	0.06360523402690887
94	611	us	1.4728688597679138
95	82	in	-0.01826578378677368
96	9	a	0.07263922691345215
97	1088	way	0.1696571558713913
98	42	that	-1.5595532171428204
99	268	an	0.2050325870513916
100	332	adult	0.33337855339050293
101	820	love	-1.708955455571413
102	202	story	-0.26325392723083496
103	396	never	-0.20355531573295593
104	631	could	0.16707874834537506
105	19	have	0.40567219257354736
106	18	.	0.08809912204742432
107	2	i	0.060811370611190796
108	685	still	-0.4136645793914795
109	1985	remember	-0.061019863933324814
110	2670	sitting	0.3575025796890259
111	82	in	-0.04379132390022278
112	31	the	0.0798259973526001
113	71	movie	0.07351276278495789
114	3186	theater	-0.20528870820999146
115	126	with	-0.4279071092605591
116	83	my	-0.24079126119613647
117	876	girlfriend	-0.505617544054985
118	33	and	-0.2745426893234253
119	2989	holding	-0.21312540769577026
120	708	her	-0.015583783388137817
121	1300	hand	-0.3522791862487793
122	1353	while	0.40080463886260986
123	450	she	0.07817134261131287
124	8986	cried	-0.01631152629852295
125	1188	during	0.6728353500366211
126	31	the	0.04847202077507973
127	3721	tragic	1.5483100414276123
