sample=50 explainer=permutation target=0 sample_size=128
detokenized_full_text: this picture is an interesting saga of the struggle of pioneers led by daniel <unk> in the wilderness of <unk> gap while being threatened by hostile indians . a treacherous frenchman is the cause of all the trouble between the <unk> and the red men while <unk> tries to convince the indians that the pioneers only want to build homes and live in peace . the film has a certain appeal because it is not a polished production but there are good action scenes , although somewhat violent for its time . the cast is comprised of b actors but they are all good , especially <unk> <unk> as the indian chief . bruce <unk> is okay as <unk> but is a bit too clean cut and soft
idx	token_id	token_str	shap_value
0	70	this	-0.3127557635307312
1	495	picture	-0.2053617238998413
2	41	is	-0.16276764869689941
3	268	an	0.14335691928863525
4	1112	interesting	0.3207501173019409
5	7081	saga	-0.4469625651836395
6	11	of	-0.06532204151153564
7	31	the	0.10267466306686401
8	2056	struggle	0.4888710677623749
9	11	of	0.14559468626976013
10	16857	pioneers	-0.31757164001464844
11	2438	led	0.2795352339744568
12	167	by	-0.15785491466522217
13	8039	daniel	-0.1627545952796936
14	1	<unk>	-1.509927213191986
15	82	in	-0.06543922424316406
16	31	the	0.016498327255249023
17	19226	wilderness	5.344227433204651
18	11	of	-0.0681757926940918
19	1	<unk>	-0.34123122692108154
20	12475	gap	0.27241504192352295
21	1353	while	0.3986824154853821
22	943	being	-0.04593783617019653
23	17356	threatened	0.13316285610198975
24	167	by	-0.19180607795715332
25	6521	hostile	3.2722218483686447
26	6441	indians	-0.28113603591918945
27	18	.	0.15102481842041016
28	9	a	0.047899484634399414
29	17497	treacherous	0.2964792251586914
30	22987	frenchman	-0.1913367509841919
31	41	is	-0.14239495992660522
32	31	the	0.235874205827713
33	680	cause	-0.07474756240844727
34	11	of	0.06812411546707153
35	544	all	0.03470635414123535
36	31	the	0.043890416622161865
37	2088	trouble	0.21937811374664307
38	790	between	-0.8638445287942886
39	31	the	0.00915515422821045
40	1	<unk>	-0.5651131868362427
41	33	and	0.012542080134153366
42	31	the	0.12590444087982178
43	2119	red	0.17495352029800415
44	833	men	-0.14362674951553345
45	1353	while	0.32291102409362793
46	1	<unk>	-1.2448986768722534
47	2244	tries	0.8714017868041992
48	7	to	-0.008526921272277832
49	2406	convince	1.027603268623352
50	31	the	-0.8417015075683594
51	6441	indians	-0.07204270362854004
52	42	that	-0.5554080009460449
53	31	the	0.061046719551086426
54	16857	pioneers	-0.4381098747253418
55	20	only	0.745974600315094
56	602	want	-0.30740946531295776
57	7	to	0.10336542129516602
58	668	build	-0.29479408264160156
59	9809	homes	-0.24761182069778442
60	33	and	-0.19793809950351715
61	148	live	0.45618438720703125
62	82	in	-0.04519319534301758
63	13396	peace	-0.28292812034487724
64	18	.	0.13336855173110962
65	31	the	0.053182363510131836
66	63	film	0.2622096687555313
67	416	has	-0.16482257843017578
68	9	a	-0.0016016960144042969
69	5177	certain	-0.0210874080657959
70	5115	appeal	0.4776676893234253
71	15	because	-0.07608234882354736
72	47	it	0.026246070861816406
73	41	is	-0.12872576713562012
74	17	not	0.30387288331985474
75	9	a	-0.2993342876434326
76	8225	polished	-0.10529041290283203
77	692	production	-0.14578092098236084
78	57	but	0.33240944147109985
79	158	there	0.24083352088928223
80	226	are	-0.18405628204345703
81	204	good	-0.030041933059692383
82	137	action	-0.14640843868255615
83	121	scenes	1.4677865356206894
84	14	,	-0.151381254196167
85	393	although	0.11236238479614258
86	747	somewhat	-0.5965907573699951
87	2576	violent	0.5785055160522461
88	222	for	-0.08545079827308655
89	282	its	-0.25222229957580566
90	552	time	-1.2003455013036728
91	18	.	0.4209781289100647
92	31	the	2.1294041872024536
93	181	cast	-0.1319316029548645
94	41	is	-0.15306496620178223
95	2402	comprised	-1.2674617767333984
96	11	of	-0.04187309741973877
97	1109	b	0.8523679971694946
98	183	actors	0.28943634033203125
99	57	but	0.38988780975341797
100	622	they	0.5747113227844238
101	226	are	-0.11464762687683105
102	544	all	0.056798458099365234
103	204	good	0.14559733867645264
104	14	,	-1.40747731924057
105	117	especially	1.2380116432905197
106	1	<unk>	-6.566346105188131
107	1	<unk>	-0.3319047689437866
108	145	as	-0.20040363073349
109	31	the	0.027204036712646484
110	8494	indian	0.30625832080841064
111	956	chief	-1.3689312934875488
112	18	.	0.21019268035888672
113	3954	bruce	-0.1788311004638672
114	1	<unk>	-0.3767513036727905
115	41	is	-0.13840597867965698
116	3317	okay	0.45274078845977783
117	145	as	-0.13460791110992432
118	1	<unk>	-0.4877638816833496
119	57	but	0.6838585138320923
120	41	is	-0.45623040199279785
121	9	a	0.2307543158531189
122	382	bit	-0.36355626583099365
123	175	too	1.1683496236801147
124	7504	clean	-0.16343164443969727
125	251	cut	-0.2535977363586426
126	33	and	-0.6688873171806335
127	5803	soft	-0.38266684487462044
