sample=235 explainer=permutation target=0 sample_size=128
detokenized_full_text: savage guns ( video title ) is a dirt cheap , bottom of the barrel spaghetti western in which the survivor of a massacre <unk> the bandits who killed his brother and left him for dead , catching up with them in a town controlled by their crooked boss . despite plenty of violence , this manages to be both dull and colorless with bad characterizations and almost no imagination or humor . lead actor robert woods lives up to his name with a wooden and uncharismatic performance that fails to generate any warmth or sympathy whatsoever . in other words , the viewer never really roots for him despite the fact that he ' s the protagonist . the worst scene ( in my opinion ) is
idx	token_id	token_str	shap_value
0	4148	savage	0.4892301559448242
1	7577	guns	1.4258722364902496
2	236	(	-0.13194549083709717
3	1619	video	0.8821519613265991
4	1844	title	0.163904070854187
5	254	)	0.6831372678279877
6	41	is	-0.16973459720611572
7	9	a	0.28013575077056885
8	1810	dirt	0.8669968843460083
9	1726	cheap	0.8787598609924316
10	14	,	-0.08401894569396973
11	481	bottom	0.5115777254104614
12	11	of	-0.004583120346069336
13	31	the	0.13384419679641724
14	11793	barrel	-0.25113940238952637
15	11187	spaghetti	-0.06310164928436279
16	2111	western	0.8105401992797852
17	82	in	-0.1007012128829956
18	209	which	0.19885647296905518
19	31	the	0.13804912567138672
20	4262	survivor	-0.03102099895477295
21	11	of	-0.09622776508331299
22	9	a	0.4599534869194031
23	7712	massacre	0.15771830081939697
24	1	<unk>	-0.4141899347305298
25	31	the	0.1080859899520874
26	10144	bandits	-2.2263367772102356
27	347	who	0.010456085205078125
28	952	killed	1.2967677116394043
29	23	his	0.218575119972229
30	1434	brother	0.534616231918335
31	33	and	-0.3213599920272827
32	797	left	-0.11103594303131104
33	363	him	-0.3574182987213135
34	222	for	-0.13358938694000244
35	1002	dead	4.619445621967316
36	14	,	-0.0872182846069336
37	17834	catching	0.12840509414672852
38	195	up	1.7273457050323486
39	126	with	0.10496091842651367
40	230	them	-0.10135793685913086
41	82	in	-0.14422070980072021
42	9	a	-0.045210957527160645
43	3355	town	-0.6493239402770996
44	16327	controlled	0.06313014030456543
45	167	by	-0.15046679973602295
46	837	their	-0.39216578006744385
47	2626	crooked	2.1553258895874023
48	3863	boss	-0.34991300106048584
49	18	.	0.01742994785308838
50	1106	despite	0.7967604994773865
51	720	plenty	-0.08990144729614258
52	11	of	-0.0839700698852539
53	1853	violence	-0.31876206398010254
54	14	,	-0.14122307300567627
55	70	this	-0.43972867727279663
56	1130	manages	-0.6115131974220276
57	7	to	0.014074921607971191
58	8	be	0.3764529228210449
59	919	both	-0.3376898765563965
60	1925	dull	-0.03348946571350098
61	33	and	-0.45046281814575195
62	27505	colorless	-0.4836106300354004
63	126	with	0.13563990592956543
64	197	bad	0.6501507759094238
65	6557	characterizations	-0.26160717010498047
66	33	and	-0.45826196670532227
67	961	almost	-0.1724168062210083
68	127	no	0.20852649211883545
69	1763	imagination	-3.07653546333313
70	131	or	0.27396631240844727
71	1636	humor	-0.43547093868255615
72	18	.	0.08493351936340332
73	1098	lead	0.002978682518005371
74	560	actor	0.8536254167556763
75	1700	robert	0.10571110248565674
76	2690	woods	0.15290522575378418
77	3789	lives	-0.08424520492553711
78	195	up	4.469244718551636
79	7	to	0.0027670860290527344
80	23	his	0.2607663869857788
81	2794	name	0.37890660762786865
82	126	with	0.10376214981079102
83	9	a	0.024902820587158203
84	3213	wooden	0.9389016628265381
85	33	and	-5.155121266841888
86	12506	uncharismatic	0.25159645080566406
87	187	performance	-0.6958746910095215
88	42	that	-0.6326532363891602
89	2489	fails	0.6921470165252686
90	7	to	0.0012807846069335938
91	3032	generate	0.052736520767211914
92	179	any	0.3865758180618286
93	10362	warmth	-0.47885334491729736
94	131	or	0.14918959140777588
95	3236	sympathy	-0.38521528244018555
96	1435	whatsoever	0.1583700180053711
97	18	.	0.08621251583099365
98	82	in	-0.12092947959899902
99	476	other	-0.2095257043838501
100	1466	words	0.06566500663757324
101	14	,	-0.07735860347747803
102	31	the	0.3185051679611206
103	1956	viewer	-0.36064600944519043
104	396	never	-0.4552786350250244
105	124	really	0.3376988172531128
106	10397	roots	-0.2528045177459717
107	222	for	-0.13309359550476074
108	363	him	-0.3560206890106201
109	1106	despite	0.5363529920578003
110	31	the	0.1997615098953247
111	255	fact	-0.22835838794708252
112	42	that	-3.782589852809906
113	370	he	-0.5254837572574615
114	4	'	0.4377678632736206
115	152	s	-1.0994933247566223
116	31	the	0.13860571384429932
117	2469	protagonist	-0.5458285510540009
118	18	.	0.748542845249176
119	31	the	0.1122274398803711
120	982	worst	0.5502314567565918
121	588	scene	0.07000696659088135
122	236	(	-0.15263664722442627
123	82	in	-0.7622924447059631
124	83	my	-0.5100361108779907
125	84	opinion	-0.10010135173797607
126	254	)	0.13904809951782227
127	41	is	0.7284941673278809
