sample=121 explainer=permutation target=0 sample_size=128
detokenized_full_text: despite having a very pretty leading lady ( <unk> <unk> , one of my <unk> ) , the acting and the direction are examples of what not to do while making a movie . placed in southern mexico , <unk> , the <unk> mummy ( real aztecs , by the way , did not made mummies ) has been <unk> up by the lead characters and starts making trouble in mexico city suburbia , during the first movie ( the <unk> mummy ) . in this second part , the leading man and woman want to find th mummy and put it in its final resting place ( a fireplace would have been my first choice . . . ) into this appears the bat , a criminal
idx	token_id	token_str	shap_value
0	1106	despite	0.40175938606262207
1	874	having	0.15922874212265015
2	9	a	0.06990623474121094
3	67	very	-1.647933840751648
4	513	pretty	0.2943829298019409
5	3998	leading	0.7027715444564819
6	2306	lady	-1.351977527141571
7	236	(	-0.3224859833717346
8	1	<unk>	-0.8536515533924103
9	1	<unk>	-0.4898940324783325
10	14	,	-0.2833675853908062
11	233	one	-0.050201207399368286
12	11	of	0.040526747703552246
13	83	my	-0.34070920944213867
14	1	<unk>	-0.3685036897659302
15	254	)	0.2242133617401123
16	14	,	-0.25171709060668945
17	31	the	0.19727793335914612
18	579	acting	0.06903886795043945
19	33	and	-0.28085434436798096
20	31	the	0.06119018793106079
21	525	direction	0.407281756401062
22	226	are	-0.25647950172424316
23	7348	examples	-0.7889302968978882
24	11	of	0.0096055269241333
25	39	what	0.12495803833007812
26	17	not	0.42717474699020386
27	7	to	-0.022216767072677612
28	76	do	0.39896655082702637
29	1353	while	8.079464539885521
30	628	making	0.8610576689243317
31	9	a	0.14167261123657227
32	71	movie	0.16696659103035927
33	18	.	0.14572611451148987
34	6453	placed	1.038119912147522
35	82	in	-0.12492501735687256
36	5800	southern	-0.4443759024143219
37	3869	mexico	-0.12247061729431152
38	14	,	-0.2659391164779663
39	1	<unk>	-0.7621693015098572
40	14	,	-0.2658693194389343
41	31	the	0.20738622546195984
42	1	<unk>	-0.4491044282913208
43	1812	mummy	-0.6008483171463013
44	236	(	-0.21902859210968018
45	474	real	-0.2513371706008911
46	17638	aztecs	-0.4230159521102905
47	14	,	-0.13351881504058838
48	167	by	-0.2578483819961548
49	31	the	0.026093780994415283
50	1088	way	0.22870957851409912
51	14	,	-0.6116681396961212
52	154	did	0.2174205780029297
53	17	not	0.3173877000808716
54	100	made	-0.4199105203151703
55	1752	mummies	0.5010156035423279
56	254	)	0.3788498044013977
57	416	has	-0.10415518283843994
58	248	been	0.08766889572143555
59	1	<unk>	-0.5672497749328613
60	195	up	2.30660879611969
61	167	by	-0.5429829955101013
62	31	the	0.012509346008300781
63	1098	lead	-0.08512270450592041
64	93	characters	0.4411095976829529
65	33	and	-0.26751697063446045
66	2570	starts	0.018561244010925293
67	628	making	0.31979823112487793
68	2088	trouble	0.3053162731230259
69	82	in	-0.021277427673339844
70	3869	mexico	-3.9622990787029266
71	941	city	-0.5917407274246216
72	19652	suburbia	0.5268149375915527
73	14	,	-0.08805274963378906
74	1188	during	3.3466300070285797
75	31	the	0.05839599296450615
76	73	first	-0.75289186835289
77	71	movie	0.09715163707733154
78	236	(	-2.372799441218376
79	31	the	0.013444855809211731
80	1	<unk>	-0.36366748809814453
81	1812	mummy	-2.1175284273922443
82	254	)	-0.07430948317050934
83	18	.	0.11231648921966553
84	82	in	-0.0422133207321167
85	70	this	-0.32894909381866455
86	946	second	0.3965213894844055
87	342	part	1.5909696705639362
88	14	,	-0.3910079002380371
89	31	the	0.16023559868335724
90	3998	leading	0.6141862869262695
91	1022	man	-0.02193400263786316
92	33	and	-0.38615113496780396
93	413	woman	0.8211021721363068
94	602	want	0.22404444217681885
95	7	to	0.017113447189331055
96	257	find	-0.08689165115356445
97	7884	th	-0.047471821308135986
98	1812	mummy	-0.9086467623710632
99	33	and	-2.6868188679218292
100	358	put	1.2178219556808472
101	47	it	-0.1693236231803894
102	82	in	0.042562276124954224
103	282	its	-1.1604679226875305
104	250	final	-0.014066338539123535
105	17308	resting	2.256111614406109
106	651	place	-0.28363358974456787
107	236	(	-0.12179863452911377
108	9	a	0.15320372581481934
109	12681	fireplace	0.14220070838928223
110	138	would	1.6120545715093613
111	19	have	0.33263981342315674
112	248	been	0.10155487060546875
113	83	my	-0.6649187803268433
114	73	first	-0.1413578987121582
115	166	choice	-0.0019241571426391602
116	18	.	0.1564425379037857
117	18	.	0.1114332377910614
118	18	.	0.1519021987915039
119	254	)	0.13136672973632812
120	368	into	-0.37187623977661133
121	70	this	-0.519263744354248
122	452	appears	0.2197667360305786
123	31	the	-0.13133162260055542
124	7209	bat	0.10819832980632782
125	14	,	-0.14310705661773682
126	9	a	0.2812540531158447
127	4043	criminal	-0.6522407829761505
