sample=28 explainer=permutation target=0 sample_size=128
detokenized_full_text: this owes a great deal to the plot of captains courageous . although he is quite grown up , it is partly the story of a wealthy lad who is <unk> as a crew member aboard a <unk> vessel and becomes a man in the process . moran of the title is a boyish young woman also brought up on a vessel owned by her father . when the <unk> burns , she and crew members are evacuated to our lad ' s ship . however , the captain has smuggling on his mind and his intentions are not honorable where moran is concerned . the inevitable ensues - our lad falls for the <unk> moran and she for him . in the end evil is subdued and
idx	token_id	token_str	shap_value
0	70	this	-1.479834884405136
1	7567	owes	-0.280181884765625
2	9	a	0.040476322174072266
3	165	great	-1.9701454639434814
4	2220	deal	0.027636289596557617
5	7	to	0.022443056106567383
6	31	the	0.041828274726867676
7	1343	plot	11.161414384841919
8	11	of	-0.06965148448944092
9	16880	captains	0.15625715255737305
10	16273	courageous	-0.2742558717727661
11	18	.	0.03265964984893799
12	393	although	0.03023672103881836
13	370	he	-0.02315068244934082
14	41	is	-0.08188760280609131
15	1101	quite	0.1657649278640747
16	2241	grown	0.13502109050750732
17	195	up	0.3550713062286377
18	14	,	-0.13484454154968262
19	47	it	-0.04658952355384827
20	41	is	-0.09333491325378418
21	4991	partly	-1.4645344018936157
22	31	the	0.8784376829862595
23	202	story	-0.1520169973373413
24	11	of	-0.04580652713775635
25	9	a	0.04655957221984863
26	5439	wealthy	-0.23938369750976562
27	16176	lad	0.0074083805084228516
28	347	who	0.13534140586853027
29	41	is	-0.07175302505493164
30	1	<unk>	-1.141946792602539
31	145	as	-0.11627519130706787
32	9	a	0.048685431480407715
33	2180	crew	-0.31011784076690674
34	3913	member	-0.01767861843109131
35	4470	aboard	0.3546600341796875
36	9	a	0.2643161080777645
37	1	<unk>	-0.27961158752441406
38	26419	vessel	-0.026317954063415527
39	33	and	-5.080715715885162
40	702	becomes	-0.10564219951629639
41	9	a	0.04355728626251221
42	1022	man	-0.022148966789245605
43	82	in	-0.09002888202667236
44	31	the	-0.01620030403137207
45	1996	process	0.007706880569458008
46	18	.	0.2011955976486206
47	21602	moran	-0.12547385692596436
48	11	of	-0.16232961416244507
49	31	the	0.5885694026947021
50	1844	title	0.8714297413825989
51	41	is	-0.07145559787750244
52	9	a	0.18101537227630615
53	13302	boyish	0.15523314476013184
54	2255	young	0.22254276275634766
55	413	woman	0.19550788402557373
56	582	also	-1.0273318737745285
57	4455	brought	-0.1353534460067749
58	195	up	0.22514522075653076
59	135	on	-0.07738208770751953
60	9	a	0.14004048705101013
61	26419	vessel	-0.1070021390914917
62	7256	owned	0.0842752456665039
63	167	by	-0.022429823875427246
64	708	her	-0.3216979056596756
65	2307	father	-0.02799677848815918
66	18	.	0.022240519523620605
67	700	when	-2.0267899930477142
68	31	the	-0.006708860397338867
69	1	<unk>	-1.8952730894088745
70	6417	burns	0.1518404483795166
71	14	,	-0.32933175563812256
72	450	she	0.10716390609741211
73	33	and	-0.38596034049987793
74	2180	crew	-0.583722710609436
75	839	members	0.2222970724105835
76	226	are	0.026482224464416504
77	19698	evacuated	0.033122897148132324
78	7	to	0.025162577629089355
79	2767	our	0.16086307168006897
80	16176	lad	0.03633224964141846
81	4	'	0.0065805912017822266
82	152	s	-0.17056572437286377
83	1149	ship	0.7324563264846802
84	18	.	0.03637206554412842
85	156	however	0.05347120761871338
86	14	,	-0.0567317008972168
87	31	the	0.08886122703552246
88	11763	captain	-0.3483760356903076
89	416	has	-0.24856162071228027
90	11874	smuggling	0.22545325756072998
91	135	on	0.006842851638793945
92	23	his	0.22762036323547363
93	985	mind	-0.09978792071342468
94	33	and	-0.8140921592712402
95	23	his	1.3096537627279758
96	7216	intentions	0.27799761295318604
97	226	are	0.023053884506225586
98	17	not	0.23733699321746826
99	18361	honorable	-0.0528033971786499
100	509	where	-0.16833555698394775
101	21602	moran	-0.0790480375289917
102	41	is	-0.05716109275817871
103	614	concerned	-0.053738951683044434
104	18	.	0.03219115734100342
105	31	the	0.4960484951734543
106	10191	inevitable	1.302454024553299
107	2156	ensues	-0.30933505296707153
108	379	-	0.03887522220611572
109	2767	our	0.07863259315490723
110	16176	lad	0.06679964065551758
111	4067	falls	0.1291872262954712
112	222	for	-0.06618604063987732
113	31	the	0.9667493104934692
114	1	<unk>	-0.32677531242370605
115	21602	moran	-0.09237110614776611
116	33	and	-4.118714928627014
117	450	she	0.09958457946777344
118	222	for	0.027549028396606445
119	363	him	-0.11824071407318115
120	18	.	1.1442095041275024
121	82	in	-0.3469376564025879
122	31	the	0.46815013885498047
123	119	end	-0.558646559715271
124	206	evil	0.15311813354492188
125	41	is	-0.07294738292694092
126	193	subdued	-0.15123534202575684
127	33	and	-0.12797808647155762
