sample=63 explainer=permutation target=0 sample_size=128
detokenized_full_text: a british twist on harold and maude , driving lessons features a <unk> rupert <unk> and an over-the-top julie walters . while it is true that <unk> is <unk> like a <unk> benjamin <unk> for the first half of the movie , it does not deter from the quirky family <unk> are things going on that are out of his character ' s experience that would create a <unk> reaction . the chemistry between walters and <unk> carries the film , though laura linney ' s hard work to make her written stereotype human is also notable . these performances combined with a fun <unk> soundtrack with artists like <unk> <unk> , john <unk> and <unk> <unk> make this kids popcorn flick worth a saturday afternoon . <pad>
idx	token_id	token_str	shap_value
0	9	a	0.0319746732711792
1	856	british	0.14138305187225342
2	6167	twist	0.08021044731140137
3	135	on	0.028654932975769043
4	18012	harold	0.0036128759384155273
5	33	and	-0.11140322685241699
6	23647	maude	0.17934298515319824
7	14	,	-0.08641505241394043
8	605	driving	0.19834792613983154
9	8310	lessons	0.07094049453735352
10	4937	features	0.18151378631591797
11	9	a	0.060978055000305176
12	1	<unk>	-0.12642920017242432
13	805	rupert	0.12636792659759521
14	1	<unk>	-0.1343938112258911
15	33	and	-0.09436154365539551
16	268	an	0.06277406215667725
17	4778	over-the-top	-0.012636423110961914
18	1703	julie	7.43537563085556
19	3654	walters	0.4402339458465576
20	18	.	0.17368412017822266
21	1353	while	0.2388383150100708
22	47	it	0.035782456398010254
23	41	is	0.23504340648651123
24	274	true	0.09626293182373047
25	42	that	0.026603102684020996
26	1	<unk>	-0.131292462348938
27	41	is	0.1420813798904419
28	1	<unk>	-0.15093886852264404
29	103	like	-0.045555710792541504
30	9	a	0.07077515125274658
31	1	<unk>	-0.1525331735610962
32	14599	benjamin	0.19028866291046143
33	1	<unk>	-0.1833348274230957
34	222	for	0.039785146713256836
35	31	the	-0.004919290542602539
36	73	first	0.03411269187927246
37	499	half	0.5018035173416138
38	11	of	-0.02891063690185547
39	31	the	0.0034682750701904297
40	71	movie	0.14359617233276367
41	14	,	0.021472811698913574
42	47	it	0.24708294868469238
43	1073	does	-0.030512094497680664
44	17	not	0.11840677261352539
45	14431	deter	0.26608264446258545
46	376	from	0.0951378345489502
47	31	the	-0.003357529640197754
48	13361	quirky	0.13657879829406738
49	319	family	0.041174888610839844
50	1	<unk>	-0.191153883934021
51	226	are	-5.952543139457703
52	174	things	0.09573400020599365
53	421	going	0.4208186864852905
54	135	on	-0.11712872982025146
55	42	that	0.012184739112854004
56	226	are	0.00777590274810791
57	258	out	0.26630473136901855
58	11	of	-0.0396345853805542
59	23	his	0.18797540664672852
60	98	character	0.1631094217300415
61	4	'	0.0325542688369751
62	152	s	-0.07246017456054688
63	172	experience	0.11859023571014404
64	42	that	-0.04585683345794678
65	138	would	0.05953478813171387
66	5939	create	0.07383596897125244
67	9	a	0.041495442390441895
68	1	<unk>	-0.12720704078674316
69	6801	reaction	-0.7393004894256592
70	18	.	2.408754587173462
71	31	the	0.03958582878112793
72	4729	chemistry	-0.19969642162322998
73	790	between	-0.12149059772491455
74	3654	walters	0.18812787532806396
75	33	and	-0.1959829330444336
76	1	<unk>	-0.12854111194610596
77	7576	carries	-3.572142720222473
78	31	the	0.13845086097717285
79	63	film	-0.014174103736877441
80	14	,	-0.13417840003967285
81	157	though	-0.056940436363220215
82	10300	laura	-0.345622181892395
83	27077	linney	-0.2331613302230835
84	4	'	0.04140615463256836
85	152	s	-0.07214438915252686
86	644	hard	0.04126858711242676
87	979	work	-0.07525253295898438
88	7	to	0.05255115032196045
89	935	make	0.21498167514801025
90	708	her	-0.008105278015136719
91	718	written	-0.13278818130493164
92	12392	stereotype	0.16380608081817627
93	1217	human	0.39894044399261475
94	41	is	-0.043741464614868164
95	582	also	-0.14588284492492676
96	2193	notable	-0.047505855560302734
97	18	.	0.1602562665939331
98	821	these	0.05308794975280762
99	1355	performances	0.02222466468811035
100	2887	combined	-0.12234067916870117
101	126	with	0.05080759525299072
102	9	a	0.08605098724365234
103	2638	fun	-0.08412528038024902
104	1	<unk>	-0.12894070148468018
105	2401	soundtrack	-0.06172680854797363
106	126	with	0.07807004451751709
107	7304	artists	0.17669641971588135
108	103	like	-0.05196547508239746
109	1	<unk>	-0.1260373592376709
110	1	<unk>	-0.2734185457229614
111	14	,	-0.07037246227264404
112	889	john	-0.045433759689331055
113	1	<unk>	-0.12651729583740234
114	33	and	-0.32616961002349854
115	1	<unk>	-0.37705159187316895
116	1	<unk>	-6.204108655452728
117	935	make	0.22925114631652832
118	70	this	0.0031942129135131836
119	1396	kids	0.1466454267501831
120	13907	popcorn	-0.1127786636352539
121	2233	flick	-0.2902320623397827
122	314	worth	0.2379690408706665
123	9	a	0.1027076244354248
124	3748	saturday	0.028894543647766113
125	9569	afternoon	0.03692209720611572
126	18	.	0.03673744201660156
127	0	<pad>	0.0
