sample=87 explainer=permutation target=0 sample_size=128
detokenized_full_text: the influences of other science fiction and thriller movies and stories are evident throughout this film . the movies that come to mind immediately are alien , aliens , and starship troopers . the story itself is fairly straightforward and not all that original , <unk> traveling through space , crash landing on planet with no apparent life and a deserted <unk> expedition - except when the lights go out , forcing different types of people to work together toward their mutual survival , while the body count <unk> . this kind of movie always tends to be fun , as long as it ' s done well . i believe that pitch black was done well . the characters are interesting and you want to find out
idx	token_id	token_str	shap_value
0	31	the	0.14939965307712555
1	13438	influences	0.0156266987323761
2	11	of	-0.03543365001678467
3	476	other	-0.2759243845939636
4	1173	science	-1.5150678791105747
5	1174	fiction	-0.11639981344342232
6	33	and	-5.151234999299049
7	4738	thriller	1.8972778022289276
8	149	movies	-0.14246828109025955
9	33	and	-0.5011347681283951
10	2679	stories	0.9971636533737183
11	226	are	-0.3566274717450142
12	8319	evident	0.5292376726865768
13	1872	throughout	-0.21254615858197212
14	70	this	-0.3461822122335434
15	63	film	-0.20118075609207153
16	18	.	0.13813531398773193
17	31	the	0.4667500741779804
18	149	movies	-0.33217428624629974
19	42	that	-0.30471742153167725
20	1302	come	0.26023173332214355
21	7	to	-0.012868519872426987
22	985	mind	-0.22158020734786987
23	3528	immediately	-0.07402943447232246
24	226	are	0.11126865074038506
25	3102	alien	0.8639699220657349
26	14	,	-0.11136209964752197
27	8330	aliens	0.7655509114265442
28	14	,	-0.13590534031391144
29	33	and	-0.5743879675865173
30	2201	starship	-0.9472616463899612
31	26255	troopers	1.4134893417358398
32	18	.	0.25415246933698654
33	31	the	0.12381968274712563
34	202	story	-0.6319581717252731
35	75	itself	0.6792246103286743
36	41	is	-0.2132587730884552
37	3018	fairly	0.31743792444467545
38	48	straightforward	0.24714618921279907
39	33	and	-0.4108167178928852
40	17	not	0.29953645169734955
41	544	all	0.15571966767311096
42	42	that	-0.22300389781594276
43	208	original	-0.02150585502386093
44	14	,	-0.1976277232170105
45	1	<unk>	-0.5579008609056473
46	7647	traveling	0.5721817463636398
47	783	through	1.2239204943180084
48	1123	space	-0.7705153524875641
49	14	,	-0.10775928199291229
50	6364	crash	0.1931559294462204
51	2181	landing	0.331303134560585
52	135	on	0.07412580400705338
53	2184	planet	-0.03289131820201874
54	126	with	0.2940002381801605
55	127	no	0.08453723788261414
56	1673	apparent	-0.18378300592303276
57	749	life	-0.1729590818285942
58	33	and	-1.4077377170324326
59	9	a	0.18666529655456543
60	11036	deserted	-0.11584502831101418
61	1	<unk>	-0.5864850282669067
62	8717	expedition	-0.1277492791414261
63	379	-	0.0026362016797065735
64	2591	except	1.578884482383728
65	700	when	0.12945863604545593
66	31	the	0.1280433088541031
67	3105	lights	-0.697014719247818
68	796	go	0.46796491742134094
69	258	out	0.2959149479866028
70	14	,	-0.379434272646904
71	13678	forcing	0.7442176342010498
72	586	different	-0.16880294680595398
73	4047	types	-0.23090627789497375
74	11	of	-0.0305403470993042
75	78	people	0.5390701927244663
76	7	to	0.13579362630844116
77	979	work	-0.44600871205329895
78	266	together	-0.41048629954457283
79	1800	toward	-0.03285248577594757
80	837	their	-0.395557451993227
81	7645	mutual	-0.3249719589948654
82	8739	survival	0.04132632911205292
83	14	,	-0.16321558132767677
84	1353	while	0.6806152425706387
85	31	the	0.14689775928854942
86	128	body	2.0941214710474014
87	4335	count	0.9001375585794449
88	1	<unk>	-0.6070896834135056
89	18	.	0.1440373659133911
90	70	this	-0.47685857862234116
91	453	kind	0.18351618945598602
92	11	of	-0.01362595148384571
93	71	movie	0.40326201915740967
94	1606	always	-0.44978196918964386
95	113	tends	-0.23432425037026405
96	7	to	0.049673186615109444
97	8	be	0.5517145395278931
98	2638	fun	-0.5107642076909542
99	14	,	-3.515495076775551
100	145	as	-0.35677894577383995
101	766	long	0.22153253480792046
102	145	as	-0.22724346444010735
103	47	it	0.03625155985355377
104	4	'	0.5526569858193398
105	152	s	-0.32157963514328003
106	744	done	0.23441125079989433
107	141	well	-1.0327375829219818
108	18	.	0.30068281292915344
109	2	i	1.9361486285924911
110	443	believe	0.7620152235031128
111	42	that	-0.2955649644136429
112	12516	pitch	0.4295876808464527
113	496	black	-0.05952703207731247
114	88	was	0.12944817543029785
115	744	done	1.0024793446063995
116	141	well	-1.1760901063680649
117	18	.	1.5939070135354996
118	31	the	0.14137250185012817
119	93	characters	0.3352725878357887
120	226	are	-0.30262962356209755
121	1112	interesting	0.23494195938110352
122	33	and	-0.5899630784988403
123	310	you	-0.20958902686834335
124	602	want	0.1406436674296856
125	7	to	0.07984735816717148
126	257	find	-0.21733037009835243
127	258	out	0.44044221192598343
