sample=231 explainer=permutation target=0 sample_size=128
detokenized_full_text: doesn ' t this seem somewhat familiar ? oh wait , that ' s right . . 90% of the jokes in this movie have already been done in the tv series . what ' s the point in repeating yourself , you may ask ? is it for the benefit of the americans who haven ' t seen the programme ? did the scriptwriters run out of inspiration ? or maybe everyone on set suffered a sudden attack of amnesia , and forgot they ' d covered this ground already ? either way , for someone who has sat through the first three series , this was just really boring . i had to turn it off during the ' <unk> that turn your water green '
idx	token_id	token_str	shap_value
0	442	doesn	0.11853909492492676
1	4	'	0.09092068672180176
2	5	t	-1.8908334821462631
3	70	this	-0.24071282148361206
4	1537	seem	-0.23062098026275635
5	747	somewhat	-0.5653929710388184
6	4354	familiar	0.12367284297943115
7	199	?	0.6270990371704102
8	703	oh	0.08667969703674316
9	384	wait	-0.15983912721276283
10	14	,	-0.19318586587905884
11	42	that	-0.24045521020889282
12	4	'	0.4261915683746338
13	152	s	-2.019728422164917
14	716	right	-1.4466012716293335
15	18	.	0.2066943645477295
16	18	.	0.19712507724761963
17	3052	90%	0.29306578636169434
18	11	of	0.029227077960968018
19	31	the	-0.0384829044342041
20	329	jokes	0.35577142238616943
21	82	in	-0.028163909912109375
22	70	this	-0.06533169746398926
23	71	movie	0.0766674280166626
24	19	have	0.38343894481658936
25	2321	already	1.1964097917079926
26	248	been	0.32442140579223633
27	744	done	0.16553306579589844
28	82	in	-0.18148136138916016
29	31	the	0.15384924411773682
30	387	tv	-0.12125441431999207
31	2197	series	-1.1450814008712769
32	18	.	-0.008106589317321777
33	39	what	0.18857157230377197
34	4	'	0.6495653390884399
35	152	s	-0.5248740315437317
36	31	the	0.11779850721359253
37	1992	point	0.07673156261444092
38	82	in	-0.14047467708587646
39	16253	repeating	0.06615358591079712
40	2292	yourself	3.014768362045288
41	14	,	-0.1724987030029297
42	310	you	-0.07913923263549805
43	601	may	-3.4369208216667175
44	1917	ask	-0.5115538835525513
45	199	?	0.41158199310302734
46	41	is	-0.2176070213317871
47	47	it	-0.0019562244415283203
48	222	for	-0.017166852951049805
49	31	the	0.08652544021606445
50	678	benefit	12.77161294221878
51	11	of	-0.02349245548248291
52	31	the	0.16043949127197266
53	1628	americans	-0.6929978132247925
54	347	who	0.04667973518371582
55	2750	haven	-0.4926096200942993
56	4	'	0.14327764511108398
57	5	t	-0.5146521925926208
58	1065	seen	0.20627844333648682
59	31	the	0.05934619903564453
60	26722	programme	0.2498302459716797
61	199	?	0.3974090814590454
62	154	did	0.10833138227462769
63	31	the	0.24903033673763275
64	18017	scriptwriters	-0.7201346158981323
65	488	run	0.7488834261894226
66	258	out	0.5142135620117188
67	11	of	-0.05879092216491699
68	4993	inspiration	0.3538939952850342
69	199	?	0.5474145412445068
70	131	or	0.14384818077087402
71	1459	maybe	0.24590761959552765
72	677	everyone	-0.3229583501815796
73	135	on	-0.2209993600845337
74	538	set	-0.05077856779098511
75	4322	suffered	-0.2280641794204712
76	9	a	0.07934331893920898
77	3777	sudden	-0.17304909229278564
78	1714	attack	-0.4071800708770752
79	11	of	-0.1500176191329956
80	15664	amnesia	2.2008731067180634
81	14	,	-0.23285645246505737
82	33	and	-1.267186164855957
83	3966	forgot	0.09486150741577148
84	622	they	1.3155615329742432
85	4	'	0.2040254771709442
86	781	d	-0.0463031530380249
87	431	covered	-1.0690666437149048
88	70	this	-0.28584861755371094
89	2490	ground	-5.762444257736206
90	2321	already	0.8154576420783997
91	199	?	0.6344193518161774
92	2459	either	0.2983165979385376
93	1088	way	0.2301105260848999
94	14	,	-0.22430706024169922
95	222	for	-0.2809875011444092
96	1928	someone	0.5804529190063477
97	347	who	-0.005724906921386719
98	416	has	-0.6221301555633545
99	3531	sat	0.6866803169250488
100	783	through	0.25579607486724854
101	31	the	0.07446062564849854
102	73	first	-0.6839487999677658
103	1430	three	0.3092126250267029
104	2197	series	-0.8337651491165161
105	14	,	-0.06995594501495361
106	70	this	0.588454008102417
107	88	was	-0.02259993553161621
108	122	just	0.8683823347091675
109	124	really	0.3581728935241699
110	2676	boring	1.555169329047203
111	18	.	0.11578357219696045
112	2	i	-4.756969928741455
113	407	had	0.007162004709243774
114	7	to	-0.019181013107299805
115	880	turn	-0.07164406776428223
116	47	it	0.003994885832071304
117	272	off	0.7601194977760315
118	1188	during	0.22887587547302246
119	31	the	0.11435353755950928
120	4	'	0.3431812524795532
121	1	<unk>	-0.43333403766155243
122	42	that	-0.25640738010406494
123	880	turn	0.06457984447479248
124	303	your	0.8088828325271606
125	1825	water	-0.9957222938537598
126	438	green	-0.4937114715576172
127	4	'	0.2093946933746338
