sample=60 explainer=permutation target=0 sample_size=128
detokenized_full_text: <unk> ' s machine is clearly a burt reynolds vehicle designed to allow the star room to strut his talents and he <unk> the machine , the film plot , with colors from other films and other styles , offering a variety of moods within a <unk> story . made in 1981 at <unk> minutes ( lengthy for the time period ) , the film did well , with box office <unk> at <unk> , 800 , 000 . it had a lot going for it burt reynolds actor and director , a solid <unk> punch a william <unk> novel adaptation , and the south land of atlanta georgia , at this time , a land of opportunity for film production out of hollywood . reynolds ' tom
idx	token_id	token_str	shap_value
0	1	<unk>	-0.16592025756835938
1	4	'	0.16538560390472412
2	152	s	1.1928367614746094
3	4984	machine	0.09723532199859619
4	41	is	-0.02634298801422119
5	2331	clearly	0.993720531463623
6	9	a	0.09565424919128418
7	13510	burt	-0.5500528514385223
8	5713	reynolds	0.1044011116027832
9	1473	vehicle	0.019011735916137695
10	1507	designed	0.22914469242095947
11	7	to	0.1896265745162964
12	771	allow	-0.5023856163024902
13	31	the	-0.0009150505065917969
14	1429	star	0.04915904998779297
15	3404	room	0.30292415618896484
16	7	to	0.082955002784729
17	20050	strut	0.5452827513217926
18	23	his	0.1817920207977295
19	2536	talents	0.02190566062927246
20	33	and	-0.5446471571922302
21	370	he	-0.023659944534301758
22	1	<unk>	-6.2045586705207825
23	31	the	0.03913305699825287
24	4984	machine	0.13707399368286133
25	14	,	-0.12496060132980347
26	31	the	0.0018121004104614258
27	63	film	-0.00030493736267089844
28	1343	plot	0.7138081789016724
29	14	,	-0.027992606163024902
30	126	with	0.057965874671936035
31	5513	colors	-0.05871868133544922
32	376	from	0.045418620109558105
33	476	other	0.06753790378570557
34	25	films	0.12962698936462402
35	33	and	-0.08343791961669922
36	476	other	0.025565385818481445
37	7460	styles	0.02010524272918701
38	14	,	-0.10672783851623535
39	2532	offering	0.05685830116271973
40	9	a	0.8189185857772827
41	3842	variety	0.04476487636566162
42	11	of	-0.030520319938659668
43	28166	moods	0.12673461437225342
44	814	within	0.029680609703063965
45	9	a	0.15979266166687012
46	1	<unk>	-0.12175917625427246
47	202	story	-0.19425857067108154
48	18	.	0.25610780715942383
49	100	made	0.7664542198181152
50	82	in	-0.009420394897460938
51	8132	1981	-0.13693855702877045
52	90	at	-0.06038987636566162
53	1	<unk>	-6.2045586705207825
54	1902	minutes	0.1672435998916626
55	236	(	-0.02151942253112793
56	2293	lengthy	0.4939715266227722
57	222	for	0.04499208927154541
58	31	the	0.0052874088287353516
59	552	time	-0.0754927396774292
60	4244	period	0.14179468154907227
61	254	)	0.3639487028121948
62	14	,	-0.10431933403015137
63	31	the	0.7298635244369507
64	63	film	-0.02244281768798828
65	154	did	0.02985084056854248
66	141	well	-0.14956045150756836
67	14	,	-0.044631361961364746
68	126	with	0.055069923400878906
69	4539	box	0.8251055330038071
70	6028	office	-0.2879159450531006
71	1	<unk>	-0.1841667890548706
72	90	at	-0.17734670639038086
73	1	<unk>	-0.15305101871490479
74	14	,	-0.05322229862213135
75	7847	800	-0.16350418329238892
76	14	,	-0.042685866355895996
77	13716	000	0.5537763833999634
78	18	.	0.23187369108200073
79	47	it	0.03466176986694336
80	407	had	0.06953299045562744
81	9	a	0.06564700603485107
82	46	lot	-0.7416675090789795
83	421	going	0.17081546783447266
84	222	for	0.10063517093658447
85	47	it	0.01912248134613037
86	13510	burt	-0.0307997465133667
87	5713	reynolds	0.12407577037811279
88	560	actor	1.174042522907257
89	33	and	-0.18405842781066895
90	404	director	0.5302553176879883
91	14	,	-0.05182456970214844
92	9	a	0.040178894996643066
93	1871	solid	-1.063733071088791
94	1	<unk>	-0.12190723419189453
95	1503	punch	0.1260773092508316
96	9	a	0.03455805778503418
97	1918	william	-0.5856794118881226
98	1	<unk>	-0.2615809440612793
99	746	novel	0.6221966743469238
100	2032	adaptation	-0.6444339156150818
101	14	,	0.21026337146759033
102	33	and	-0.09644174575805664
103	31	the	0.03443741798400879
104	6868	south	-0.04581427574157715
105	12065	land	1.3963557481765747
106	11	of	0.001169741153717041
107	14111	atlanta	-0.13472485542297363
108	10258	georgia	0.07777571678161621
109	14	,	-0.13811996579170227
110	90	at	-0.171378493309021
111	70	this	0.005309104919433594
112	552	time	-0.10927975177764893
113	14	,	-0.08459579944610596
114	9	a	0.04394376277923584
115	12065	land	-0.0760887861251831
116	11	of	-0.025700807571411133
117	4828	opportunity	-0.008744955062866211
118	222	for	0.021089375019073486
119	63	film	-0.041898488998413086
120	692	production	0.08585202693939209
121	258	out	0.20657777786254883
122	11	of	0.46125614643096924
123	1912	hollywood	-0.031142592430114746
124	18	.	0.13988661766052246
125	5713	reynolds	0.05855679512023926
126	4	'	0.027394652366638184
127	2478	tom	-0.11717605590820312
